Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Er S K Sood,Internal,HDM SupdtGII Sr DAO AE Baijnath,Sanjiv Kumar,03-Jun-2020 03:26 PM,finsummary_48551.pdf (209.89 KB),03-Jun-2020,"INR 1,431,574",90.0,Sanjiv Kumar,03-Jun-2020 03:32 PM,AwardAhju.pdf (423.00 KB),PWD,2019_PWD_33695_1,PWD-BD-NIT-2019-20-18681-730,Periodic Maintenance of Ahju to Gunehar Road DRRP No. HP0403VR0032 Inventive 2019-20,Er S K Sood,Internal,Sh. Rajinder Chaudhary SR DAO Sh Ravi Rana HDM Sh Sunil Kumar Supdt GII Er Vaneet Sharma AE Baijnath,Sanjiv Kumar,24-Jan-2020 12:35 PM,28-Jan-2020 11:00 AM,techsummary_48551.pdf (529.18 KB),Technical,two bidders participated in this work and two bidders found responsive. Hence tender recommended by committee to open the financial bid.,Sanjiv Kumar,24-Jan-2020 12:33 PM,technical_48551.pdf,1.0,144814.0,ANURAG SHARMA,14-Jan-2020 03:18 PM,Rejected-AOC,Higher Side,03-Jun-2020 03:32 PM,Finance,Financial Bid Open Successfully,Sanjiv Kumar,03-Jun-2020 03:16 PM,finance_48551.pdf,BOQ Comparative Chart,1.0,144936.0,P. L. SHARMA,INR,"1,878,793",AOC,28-Dec-2019 10:00 AM,16-Jan-2020 11:00 AM,28-Dec-2019 11:00 AM,16-Jan-2020 10:30 AM,NA ,NA ,28-Dec-2019 12:00 PM,16-Jan-2020 10:30 AM,28-Jan-2020 11:00 AM,Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,Periodic Maintenance of Ahju to Gunehar Road DRRP No. HP0403VR0032 Inventive 2019-20,Providing and Laying tack coat and 25mm thick bitumenious concrete in Km 2/0 to 3/0).,Please refer Tender documents. ,NA ,"14,31,574",Civil Works - Roads,NA ,Tender,120.0,90.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,1.0,DD - Demand Draft,PWD,PWD-BD-NIT-2019-20-18681-730,2019_PWD_33695_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,EE Baijnath,Baijnath,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F.,"28,700",No,fixed,,EE Baijnath,Baijnath,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,144936.0,P. L. SHARMA,15-Jan-2020 10:59 AM,Accepted-AOC,Lower Side,03-Jun-2020 03:32 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Earnest Money as Indicated Schedule F,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid GST Registration and PAN No.,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that no Both Gazatted Non Gazetted officer employee in HPPWD Division Baijnath related him,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that no arbitration / litigation case with PWD is pending in any court of law,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished with the bid Name of work is correct in all respect,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery required as per SBD with proof if hiring affidavit required,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum civil work done amount not less than 40 percent of the estimated cost (without LD) in last 5,,,,,,,AOC
