Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Stage
Er. Sushil Dhadwal,Internal,Sh.Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,04-Jun-2020 07:50 PM,finsummary_52752.pdf (470.33 KB),06-Jun-2020,"INR 856,000",90.0,Sushil Kumar Dhadwal,06-Jun-2020 11:09 AM,35890_2.pdf (946.00 KB),Shri Navneet Thakur,PWD,2020_PWD_35890_2,9901-10,Periodic maintenance of Sidhbari to Baghni Road under AMP 2020-21 PMGSY Road in District Kangra (HP),Er. Sushil Dhadwal,Internal,Members Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,23-Apr-2020 02:49 PM,23-Apr-2020 03:00 PM,techsummary_52752.pdf (957.31 KB),Technical,As per document attached,Sushil Kumar Dhadwal,23-Mar-2020 04:19 PM,technical_52752.pdf,1.0,155368.0,Navneet Thakur,17-Mar-2020 07:16 PM,Accepted-AOC,L1,06-Jun-2020 11:09 AM,Finance,As per document attached,Sushil Kumar Dhadwal,28-Apr-2020 01:14 PM,finance_52752.pdf,BOQ Comparative Chart,1.0,155368.0,Navneet Thakur,INR,"856,000",AOC,04-Mar-2020 10:00 AM,19-Mar-2020 11:30 AM,04-Mar-2020 10:00 AM,18-Mar-2020 05:00 PM,NA ,NA ,04-Mar-2020 10:00 AM,18-Mar-2020 05:00 PM,23-Apr-2020 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (Indicated in schedule F),"15,735",No,fixed,,EE Dharamshala,Dharamshala,350.0,EE Dharamshala,Dharamshala,No,Periodic maintenance of Sidhbari to Baghni Road under AMP 2020-21 PMGSY Road in District Kangra (HP),SH-Providing and Laying 30mm thick Bituminous concrete laying with paver finisher in km 0/000 to 1/000,Please refer Tender documents. ,NA ,"7,86,714",Civil Works - Roads,NA ,Tender,120.0,90.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,PWD,9901-10,2020_PWD_35890_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,155541.0,pritam singh thkur,18-Mar-2020 12:43 PM,Rejected-Finance,L4,04-Jun-2020 07:50 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Earnest Money (Indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,155617.0,Rohit,18-Mar-2020 03:42 PM,Rejected-Finance,L2,04-Jun-2020 07:50 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,155533.0,Ujjawal Singh,18-Mar-2020 03:27 PM,Rejected-Technical,NOT FULFILLING THE TENDER CRITERIAL,23-Apr-2020 02:49 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,GST registration (General rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,154562.0,VP SHARMA,13-Mar-2020 03:24 PM,Rejected-Finance,L3,04-Jun-2020 07:50 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Work done certificate (General rule 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him (General rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Employee Provident fund Number(EPF Number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,List of machinery including Hot Mix plant with proof i.e RCs etc. and staff (indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
