S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,DD - Demand Draft,Public Works Roads Department,CESTBRNAB/RIDFXXV/17/19-20/Pt2,2019_PWD_14907_14,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,MLCSNA/RIDF-XXV/Barpeta/01,MLCSNA/RIDF-XXV/Barpeta/01 Construction of RCC Br. No 4/1 on Upornoi Uilua Road (Bamunkuchi Dekapara) under Mahavir Lachit Chilarai Setu Nirman Abhijan (MLCSNA) under RIDF-XXV of NABARD for the year 2019-20 under Barpeta Rural Roads Division,Please refer Tender documents. ,NA ,"1,45,38,000",Civil Works - Bridges,NA ,Tender,180.0,548.0,Barpeta,781003.0,NA ,NA ,NA ,"O/o the Chief Engineer, PWD (Roads), Assam",No ,No,26-Nov-2019 10:30 AM,27-Dec-2019 11:00 AM,26-Nov-2019 10:30 AM,26-Dec-2019 02:00 PM,26-Nov-2019 10:30 AM ,17-Dec-2019 02:00 PM ,26-Nov-2019 10:30 AM,26-Dec-2019 02:00 PM,29-Jan-2020 06:20 PM,"2,90,760",Yes,fixed,,"Chief Engineer, PWD (Roads), Assam",GUWAHATI,1.0,Extension,Date,,1.0,Fee/PreQual/Technical,.pdf,EMD,"Chief Engineer, PWD (Roads), Assam","O/o the Chief Engineer, PWD (Roads), Assam, Chandmari, Guwahati, 781003","4,400","Empowered Officer, ASRB",GUWAHATI,No,AOC,Finance,Financial opened,BHUPEN SAHARIA,29-Jan-2020 08:06 PM,,BOQ Comparative Chart,Technical,Verified,GAURI KANTA BARMAN,29-Jan-2020 06:01 PM,,Public Works Roads Department,2019_PWD_14907_14,CESTBRNAB/RIDFXXV/17/19-20/Pt2,MLCSNA/RIDF-XXV/Barpeta/01,19-Jun-2020,INR 1.30842E+7,548.0,BHUPEN SAHARIA,19-Jun-2020 01:52 PM,Barpeta_01.pdf (475.00 KB),1.0,69139.0,Bhaskar Barman,INR,13084200.0,Chief Engineer PWD Roads,Internal,,BHUPEN SAHARIA,19-Jun-2020 01:51 PM,finsummary_22655.pdf (475.03 KB),1,69209,ANUPAM NIRMAN PVT. LTD.,26-Dec-2019 11:56 AM,Rejected-Finance,Verified,19-Jun-2020 01:51 PM,Bibhuti Saikia,Internal,,GAURI KANTA BARMAN,29-Jan-2020 06:02 PM,29-Jan-2020 06:20 PM,techsummary_22655.pdf (481.76 KB),AOC
2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum for the Package No. MLCSNA/RIDF-XXV/Barpeta/01,Other,,,,.pdf,Cost of Tender Document,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,69139,Bhaskar Barman,24-Dec-2019 02:51 PM,Accepted-AOC,Qualified,19-Jun-2020 01:52 PM,,,,,,,,AOC
3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,69396,JAGADISH BARUAH,26-Dec-2019 12:49 PM,Rejected-Finance,Verified,19-Jun-2020 01:51 PM,,,,,,,,AOC
4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,69441,kajalkrdas,25-Dec-2019 10:37 PM,Rejected-Finance,Verified,19-Jun-2020 01:51 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,68699,MS Clarion Projects,18-Dec-2019 02:41 PM,Rejected-Finance,Verified,19-Jun-2020 01:51 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FOB,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,68873,M/S. PRIDE EAST CONSTRUCTION,21-Dec-2019 12:02 PM,Rejected-Finance,Verified,19-Jun-2020 01:51 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,69255,PRASANTA DEY,26-Dec-2019 04:58 AM,Rejected-Finance,Verified,19-Jun-2020 01:51 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,69574,Sankalpa Associates,26-Dec-2019 01:00 PM,Rejected-Finance,Verified,19-Jun-2020 01:51 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,69564,SAURABH TALUKDAR,26-Dec-2019 12:20 PM,Rejected-Finance,Verified,19-Jun-2020 01:51 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,69253,SUNITI CONSTRUCTION PVT LTD,26-Dec-2019 05:22 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Jan-2020 06:01 PM,,,,,,,,AOC
