Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
30-Jul-2019 10:00 AM,13-Aug-2019 11:00 AM,30-Jul-2019 10:30 AM,09-Aug-2019 05:00 PM,NA ,NA ,30-Jul-2019 10:30 AM,09-Aug-2019 05:00 PM,29-Aug-2019 04:00 PM,"2,000",EE Bhabanagar,Sungra/Bhabanagar,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,"72,100",Yes,fixed,,EE Bhabanagar,Sungra/Bhabanagar,C.O Govt. Senior Secondary School building at Rakchham Distt. Kinnaur SH C.O Building portion i.c WS and S.I septic tank and rain water harvesting tank etc.,C.O Govt. Senior Secondary School building at Rakchham Distt. Kinnaur SH C.O Building portion i.c WS and S.I septic tank and rain water harvesting tank etc.,Please refer Tender documents. ,NA ,"43,03,413",Civil Works,NA ,Tender,120.0,540.0,Rakchham,172115.0,NA ,NA ,NA ,BHabanagar,No ,No,Executive Engineer,Karchham Division HPPWD Bhabangar,1.0,DD - Demand Draft,PWD,PW-BHNR-EA-Tender /2019- 4796-4801 dated 18.07.201,2019_PWD_30546_2,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,AOC,PWD,2019_PWD_30546_2,PW-BHNR-EA-Tender /2019- 4796-4801 dated 18.07.201,C.O Govt. Senior Secondary School building at Rakchham Distt. Kinnaur SH C.O Building portion i.c WS and S.I septic tank and rain water harvesting tank etc.,XEN Rahul Sood,Internal,HDM DAO Supdt. Gr-II,Rahul Sood,29-Aug-2019 03:24 PM,29-Aug-2019 04:00 PM,techsummary_43986.pdf (872.01 KB),Er. Rahul Sood XEN,Internal,HDM DAO Supdt. Gr-II,Rakesh Chander Negi,24-Jun-2020 11:04 AM,finsummary_43986.pdf (870.34 KB),24-Jun-2020,"INR 4,303,413",540.0,Rakesh Chander Negi,24-Jun-2020 11:24 AM,1095.PDF (1929.00 KB),1.0,127182.0,DARJE SUKH NEGI,08-Aug-2019 03:34 PM,Rejected-Technical,Non Responsive,29-Aug-2019 03:24 PM,Technical,opening summary,Rahul Sood,29-Aug-2019 01:19 PM,technical_43986.pdf,Finance,summary,Pramod Kumar,13-Mar-2020 05:08 PM,finance_43986.pdf,BOQ Comparative Chart,1.0,126971.0,JAGAT SINGH MEHTA,INR,"6,592,202",AOC
,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,126971.0,JAGAT SINGH MEHTA,08-Aug-2019 11:24 AM,Accepted-AOC,Awarded,24-Jun-2020 11:24 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,3.0,127163.0,Kailash Negi,09-Aug-2019 12:31 PM,Rejected-Finance,Not lowest,24-Jun-2020 11:04 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,GST Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,4.0,127260.0,SHAKTI SINGH CONTRCATOR,09-Aug-2019 04:46 PM,Rejected-Finance,Not Lowest,24-Jun-2020 11:04 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and work in hand (,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Financial reports for the last five years balance sheet profit and loss statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Any additional information bidder likes to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
