Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"1,500",EE Theog,HP PWD Theog,No,17-Feb-2020 11:00 AM,29-Feb-2020 11:00 AM,17-Feb-2020 11:00 AM,28-Feb-2020 06:00 PM,NA ,NA ,17-Feb-2020 11:00 AM,28-Feb-2020 06:00 PM,03-Mar-2020 11:00 AM,PWD,pw.THD/CB/-tender2020-13977-86 Dt.29.1.2020,2020_PWD_35112_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,HP PWD Theog Division,1.0,DD - Demand Draft,"48,500",No,fixed,,EE Theog,HP PWD Theog,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender for (as per Schedule-F),Annual maintenance of Ghhond to Banari road Km. 0.0 to 4.615 SH providing and laying bituminous concrete 30 MM thick i.c Pot holes in km. 0.0 to 3.00 under AMP 2020.21,Annual maintenance of Ghhond to Banari road Km. 0.0 to 4.615 SH providing and laying bituminous concrete 30 MM thick i.c Pot holes in km. 0.0 to 3.00 under AMP 2020.21,Please refer Tender documents. ,NA ,"27,10,706",Civil Works - Roads,NA ,Tender,90.0,60.0,Theog,171201.0,NA ,NA ,NA ,Executive Engineer HP PWD Division Theog,No ,No,AOC,PWD,2020_PWD_35112_2,pw.THD/CB/-tender2020-13977-86 Dt.29.1.2020,Annual maintenance of Ghhond to Banari road Km. 0.0 to 4.615 SH providing and laying bituminous concrete 30 MM thick i.c Pot holes in km. 0.0 to 3.00 under AMP 2020.21,Er Vijay Kumar Chauhan,Internal,Deepak Sharma Sr DAO Lekh Ram Shandil HDM Leela Verma Sr Asstt,Vijay Kumar Chauhan,02-Mar-2020 05:31 PM,03-Mar-2020 11:00 AM,techsummary_51492.pdf (385.88 KB),Er Vijay Kumar Chauhan,Internal,Deepak Sharma Sr DAO Lekh Ram Shandil HDM Leela Verma Sr Asstt,Vijay Kumar Chauhan,02-Jun-2020 04:04 PM,finsummary_51492.pdf (361.29 KB),02-Jun-2020,"INR 3,703,066",60.0,Vijay Kumar Chauhan,02-Jun-2020 04:07 PM,AOCGhoondbanri.pdf (683.00 KB),AOC,Finance,summary,Vijay Kumar Chauhan,03-Mar-2020 04:13 PM,finance_51492.pdf,BOQ Comparative Chart,1.0,151723.0,chauhan,INR,"3,441,928",1.0,151545.0,Bharat Bhushan Verma,28-Feb-2020 05:13 PM,Rejected-Finance,Non Responsive,02-Jun-2020 04:04 PM,Technical,summary,Vijay Kumar Chauhan,02-Mar-2020 03:10 PM,technical_51492.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,151723.0,chauhan,28-Feb-2020 03:32 PM,Accepted-AOC,Responsive,02-Jun-2020 04:07 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,151339.0,Laiq Ram Chauhan and Sons,26-Feb-2020 09:05 PM,Rejected-Finance,No Responsive,02-Jun-2020 04:04 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand (as per Performa given in General Rule No-19).,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery,Tool,Plant,(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor shall provide Asphalt Paver Strictly as per the direction of E-in-C with documentary proo,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
