Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Er S K Sood,Internal,"HDM, SupdtG-II, Sr. DAO AE Baijnath",Sanjiv Kumar,08-Jun-2020 03:43 PM,finsummary_53276.pdf (130.69 KB),08-Jun-2020,"INR 994,934",60.0,Sanjiv Kumar,08-Jun-2020 03:44 PM,AwardBarot.pdf (228.00 KB),PWD,2020_PWD_36162_1,PWD-BD-NIT-2019-20-22488-22537,Maintenance of Barot to Nalhota Road Km 0/0 to 16/0,Er S K Sood,Internal,HDM Baijnath SupdtGII Baijnath Sr Account Officer AE Baijanth,Sanjiv Kumar,28-Apr-2020 04:44 PM,30-Apr-2020 11:00 AM,techsummary_53276.pdf (286.21 KB),Technical,two bidders found in this work and found responsive,Sanjiv Kumar,28-Apr-2020 04:42 PM,technical_53276.pdf,1.0,157022.0,Kuldeep Chand Rana,20-Apr-2020 11:21 AM,Rejected-AOC,Higher side,08-Jun-2020 03:44 PM,Finance,Financial bid open successfully,Sanjiv Kumar,08-Jun-2020 03:41 PM,finance_53276.pdf,BOQ Comparative Chart,1.0,157020.0,Nigesh Thakur,INR,"1,611,840",AOC,12-Mar-2020 10:00 AM,20-Apr-2020 01:00 PM,12-Mar-2020 11:00 AM,20-Apr-2020 12:00 PM,NA ,NA ,12-Mar-2020 05:00 PM,20-Apr-2020 12:00 PM,30-Apr-2020 11:00 AM,Maintenance of Barot to Nalhota Road Km 0/0 to 16/0,"Repair of Pot Holes/ Patch work, unlined drain and bush cutting between Km 0/0 to 16/0)",Please refer Tender documents. ,NA ,"9,94,934",Civil Works - Roads,NA ,Tender,120.0,60.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Baijnath Division,No ,No,1.0,extend date,Date,,PWD,PWD-BD-NIT-2019-20-22488-22537,2020_PWD_36162_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,350.0,EE Baijnath,Baijnath,No,"19,900",No,fixed,,EE Baijnath,Baijnath,Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,157020.0,Nigesh Thakur,20-Apr-2020 11:07 AM,Accepted-AOC,Lower side,08-Jun-2020 03:44 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,.pdf,Cost of Earnest Money as Indicated Schedule F.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid GST Registration and PAN No.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that no Both Gazatted Non Gazetted officer employee in HPPWD Division Baijnath related him,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that - arbitration / litigation case with PWD is pending in any court of law.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished with the bid Name of work is correct in all respect.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery with proof of ownership required as per SBD if hiring affidavit of consent required from o,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum work done amount not less than 40 percent of the estimated cost (without LD) in last 5year,AOC
