Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
21-Dec-2019 01:00 PM,13-Jan-2020 11:00 AM,21-Dec-2019 01:30 PM,13-Jan-2020 10:30 AM,NA ,NA ,21-Dec-2019 02:00 PM,13-Jan-2020 10:30 AM,29-Jan-2020 11:00 AM,Construction of Govt. I.T.I. Building at Baijnath Distt Kangra. H.P.,Construction of Administrative Amenities (Block A).,Please refer Tender documents. ,NA ,"1,97,95,070",Civil Works - Buildings,NA ,Tender,120.0,540.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,"2,30,500",No,fixed,,EE HPPWD Baijnath,Baijnath,"5,000",EE HPPWD Baijnath,Baijnath,No,Executive Engineer HPPWD Division Baijnath,Executive Engineer HPPWD Division Baijnath,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Document as mentioned in SBD Schedule F 6.3,1.0,DD - Demand Draft,PWD,PWD/BD/NIT/2019-20/15460-15550,2019_PWD_33549_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Publish Date and Tender Value Change,Other,,AOC,Er S K Sood,Internal,Sh. Rajinder Chaudhary SR DAO Sh Ravi Rana HDM Sh Sunil Kumar Supdt GII Er Vaneet Sharma AE Baijnath,Sanjiv Kumar,24-Jan-2020 04:14 PM,29-Jan-2020 11:00 AM,techsummary_48360.pdf (469.43 KB),PWD,2019_PWD_33549_1,PWD/BD/NIT/2019-20/15460-15550,Construction of Govt. I.T.I. Building at Baijnath Distt Kangra. H.P.,19-Jun-2020,"INR 19,795,070",540.0,Sanjiv Kumar,19-Jun-2020 01:03 PM,ITI.pdf (312.00 KB),Er S K Sood,Internal,HDM SupdtGII Sr DAO AE Baijnath,Sanjiv Kumar,19-Jun-2020 01:01 PM,finsummary_48360.pdf (74.95 KB),1.0,144631.0,KULDEEP SONI,12-Jan-2020 05:45 PM,Accepted-AOC,Lower Side Bidder,19-Jun-2020 01:03 PM,Technical,Three bidders participated in this work and Two bidders found responsive. Hence tender recommended by committee to open the financial bid.,Sanjiv Kumar,24-Jan-2020 04:12 PM,technical_48360.pdf,Finance,Financial Bid open successfully,Sanjiv Kumar,19-Jun-2020 12:56 PM,finance_48360.pdf,BOQ Comparative Chart,1.0,144631.0,KULDEEP SONI,INR,"23,021,390",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money as mentioned in SBD Schedule F 6.5,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,144651.0,M/s RAJIV BROTHERS,13-Jan-2020 09:43 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,24-Jan-2020 04:12 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,3.0,144538.0,PARAS SOOD,10-Jan-2020 10:03 PM,Rejected-AOC,Higher Side Bidder,19-Jun-2020 01:03 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and PAN No.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done Certificate, work in hand on prescribed performa as mentioned in General Rule Sr. No. 19",,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Capacity as mentioned in the SBD Sr. No. 28.2a.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Upload the CA Abstract of financial turnover in the last 5 years.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. at Clause No. 18 Sr. No. 6.19 as mentioned in SBD with proof.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. Schedule F Sr. No. 6.14 and as mentioned in SBD.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
