Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,S.No.2,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
06-Apr-2020 10:00 AM,20-Apr-2020 11:00 AM,06-Apr-2020 10:00 AM,18-Apr-2020 05:00 PM,NA ,NA ,06-Apr-2020 10:00 AM,18-Apr-2020 05:00 PM,28-Apr-2020 12:10 PM,350.0,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,No,1.0,DD - Demand Draft,PWD,PW/MED/TA/NIT/ e-notice/19-20-9573-79 dt 20.03.20,2020_PWD_36559_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",Supplying and fixing of Guidevane motor in Chiller No II of HVAC Plant installed at Shri Lal Bahadur Shastri Government Medical College and Hospital Nerchowk District Mandi HP,Supplying and fixing of Guidevane motor in Chiller No II of HVAC Plant installed at Shri Lal Bahadur Shastri Government Medical College and Hospital Nerchowk District Mandi HP,Please refer to bid document ,NA ,"7,87,060",Electrical Works,NA ,Tender,120.0,90.0,Nerchowk,175008.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,1.0,key dates revised,Date,,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"15,750",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER INDICATED IN SCHEDULE F,AOC,1.0,156814.0,SHARMA ELECTRICAL AND ELECTRONIC CO.,INR,"770,000",Finance,financial bid summary,Dalip singh Patial,28-Apr-2020 02:03 PM,finance_53961.pdf,BOQ Comparative Chart,1.0,156829.0,Krishan Pal,16-Apr-2020 09:47 AM,Rejected-Finance,Rejected being L2 firm,28-Apr-2020 02:18 PM,Technical,technical bid summary,Dalip singh Patial,28-Apr-2020 11:57 AM,technical_53961.pdf,PWD,2020_PWD_36559_1,PW/MED/TA/NIT/ e-notice/19-20-9573-79 dt 20.03.20,Supplying and fixing of Guidevane motor in Chiller No II of HVAC Plant installed at Shri Lal Bahadur Shastri Government Medical College and Hospital Nerchowk District Mandi HP,Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Ram Singh JDM Sh Manish Kumar clerk,Dalip singh Patial,28-Apr-2020 12:05 PM,28-Apr-2020 12:10 PM,techsummary_53961.pdf (393.82 KB),Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Ram Singh JDM Sh Manish Kumar clerk,Dalip singh Patial,28-Apr-2020 02:18 PM,finsummary_53961.pdf (329.68 KB),27-May-2020,"INR 770,000",90.0,Dalip singh Patial,23-Jun-2020 11:14 AM,AOC.pdf (588.00 KB),work awarded to M/s Sharma Electrical and Electronics co.,AOC
,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,change of TQC,Other,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,AOC,,,,,,,,,,,,2.0,156814.0,SHARMA ELECTRICAL AND ELECTRONIC CO.,15-Apr-2020 11:31 AM,Accepted-AOC,work awarded being L1 firm,23-Jun-2020 11:14 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,.pdf,Approved OEM (HVAC) or auth. agency of approved OEM (HVAC) or firm auth for exec spel job,AOC,,,,,,,,,,,,3.0,156810.0,SHARMA ELECTRICAL CO.,15-Apr-2020 10:47 AM,Rejected-Finance,Rejected being L2 firm,28-Apr-2020 02:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of last three years as per Technical qualification criteria,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
