S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,DD - Demand Draft,12-Mar-2020 10:00 AM,20-Apr-2020 01:00 PM,12-Mar-2020 11:00 AM,20-Apr-2020 12:00 PM,NA ,NA ,12-Mar-2020 05:00 PM,20-Apr-2020 12:00 PM,27-Apr-2020 11:00 AM,Periodic Maintenance Phiar Duhak Kuhni Road DRRP No. HP0403VR0059 AMP 2020-21 PMGSY Roads,"Providing and Laying G-II, Primer Coat, Built up Spray Grout Single Layer, Tack Coat and 25mm thick Bitumenious concrete in Km 0/0 to 1/0).",Please refer Tender documents. ,NA ,"7,37,039",Civil Works - Roads,NA ,Tender,120.0,60.0,Baijnath,176125.0,NA ,NA ,NA ,Xen HPPWD Division Baijnath,No ,No,350.0,EE Baijnath,Baijnath,No,1.0,extend date again,Date,,"14,800",No,fixed,,EE Baijnath,Baijnath,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F.,PWD,PWD-BD-NIT-2019-20-23574-630,2020_PWD_35989_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,AOC,PWD,2020_PWD_35989_1,PWD-BD-NIT-2019-20-23574-630,Periodic Maintenance Phiar Duhak Kuhni Road DRRP No. HP0403VR0059 AMP 2020-21 PMGSY Roads,Er S K Sood,Internal,Sh. Rajinder Chaudhary SR DAO Sh Ravi Rana HDM Sh Sunil Kumar Supdt GII Er Vaneet Sharma AE Baijnath,Sanjiv Kumar,24-Apr-2020 11:33 AM,27-Apr-2020 11:00 AM,techsummary_52956.pdf (291.26 KB),Er S K Sood,Internal,"HDM, SupdtG-II, Sr. DAO AE Baijnath",Sanjiv Kumar,08-Jun-2020 03:47 PM,finsummary_52956.pdf (119.46 KB),08-Jun-2020,"INR 737,039",60.0,Sanjiv Kumar,08-Jun-2020 03:48 PM,AwardPihar.pdf (267.00 KB),1.0,156969.0,Akshay Acharya,19-Apr-2020 12:33 PM,Rejected-AOC,Higher side,08-Jun-2020 03:48 PM,Technical,Two bidders participated in this work and found responsive. Hence tender recommended by committee to open the financial bid.,Sanjiv Kumar,24-Apr-2020 11:31 AM,technical_52956.pdf,1.0,157001.0,P. L. SHARMA,INR,"1,018,360",Finance,Financial bid open successfully,Sanjiv Kumar,08-Jun-2020 03:46 PM,finance_52956.pdf,BOQ Comparative Chart,AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Earnest Money as Indicated Schedule F.,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,157001.0,P. L. SHARMA,19-Apr-2020 02:29 PM,Accepted-AOC,Lower Side,08-Jun-2020 03:48 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid GST Registration and PAN No.,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that no Both Gazatted Non Gazetted officer employee in HPPWD Division Baijnath related him,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that - arbitration / litigation case with PWD is pending in any court of law.,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished with the bid Name of work is correct in all respect,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery with proof of ownership required as per SBD if hiring affidavit of consent required from o,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum work done amount not less than 40 percent of the estimated cost (without LD) in last 5year,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
