Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
25-Jun-2020,INR 5320000.0,45.0,Abu Meraj Hussain,26-Jun-2020 11:57 AM,WOMinority0001.pdf (501.00 KB),Work Order,"Director,Assam Minorities Development Board",Internal,,Abu Meraj Hussain,25-Jun-2020 02:03 PM,finsummary_25001.pdf (810.19 KB),Welfare of Minorities Development Department||Assam Minorities Development Board,2020_WMDD_16347_1,AMDB.257/Pt-I/2019-2020,"SUPPLY,Installtion and Commisssion OF SOLAR STREET LIGHT FOR THE FINANCIAL YEAR 2019-20",Finance,Financial Bid has Opened,Joynal Abedin Bhuyan,20-Jun-2020 03:32 PM,,BOQ Comparative Chart,1.0,75284.0,Natsakee Incorporation,INR,24280.0,1,75445,A. Energys Pvt. LTd.,14-Feb-2020 07:27 PM,Rejected-Finance,Non Responsive,25-Jun-2020 02:03 PM,Shri Mahmood Hassan,Internal,,Joynal Abedin Bhuyan,18-Feb-2020 04:45 PM,18-Feb-2020 04:50 PM,techsummary_25001.pdf (1416.25 KB),Technical,Technical Bid has opened,Abu Meraj Hussain,17-Feb-2020 02:21 PM,,AOC,07-Feb-2020 12:15 PM,17-Feb-2020 01:00 PM,07-Feb-2020 12:15 PM,15-Feb-2020 02:00 PM,NA ,NA ,08-Feb-2020 10:00 AM,15-Feb-2020 02:00 PM,18-Feb-2020 04:50 PM,Director,Assam Minorities Development Board Ganeshguri Ghy-06,"SUPPLY,Installtion and Commisssion OF SOLAR STREET LIGHT FOR THE FINANCIAL YEAR 2019-20","SUPPLY,Installtion and Commisssion OF SOLAR STREET LIGHT FOR THE FINANCIAL YEAR 2019-20",Please refer Tender documents. ,NA ,"53,20,000",Miscellaneous Goods,NA ,Tender,45.0,45.0,Guwahati,781006.0,NA ,NA ,NA ,Assam Minorities Development Board Ganeshguri Ghy,No ,No,"1,06,400",Yes,percentage,2.0%,Director,Ghty,Welfare of Minorities Development Department||Assam Minorities Development Board,AMDB.257/Pt-I/2019-2020,2020_WMDD_16347_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Details,1.0,SBI Bank,1.0,AOC Corrigendum,AOC,,"1,000",Director,Ghty,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,75451,ARCHNIRMAN PRIVATE LIMITED,14-Feb-2020 08:59 PM,Rejected-Finance,Non Responsive,25-Jun-2020 02:03 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender document,,,2.0,Corrigendum,Financial Bid,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,74889,EASTERN ENVO PROTECT.,15-Feb-2020 12:26 PM,Rejected-Technical,Technical Bid Rejected,18-Feb-2020 04:45 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,75434,Green Lighting,15-Feb-2020 01:23 PM,Rejected-Technical,Technical Bid Rejected,18-Feb-2020 04:45 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,75429,IGNITE ELECTRONICS,14-Feb-2020 05:29 PM,Rejected-Technical,Technical Bid Rejected,18-Feb-2020 04:45 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,75284,Natsakee Incorporation,15-Feb-2020 12:58 PM,Accepted-AOC,Awarded,26-Jun-2020 11:58 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,75466,North East Agency,15-Feb-2020 12:14 PM,Rejected-AOC,Not Awarded,26-Jun-2020 11:58 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,75101,PUSHPAK COMMODEAL PVT LTD,12-Feb-2020 06:18 PM,Rejected-Technical,Technical Bid Rejected,18-Feb-2020 04:45 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,74747,SAHAJ SOLAR PRIVATE LIMITED,15-Feb-2020 12:53 PM,Rejected-Technical,Technical Bid Rejected,18-Feb-2020 04:45 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,75438,SHREE ANANT UDYOG,15-Feb-2020 01:24 PM,Rejected-Technical,Technical Bid Rejected,18-Feb-2020 04:45 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
