Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
Technical,technical evaluation summary,Ram Saroop Kalia,23-Aug-2019 05:36 PM,technical_43508.pdf,1.0,125124.0,KULDEEP SINGH GOVT. CONTRACTOR,18-Jul-2019 07:06 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,23-Aug-2019 05:36 PM,1.0,126018.0,SANJIV KUMAR,INR,"27,671,736",Finance,Fin bid opened,Ram Saroop Kalia,06-Jun-2020 04:36 PM,finance_43508.pdf,BOQ Comparative Chart,Er Sanjiv Kumar EE,Internal,Supdt HDM DAO,Ram Saroop Kalia,06-Jun-2020 05:05 PM,finsummary_43508.pdf (101.68 KB),06-Jun-2020,"INR 27,671,736",365.0,Ram Saroop Kalia,06-Jun-2020 05:18 PM,AOC1.pdf (256.00 KB),Work Awarded,PWD,2019_PWD_30181_1,PW/BGN/T-I/2019-20-1732-43 dt 19.06.2019 and 3507-,Construction of Link road from Jole to Kainth via Choora Amroh Dharun Kuhroo Sanjhot road Km 00 to 14255 MT under NABARD RIDF XXIV SH Co 5 7 mtr wide Formation cutting Retaining wall Cross Drainage work GSB WMM M/T U shape drain Parapets KM Stone a,EE,Internal,GASupdtHDMDAOAE,Ram Saroop Kalia,23-Aug-2019 05:37 PM,29-Aug-2019 11:00 AM,techsummary_43508.pdf (118.00 KB),AOC,"5,000",Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,No,"2,18,600",No,fixed,,Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),PWD,PW/BGN/T-I/2019-20-1732-43 dt 19.06.2019 and 3507-,2019_PWD_30181_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,12-Jul-2019 05:00 PM,27-Jul-2019 11:30 AM,12-Jul-2019 05:00 PM,26-Jul-2019 05:00 PM,NA ,NA ,12-Jul-2019 05:00 PM,26-Jul-2019 05:00 PM,29-Aug-2019 11:00 AM,Construction of Link road from Jole to Kainth via Choora Amroh Dharun Kuhroo Sanjhot road Km 00 to 14255 MT under NABARD RIDF XXIV SH Co 5 7 mtr wide Formation cutting Retaining wall Cross Drainage work GSB WMM M/T U shape drain Parapets KM Stone a,Construction of Link road from Jole to Kainth via Choora Amroh Dharun Kuhroo Sanjhot road Km 00 to 14255 MT under NABARD RIDF XXIV SH Co 5 7 mtr wide Formation cutting Retaining wall Cross Drainage work GSB WMM M/T U shape drain Parapets KM Stone a,Please refer Tender documents. ,NA ,"1,86,01,081",Civil Works - Roads,NA ,Tender,120.0,365.0,Bangana,174307.0,NA ,NA ,NA ,Executive Engineer HPWD Bangana,No ,No,1.0,DD - Demand Draft,1.0,corrigendum,Date,,AOC
,,,,,2.0,126020.0,Ramesh Chand Sharma,26-Jul-2019 04:46 PM,Rejected-AOC,Higher,06-Jun-2020 05:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,AOC
,,,,,3.0,126018.0,SANJIV KUMAR,26-Jul-2019 04:54 PM,Accepted-AOC,Lowest,06-Jun-2020 05:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,G.S.T. No. and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Work Done Certificate on prescribed format given in Bidding Document without liquidated damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,List of Machinery Tool Plant with proof of ownership or legal tie-up and list of laboratory equipmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Affidavit regarding no litigation with the department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,From No 8 duly signed by Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
