Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,Tender Stage
Er. Sushil Dhadwal,Internal,Sh.Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,04-Jun-2020 06:45 PM,finsummary_48113.pdf (470.33 KB),05-Jun-2020,"INR 801,750",30.0,Sushil Kumar Dhadwal,05-Jun-2020 04:18 PM,33382_2.pdf (900.00 KB),Shri Gandharav Singh,PWD,2019_PWD_33382_2,7233-60,"Periodic Maintenance of Gaggal, Chetru , Dharamshala Meclodganj Road km 0/000 to 22/910 in Distt. Kangra, HP (Balance work for Providing and Laying 30mm thick Bituminous concrete laying with paver finisher at RD 12/950 to 13/380)",Er. Sushil Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,06-Jan-2020 03:00 PM,06-Jan-2020 03:05 PM,techsummary_48113.pdf (761.78 KB),Technical,As per document attached,Tarlok Dhiman,02-Jan-2020 12:13 PM,technical_48113.pdf,1.0,142865.0,Navneet Thakur,28-Dec-2019 05:20 PM,Rejected-Finance,L2,04-Jun-2020 06:45 PM,Finance,As per document attached,Tarlok Dhiman,06-Jan-2020 03:22 PM,finance_48113.pdf,BOQ Comparative Chart,1.0,142854.0,Singh,INR,"801,750",AOC,"12,200",No,fixed,,EE Dharamshala,Dharamshala,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (Indicated in schedule F),16-Dec-2019 10:00 AM,31-Dec-2019 11:30 AM,16-Dec-2019 10:00 AM,30-Dec-2019 05:00 PM,NA ,NA ,16-Dec-2019 10:00 AM,30-Dec-2019 05:00 PM,06-Jan-2020 03:05 PM,"Periodic Maintenance of Gaggal, Chetru , Dharamshala Meclodganj Road km 0/000 to 22/910 in Distt. Kangra, HP (Balance work for Providing and Laying 30mm thick Bituminous concrete laying with paver finisher at RD 12/950 to 13/380)","Periodic Maintenance of Gaggal, Chetru , Dharamshala Meclodganj Road km 0/000 to 22/910 in Distt. Kangra, HP (Balance work for Providing and Laying 30mm thick Bituminous concrete laying with paver finisher at RD 12/950 to 13/380)",Please refer Tender documents. ,NA ,"6,08,122",Civil Works - Roads,NA ,Tender,120.0,30.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,PWD,7233-60,2019_PWD_33382_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE Dharamshala,Dharamshala,No,1.0,DD - Demand Draft,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,142854.0,Singh,28-Dec-2019 04:28 PM,Accepted-AOC,L1,05-Jun-2020 04:18 PM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Earnest Money (Indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,GST registration (General rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Work done certificate (General rule 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper (General rule 26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him (General rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Affidavit that information furnished with name of work iscorrect dulyattested by competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,List of staff and machinery including Hot Mix plant with proof i.e RCs etc. for tarring work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Affidavit that contractor do not have more than two work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
