Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Instrument Type,Tender Stage
Public Works Roads Department,2019_PWD_15423_17,CESTBRNAB/RIDFXXV/17/19-20/Pt6,MLCSNA/RIDF-XXV/Nagaon/02,1.0,71301.0,GUNJ ASSOCIATES,INR,20410200.0,1,71116,Badrul Islam,07-Jan-2020 01:39 AM,Rejected-Finance,Rejected,22-Jun-2020 04:04 PM,Chief Engineer PWD,Internal,Chief Engineer PWD,CHANDAN KUMAR DAS,22-Jun-2020 04:04 PM,finsummary_23398.pdf (715.07 KB),CE,Internal,AE AEE EE ADD,CHANDAN KUMAR DAS,30-Jan-2020 08:23 PM,31-Jan-2020 10:00 AM,techsummary_23398.pdf (109.80 KB),Technical,Admitted,CHANDAN KUMAR DAS,30-Jan-2020 08:21 PM,technical_23398.pdf,22-Jun-2020,INR 2.2678E+7,548.0,CHANDAN KUMAR DAS,22-Jun-2020 04:14 PM,NAGAON_02WO.pdf (715.00 KB),Admitted,Finance,Admitted,CHANDAN KUMAR DAS,22-Jun-2020 03:45 PM,finance_23398.pdf,BOQ Comparative Chart,AOC,MLCSNA/RIDF-XXV/Nagaon/02,MLCSNA/RIDF-XXV/Nagaon/02 Construction of RCC Br. No. 6/1 on Sonai Saidoria Road including approaches and Protection works under Mahavir Lachit Chilarai Setu Nirman Abhijan under RIDF-XXV of NABARD for the year 2019-20 in Nagaon District under Nagao,Please refer Tender documents. ,NA ,"2,26,78,000",Civil Works,NA ,Tender,180.0,548.0,Nagaon,781003.0,NA ,NA ,NA ,"O/o the Chief Engineer, PWD (Roads), Assam",No ,No,20-Dec-2019 06:00 PM,10-Jan-2020 11:00 AM,20-Dec-2019 06:00 PM,09-Jan-2020 02:00 PM,20-Dec-2019 06:00 PM ,08-Jan-2020 02:00 PM ,20-Dec-2019 06:00 PM,09-Jan-2020 02:00 PM,31-Jan-2020 10:00 AM,1.0,Fee/PreQual/Technical,.pdf,EMD,"6,900","Empowered Officer, ASRB",GUWAHATI,No,"Chief Engineer, PWD (Roads), Assam","O/o the Chief Engineer, PWD (Roads), Assam, Chandmari, Guwahati, 781003",1.0,Bid Submission Date Extension,Date,,Public Works Roads Department,CESTBRNAB/RIDFXXV/17/19-20/Pt6,2019_PWD_15423_17,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"4,53,560",Yes,fixed,,"Chief Engineer, PWD (Roads), Assam",GUWAHATI,1.0,DD - Demand Draft,AOC
,,,,,,,,,2,71301,GUNJ ASSOCIATES,08-Jan-2020 01:24 PM,Accepted-AOC,Admitted,22-Jun-2020 04:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,AOC
,,,,,,,,,3,71079,Md Nawshad Ali,07-Jan-2020 04:41 PM,Rejected-Finance,Rejected,22-Jun-2020 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,AOC
,,,,,,,,,4,71279,Pallab Chetia,08-Jan-2020 11:54 AM,Rejected-Finance,Rejected,22-Jun-2020 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,AOC
,,,,,,,,,5,71067,Ramawtar Agarwala,06-Jan-2020 04:19 PM,Rejected-Finance,Rejected,22-Jun-2020 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,71220,Ramesh Kr Agarwalla,07-Jan-2020 08:24 PM,Rejected-Finance,Rejected,22-Jun-2020 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,71217,RCN Constructions Pvt Ltd,08-Jan-2020 03:42 AM,Rejected-Finance,Rejected,22-Jun-2020 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,71268,Rishabh Jain,08-Jan-2020 01:43 PM,Rejected-Finance,Rejected,22-Jun-2020 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,71370,Safiqul Hoque,09-Jan-2020 01:57 AM,Rejected-Finance,Rejected,22-Jun-2020 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,70934,Sri Sunil Barua,08-Jan-2020 12:02 PM,Rejected-Finance,Rejected,22-Jun-2020 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
