Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Er. S.K. Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,04-Jun-2020 05:53 PM,finsummary_47592.pdf (308.32 KB),05-Jun-2020,"INR 997,985",30.0,Sushil Kumar Dhadwal,05-Jun-2020 03:40 PM,33022_3.pdf (919.00 KB),Shri Navneet Thakur,PWD,2019_PWD_33022_3,6801-04,Annual Surfacing on approach road to Cricket Stadium Dharamshala km 0/000 to 1/000 in Tehsil Dharamshala Distt. Kangra HP,Er. Sushil Dhadwal,Internal,Shri Vikramjit Senior DAO Shri Ashok Kumar Superintendent Shri Suresh Kapoor HDM and Shri Vipan Kumar Senior Assistant,Sushil Kumar Dhadwal,18-Dec-2019 03:52 PM,18-Dec-2019 04:00 PM,techsummary_47592.pdf (766.13 KB),Technical,As per document attached,Sushil Kumar Dhadwal,16-Dec-2019 06:39 PM,technical_47592.pdf,1.0,140095.0,Navneet Thakur,15-Dec-2019 02:46 PM,Accepted-AOC,L1,05-Jun-2020 03:40 PM,Finance,As per docukment attached,Sushil Kumar Dhadwal,18-Dec-2019 05:50 PM,finance_47592.pdf,BOQ Comparative Chart,1.0,140095.0,Navneet Thakur,INR,"997,985",AOC,1.0,DD - Demand Draft,02-Dec-2019 10:00 AM,16-Dec-2019 11:30 AM,02-Dec-2019 10:00 AM,16-Dec-2019 11:00 AM,NA ,NA ,02-Dec-2019 10:00 AM,16-Dec-2019 11:00 AM,18-Dec-2019 04:00 PM,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form(Indicated in Schedule F),Annual Surfacing on approach road to Cricket Stadium Dharamshala km 0/000 to 1/000 in Tehsil Dharamshala Distt. Kangra HP,SH- Provding and Laying 30mm thick Bituminous Concrete laying with Paver Finisher and hot applied thermoplastic compound 2.5mm in km 0/350 to 0/700,Please refer Tender documents. ,NA ,"7,37,980",Civil Works - Roads,NA ,Tender,120.0,30.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,350.0,EE Dharamshala,Dharamshala,No,"14,800",No,fixed,,EE Dharamshala,Dharamshala,PWD,6801-04,2019_PWD_33022_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,140228.0,Rohit,15-Dec-2019 06:03 PM,Rejected-Finance,Higher bidder,04-Jun-2020 05:53 PM,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,.pdf,Earnest Money (Indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,GST registration (General rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Work done certificate (General rule 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper (General rule 26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him (General rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work iscorrect dulyattested by competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,List of machinery including Hot Mix plant with proof of ownership i.e RCs etc. and staff (indicated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
