Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
26-Nov-2019 10:30 AM,27-Dec-2019 11:00 AM,26-Nov-2019 10:30 AM,26-Dec-2019 02:00 PM,26-Nov-2019 10:30 AM ,17-Dec-2019 02:00 PM ,26-Nov-2019 10:30 AM,26-Dec-2019 02:00 PM,27-Jan-2020 03:00 PM,"Chief Engineer, PWD (Roads), Assam","O/o the Chief Engineer, PWD (Roads), Assam, Chandmari, Guwahati, 781003",1.0,Fee/PreQual/Technical,.pdf,EMD,Public Works Roads Department,CESTBRNAB/RIDFXXV/17/19-20/Pt2,2019_PWD_14907_15,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"5,700","Empowered Officer, ASRB",GUWAHATI,No,MLCSNA/RIDF-XXV/Barpeta/02,MLCSNA/RIDF-XXV/Barpeta/02 Construction of RCC Bridge No. 6/1 on Upanoi to Ulua Road (Jalikhata Gobarkuchi) under Mahavir Lachit Chilarai Setu Nirman Abhijan (MLCSNA) under RIDF-XXV of NABARD for the year 2019-20 under Barpeta Rural Road Division,Please refer Tender documents. ,NA ,"1,88,84,000",Civil Works - Bridges,NA ,Tender,180.0,548.0,Barpeta,781003.0,NA ,NA ,NA ,"O/o the Chief Engineer, PWD (Roads), Assam",No ,No,1.0,DD - Demand Draft,"3,77,680",Yes,fixed,,"Chief Engineer, PWD (Roads), Assam",GUWAHATI,1.0,Extension,Date,,AOC,Public Works Roads Department,2019_PWD_14907_15,CESTBRNAB/RIDFXXV/17/19-20/Pt2,MLCSNA/RIDF-XXV/Barpeta/02,Technical,Verified,GAURI KANTA BARMAN,27-Jan-2020 02:38 PM,,1,69562,ANUPAM NIRMAN PVT. LTD.,26-Dec-2019 12:08 PM,Rejected-Finance,Verified,19-Jun-2020 01:58 PM,AOC
,,,,,,,,,,,,,.pdf,Cost of Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,AOC,,,,,,,,,,2,69495,DILIP MAZUMDAR,26-Dec-2019 01:38 PM,Rejected-Finance,Verified,19-Jun-2020 01:58 PM,AOC
,,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,AOC,,,,,,,,,,3,69439,kajalkrdas,25-Dec-2019 10:33 PM,Rejected-Finance,Verified,19-Jun-2020 01:58 PM,AOC
,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,AOC,,,,,,,,,,4,69529,KIRTIDHEERA ASSOCIATES,26-Dec-2019 01:56 PM,Rejected-Finance,Verified,19-Jun-2020 01:58 PM,AOC
,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,5,69202,Md. Sarif Ali,24-Dec-2019 07:33 PM,Rejected-Finance,Verified,19-Jun-2020 01:58 PM,AOC
,,,,,,,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,6,68870,M/S. PRIDE EAST CONSTRUCTION,21-Dec-2019 11:53 AM,Rejected-Finance,Verified,19-Jun-2020 01:58 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,7,69254,PRASANTA DEY,26-Dec-2019 04:46 AM,Rejected-Finance,Verified,19-Jun-2020 01:58 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,8,68993,Puberun Real Estate Pvt. Ltd.,26-Dec-2019 03:11 AM,Accepted-AOC,Qualified,19-Jun-2020 01:59 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,9,69598,Sankalpa Associates,26-Dec-2019 01:16 PM,Rejected-Finance,Verified,19-Jun-2020 01:58 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,10,69579,SAURABH TALUKDAR,26-Dec-2019 12:36 PM,Rejected-Finance,Verified,19-Jun-2020 01:58 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,11,69252,SUNITI CONSTRUCTION PVT LTD,26-Dec-2019 05:15 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,27-Jan-2020 02:38 PM,AOC
