Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Bid Submission Opening Date,Bid Submission Closing Date,Pre Bid Meeting Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date.1,Bid Opening Date.1,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date.1,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"Director Fire and Emergency Services, Assam","OFFICE OF THE DIRECTOR, FIRE AND EMERGENCY SERVICES, ASSAM PANBAZAR, GUWAHATI-1",Director- Fire and Emergency Services-Assam,F AND ES/PS/SDRF/189/PT II/2164,2019_FESA_13428_1,Yes,Open Tender,Works,Works,2.0,No,No,Offline,No,No,Yes,19-Nov-2019 05:00 PM,26-Nov-2019 03:00 PM,19-Nov-2019 05:30 PM,26-Nov-2019 02:00 PM,,"3,00,000",Yes,fixed,,"DIRECTOR, FIRE AND EMERGENCY SERVICES, ASSAM",Guwahati,"2,000","DIRECTOR, FIRE AND EMERGENCY SERVICES, ASSAM",Guwahati,No,1.0,Fee/PreQual/Technical,.pdf,TENDER FEE,1.0,BG - Bank Guarantee Irrevocable,1.0,CLARIFICATION,Date,,02-Jul-2019 09:00 AM,01-Aug-2019 03:00 PM,02-Jul-2019 09:30 AM,01-Aug-2019 02:00 PM,NA ,NA ,03-Jul-2019 03:30 PM,01-Aug-2019 02:00 PM,26-Nov-2019 03:00 PM,Supply of Essential Search and Rescue Equipment for State Disaster Response Force,Supply of Essential Search and Rescue Equipment for State Disaster Response Force (SDRF),Please refer Tender documents. ,NA ,"1,38,31,813",Composite Works,NA ,Tender,365.0,60.0,Panbazar Guwahati,781001.0,Panbazar Guwahati ,"OFFICE OF THE DIRECTOR, FIRE AND EMERGENCY SERVICES, ASSAM PANBAZAR, GUWAHATI-1  ",08-Jul-2019 03:00 PM ,Panbazar Guwahati,No ,No,AOC,B J Mahanta,Internal,"D Das, D. Nath, S Bhattacharyya, L Goswami, A medhi, B Talukdar",Lohit Goswami,19-Nov-2019 04:38 PM,techsummary_20848.pdf (2893.15 KB),1.0,62098.0,Medihelp Healthcare Pvt. Ltd,INR,110638.0,04-Jan-2020,INR 19195214,60.0,Pulin Chandra Roy,22-Jun-2020 01:45 PM,SEARCHANDRECUEEQUIP.pdf (3880.00 KB),SUPPLY OF ESSENTIAL SEARCH AND RESCUE EQUIPMENT FOR 3RD COMPANY OF SDRF,Director- Fire and Emergency Services-Assam,2019_FESA_13428_1,F AND ES/PS/SDRF/189/PT II/2164,Supply of Essential Search and Rescue Equipment for State Disaster Response Force,Finance,COMPERATIVE STATEMENT,Pulin Chandra Roy,07-Dec-2019 05:24 PM,finance_20848.pdf,BOQ Comparative Chart,B J MAHANTA IPS,Internal,"D DAS, D NATH, L GOSWAMI",Pulin Chandra Roy,07-Dec-2019 05:51 PM,finsummary_20848.pdf (3319.97 KB),1,62683,East India Consortium,01-Aug-2019 01:08 PM,Accepted-AOC,FINANCIALLY QUALIFIED,22-Jun-2020 01:45 PM,Technical,minutes,Lohit Goswami,19-Nov-2019 04:34 PM,technical_20848.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,2.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,62437.0,VISHAL VYAPAR VIKASH,INR,1864400.0,,,,,,,,,,,,,,,,,,,,,,,,2,61571,GOENKA ENGG AND INDUSTRIAL PVT LTD,31-Jul-2019 06:03 PM,Rejected-Technical,Technically Disqualified,19-Nov-2019 04:38 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,QUALIFICATION CRITERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3.0,62625.0,JYOTECH ENGG AND MKTG CONSULTANTS,INR,3482460.0,,,,,,,,,,,,,,,,,,,,,,,,3,62625,JYOTECH ENGG AND MKTG CONSULTANTS,30-Jul-2019 03:13 PM,Accepted-AOC,FINANCIALLY QUALIFIED,22-Jun-2020 01:45 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TENDER DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4.0,62663.0,Sova Enterprise,INR,5098566.0,,,,,,,,,,,,,,,,,,,,,,,,4,62211,Machinery Marketing Associates Pvt Ltd,20-Jul-2019 05:23 PM,Rejected-AOC,FINANCIALLY NOT QUALIFIED,22-Jun-2020 01:45 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5.0,62683.0,East India Consortium,INR,8639150.0,,,,,,,,,,,,,,,,,,,,,,,,5,62098,Medihelp Healthcare Pvt. Ltd,27-Jul-2019 11:36 AM,Accepted-AOC,FINANCIALLY QUALIFIED,22-Jun-2020 01:45 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY ADDITIONAL DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,62663,Sova Enterprise,31-Jul-2019 01:06 PM,Accepted-AOC,FINANCIALLY QUALIFIED,22-Jun-2020 01:45 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,62388,SYSTEM AND EQUIPMENTS,01-Aug-2019 10:36 AM,Not Admitted-Finance,Stage 2 Not Submitted Bid,07-Dec-2019 05:24 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,62723,TECHNO SYSTEMS,01-Aug-2019 01:57 PM,Rejected-Technical,Technically Disqualified,19-Nov-2019 04:38 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,62233,VIJAY SABRE SAFETY PVT LTD,30-Jul-2019 05:46 PM,Rejected-AOC,FINANCIALLY NOT QUALIFIED,22-Jun-2020 01:45 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,62437,VISHAL VYAPAR VIKASH,01-Aug-2019 01:24 PM,Accepted-AOC,FINANCIALLY QUALIFIED,22-Jun-2020 01:45 PM,,,,,,AOC
