Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,technical bid summary,Dalip singh Patial,18-Mar-2020 11:32 AM,technical_52716.pdf,1.0,154454.0,SHARMA ELECTRICAL AND ELECTRONIC CO.,12-Mar-2020 06:32 PM,Accepted-AOC,work awarded being L1 firm,23-Jun-2020 11:23 AM,1.0,154454.0,SHARMA ELECTRICAL AND ELECTRONIC CO.,INR,"770,500",Finance,FINANCIAL BID SUMMARY,Dalip singh Patial,19-Mar-2020 01:06 PM,finance_52716.pdf,BOQ Comparative Chart,27-May-2020,"INR 770,500",365.0,Dalip singh Patial,23-Jun-2020 11:22 AM,AOC.pdf (642.00 KB),work awarded to M/s Sharma Electrical and Electronics Co.,Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Smt Karuna Sharma Supdt Sh Kapil Dev Sr Asstt,Dalip singh Patial,19-Mar-2020 01:09 PM,finsummary_52716.pdf (277.36 KB),Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Smt Karuna Sharma Supdt Sh Kapil Dev Sr Asstt,Dalip singh Patial,18-Mar-2020 11:39 AM,18-Mar-2020 12:00 PM,techsummary_52716.pdf (332.29 KB),PWD,2020_PWD_35866_1,PW/MED/TA/NIT/ e-notice/19-20-8379-85 dt 18.02.20,"Annual repair and maintenance of Six Nos. Lift Elevators in Nursing Hostel, Nursing Student Hostel Block B, Nursing college at Shri Lal Bahadur Shastri Govt. Medical College and Hospital, Nerchowk District Mandi HP",AOC,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"Annual repair and maintenance of Six Nos. Lift Elevators in Nursing Hostel, Nursing Student Hostel Block B, Nursing college at Shri Lal Bahadur Shastri Govt. Medical College and Hospital, Nerchowk District Mandi HP","Annual repair and maintenance of Six Nos. Lift Elevators in Nursing Hostel, Nursing Student Hostel Block B, Nursing college at Shri Lal Bahadur Shastri Govt. Medical College and Hospital, Nerchowk District Mandi HP",Please refer to bid document ,NA ,"7,72,104",Electrical Works,NA ,Tender,120.0,365.0,Nerchowk,175008.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,1.0,DD - Demand Draft,PWD,PW/MED/TA/NIT/ e-notice/19-20-8379-85 dt 18.02.20,2020_PWD_35866_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"15,450",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",04-Mar-2020 10:00 AM,16-Mar-2020 11:30 AM,04-Mar-2020 10:00 AM,13-Mar-2020 06:00 PM,NA ,NA ,04-Mar-2020 10:00 AM,13-Mar-2020 06:00 PM,18-Mar-2020 12:00 PM,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,",350.0,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,No,AOC
,,,,,2.0,154153.0,SHARMA ELECTRICAL CO.,12-Mar-2020 04:43 PM,Rejected-Finance,Rejected being L2 firm,19-Mar-2020 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Approved OEM (Lift) or auth. agency of approved OEM (Lift),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST REGITRATION GENERAL RULES,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES NO,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,AOC
