Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Executive Engineer HPPWD Division Baijnath,Executive Engineer HPPWD Division Baijnath,Improvement and Strengthening of Jalag Dali Nahanla road Km 0/0 to 8/960,Providing and Laying built up spray grout single layer 2cm thick premix carpet with seal coat at Km 3/200 to 4/200,Please refer Tender documents. ,NA ,"6,04,296",Civil Works - Roads,NA ,Tender,90.0,30.0,Jalag,176125.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Baijnath,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F.,"12,100",No,fixed,,Executive Engineer HPPWD Division Baijnath,Baijnath,1.0,DD - Demand Draft,05-Jan-2019 10:00 AM,21-Jan-2019 11:00 AM,05-Jan-2019 11:00 AM,21-Jan-2019 10:30 AM,NA ,NA ,05-Jan-2019 02:00 PM,21-Jan-2019 10:30 AM,04-Feb-2019 11:00 AM,350.0,Executive Engineer HPPWD Division Baijnath,Baijnath,No,PWD,PWD-BD-NIT-2018-19/14876-940,2019_PWD_25716_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,Er S.K. Sood,Internal,Sh Rajinder Choudhary Sr DAO Sh Ravi Rana HDM Sh Sunil Kumar Supdt II Er Vaneet Sharma AE Baijnath,Sanjiv Kumar,30-Jan-2019 05:05 PM,04-Feb-2019 11:00 AM,techsummary_36032.pdf (500.23 KB),PWD,2019_PWD_25716_1,PWD-BD-NIT-2018-19/14876-940,Improvement and Strengthening of Jalag Dali Nahanla road Km 0/0 to 8/960,18-Jun-2020,"INR 604,296",30.0,Sanjiv Kumar,18-Jun-2020 02:55 PM,Awardjalag.pdf (109.00 KB),Er SK Sood,Internal,HDM SupdtGII Sr DAO AE Baijanth,Sanjiv Kumar,18-Jun-2020 02:53 PM,finsummary_36032.pdf (65.46 KB),1.0,108566.0,GALAXY ASSOCIATE,20-Jan-2019 03:22 PM,Rejected-AOC,Higher,18-Jun-2020 02:55 PM,Technical,Three bidders participated in this work and found responsive hence committee recommended the tender to open financial bid.,Sanjiv Kumar,30-Jan-2019 05:02 PM,technical_36032.pdf,Finance,Financial bid open successfully,Sanjiv Kumar,18-Jun-2020 02:51 PM,finance_36032.pdf,BOQ Comparative Chart,1.0,108593.0,Shalabh Awasthi,INR,"795,821",AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Earnest Money as Indicated Schedule F.,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,108593.0,Shalabh Awasthi,20-Jan-2019 06:35 PM,Accepted-AOC,Lower Side,18-Jun-2020 02:55 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,3.0,108561.0,TANUJ SHARMA,20-Jan-2019 07:30 PM,Rejected-AOC,Higher,18-Jun-2020 02:55 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tool with proof i.c hiring of machinery affidavit required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that no arbitration / litigation with PWD in pending in any court of law.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit information furnished with the bid Name of work is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
