Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Stage
"Director,Assam Minorities Development Board",Internal,,Abu Meraj Hussain,25-Jun-2020 01:59 PM,finsummary_24854.pdf (762.49 KB),Shri Mahmood Hassan,Internal,,Joynal Abedin Bhuyan,18-Feb-2020 04:40 PM,18-Feb-2020 04:45 PM,techsummary_24854.pdf (1366.69 KB),1.0,75137.0,TIRUPATI CONSTRUCTION AND SUPPLY,INR,83636.0,25-Jun-2020,INR 1.38E+7,45.0,Abu Meraj Hussain,25-Jun-2020 02:09 PM,WOeRickshaw0001.pdf (586.00 KB),Work Order,Technical,Technical bid Has opened,Abu Meraj Hussain,17-Feb-2020 01:59 PM,,Finance,Financial Bid has opened,Joynal Abedin Bhuyan,20-Jun-2020 03:33 PM,,BOQ Comparative Chart,1,75446,A. Energys Pvt. LTd.,14-Feb-2020 08:08 PM,Rejected-AOC,Not Awarded,25-Jun-2020 02:09 PM,Welfare of Minorities Development Department||Assam Minorities Development Board,2020_WMDD_16264_1,AMDB.257/Pt-I/2019-2020,SUPPLY OF e-RICKSHAW FOR THE FINANCIAL Year 2019-20,AOC,Director,Assam Minorities Development Board ganeshguri Ghy,"2,76,000",Yes,percentage,2.0%,Director,Ghty,Welfare of Minorities Development Department||Assam Minorities Development Board,AMDB.257/Pt-I/2019-2020,2020_WMDD_16264_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Details,"3,000",Director,Ghty,No,SUPPLY OF e-RICKSHAW FOR THE FINANCIAL Year 2019-20,SUPPLY OF e-RICKSHAW FOR THE FINANCIAL Year 2019-20,Please refer Tender documents. ,NA ,"1,38,00,000",Miscellaneous Goods,NA ,Tender,45.0,45.0,Guwahati,781006.0,Assam Minorities Development Board ganeshguri Ghy ,Assam Minorities Development Board ganeshguri Ghy-06 ,07-Feb-2020 03:00 PM ,Assam Minorities Development Board ganeshguri Ghy,No ,No,03-Feb-2020 04:30 PM,17-Feb-2020 01:00 PM,03-Feb-2020 04:30 PM,15-Feb-2020 02:00 PM,NA ,NA ,08-Feb-2020 10:00 AM,15-Feb-2020 02:00 PM,18-Feb-2020 04:45 PM,1.0,Corrigendum for date extension,Date,,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,75467,ARCHNIRMAN PRIVATE LIMITED,15-Feb-2020 10:56 AM,Rejected-Finance,Financially Rejected,25-Jun-2020 01:59 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum,Financial Bid,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,74600,AVON CYCLES LIMITED,10-Feb-2020 02:47 PM,Rejected-Finance,Financially Rejected,25-Jun-2020 01:59 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Corrigendum For 2020_WMDD_16264_1,Other,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,75414,Brahmaputra Automobiles Pvt. Ltd,15-Feb-2020 12:51 PM,Rejected-Finance,Financially Rejected,25-Jun-2020 01:59 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Corrigendum For Technical Specification,Technical Bid,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,75417,ELEPHANTA INDUSTRIES PRIVATE LIMITED,14-Feb-2020 06:45 PM,Rejected-Technical,Technical Bid Rejected,18-Feb-2020 04:40 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,75232,HOOGHLY MOTORS PRIVATE LIMITED,13-Feb-2020 07:53 PM,Rejected-Technical,Technical Bid Rejected,18-Feb-2020 04:40 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,75199,KALINGA VENTURES INDIA PVT. LTD.,15-Feb-2020 01:42 PM,Rejected-Technical,Technical Bid Rejected,18-Feb-2020 04:40 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,74791,KSL CLEANTECH LIMITED,14-Feb-2020 05:53 PM,Rejected-Technical,Technical Bid Rejected,18-Feb-2020 04:40 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,75479,North East Agency,15-Feb-2020 12:30 PM,Rejected-Finance,Financially Rejected,25-Jun-2020 01:59 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,74650,PREVALENCE GREEN SOLUTIONS PVT LTD,15-Feb-2020 01:53 PM,Rejected-Technical,Technical Bid Rejected,18-Feb-2020 04:40 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
