S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1,Instrument Type,Tender Stage
1.0,160248.0,DALIP SINGH CONTRUCTOR,INR,"1,927,398",Finance,SUMMARY,Rattan Kumar Sharma,12-Jun-2020 10:26 AM,finance_54621.pdf,BOQ Comparative Chart,Technical,SUMMARY,Rattan Kumar Sharma,03-Jun-2020 03:10 PM,technical_54621.pdf,1.0,159997.0,Ashok Kumar,30-May-2020 03:04 PM,Rejected-Finance,NOT THE LOWEST BIDDER,20-Jun-2020 11:41 AM,Executive Engineer,Internal,Tender Assistant DHD DAO Superintendent G-II,Rattan Kumar Sharma,20-Jun-2020 11:41 AM,finsummary_54621.pdf (226.59 KB),20-Jun-2020,"INR 1,643,587",180.0,Rattan Kumar Sharma,20-Jun-2020 11:42 AM,10.pdf (813.00 KB),AOC,PWD,2020_PWD_37007_9,24-74 DATED 22.04.2020,M/T on Link road to village Thalak Kaknola Km. 0/0 to 3/00,Executive Engineer,Internal,Superintendent G-II DHD DAO,Rattan Kumar Sharma,09-Jun-2020 11:04 AM,09-Jun-2020 11:30 AM,techsummary_54621.pdf (732.83 KB),AOC,"32,200",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,1.0,Fee/PreQual/Technical,.pdf,26.1. COST OF TENDER,500.0,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,No,1.0,Corrigendum,Date,,PWD,24-74 DATED 22.04.2020,2020_PWD_37007_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,M/T on Link road to village Thalak Kaknola Km. 0/0 to 3/00,"P/L WBM Grading-l, Grading-ll,M/T and C/O PCC Road Side drain in Km. 0/00 to 1/00)Under SCSP",Please refer Tender documents. ,NA ,"16,43,587",Civil Works,NA ,Tender,90.0,180.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,08-May-2020 05:00 PM,02-Jun-2020 11:30 AM,08-May-2020 05:00 PM,01-Jun-2020 05:00 PM,NA ,NA ,08-May-2020 05:00 PM,01-Jun-2020 05:00 PM,09-Jun-2020 11:30 AM,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,2.0,159908.0,BALBIR SINGH,01-Jun-2020 08:34 AM,Rejected-Finance,NOT THE LOWEST BIDDER,20-Jun-2020 11:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,26.2.EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,3.0,160248.0,DALIP SINGH CONTRUCTOR,01-Jun-2020 02:58 PM,Accepted-AOC,AOC,20-Jun-2020 11:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,26.3.CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,159680.0,Khajan Singh,28-May-2020 10:26 AM,Rejected-Finance,NOT THE LOWEST BIDDER,20-Jun-2020 11:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,26.4.GST REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,160276.0,M/S SARVJEET SINGH,01-Jun-2020 03:45 PM,Rejected-Finance,NOT THE LOWEST BIDDER,20-Jun-2020 11:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,"26.6. LIST OF MACHINERY ,TOOL,PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6.0,159969.0,SOHAN SINGH,30-May-2020 01:57 PM,Rejected-Finance,NOT THE LOWEST BIDDER,20-Jun-2020 11:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,26.7. FORM NO 8.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Proof to registration under Employees Provident Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
