Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Tender Stage
"Chief Engineer, PWD (Roads), Assam","O/o the Chief Engineer, PWD (Roads), Assam, Chandmari, 781003",Public Works Roads Department,CESTBRNAB/RIDFXXV/17/19-20/Pt4,2019_PWD_15241_13,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,EMD,"3,600","Empowered Officer, ASRB",GUWAHATI,No,"2,39,300",Yes,fixed,,"Chief Engineer, PWD (Roads), Assam",GUWAHATI,MLCSNA/RIDF-XXV/Kamrup(M)/01,MLCSNA/RIDF-XXV/Kamrup(M)/01 Construction of RCC Br. No. 1/1 on Ambori village Road under Mahavir Lachit Chilarai Setu Nirman Abhijan under RIDF-XXV of NABARD for the year 2019-20 under Guwahati Road Division,Please refer Tender documents. ,NA ,"1,19,65,000",Civil Works,NA ,Tender,180.0,365.0,Kamrup Metro,781003.0,NA ,NA ,NA ,"O/o the Chief Engineer, PWD (Roads), Assam",No ,No,07-Dec-2019 10:30 AM,31-Dec-2019 11:00 AM,09-Dec-2019 10:30 AM,30-Dec-2019 02:00 PM,09-Dec-2019 10:10 AM ,30-Dec-2019 02:00 PM ,09-Dec-2019 10:30 AM,30-Dec-2019 02:00 PM,01-Feb-2020 11:45 AM,1.0,DD - Demand Draft,AOC,CE,Internal,AE AEE EE ADD,CHANDAN KUMAR DAS,01-Feb-2020 11:43 AM,01-Feb-2020 11:45 AM,techsummary_23111.pdf (152.19 KB),Public Works Roads Department,2019_PWD_15241_13,CESTBRNAB/RIDFXXV/17/19-20/Pt4,MLCSNA/RIDF-XXV/Kamrup(M)/01,1,70233,ANIL DAS,30-Dec-2019 02:08 AM,Rejected-Finance,rejected,22-Jun-2020 04:55 PM,Technical,Admitted,CHANDAN KUMAR DAS,01-Feb-2020 11:42 AM,technical_23111.pdf,AOC
,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,AOC,,,,,,,,,,,,2,70150,Competent Infrastructure and consulting(CICON) Pvt.Ltd,29-Dec-2019 12:20 PM,Rejected-Finance,rejected,22-Jun-2020 04:55 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,AOC,,,,,,,,,,,,3,70236,DULAL KALITA,30-Dec-2019 02:45 AM,Rejected-Finance,rejected,22-Jun-2020 04:55 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,AOC,,,,,,,,,,,,4,70267,Kanakjyoti Bhagawati,30-Dec-2019 12:12 PM,Rejected-Finance,rejected,22-Jun-2020 04:55 PM,,,,,,AOC
,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,70289,M/S AGH CONSTRUCTIONS,30-Dec-2019 01:16 PM,Rejected-Finance,rejected,22-Jun-2020 04:55 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,70143,M/S B.K DAS,29-Dec-2019 04:37 AM,Rejected-Finance,rejected,22-Jun-2020 04:55 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,70197,MS MAHABAHU ASSOCIATE n ENGINEERS,29-Dec-2019 08:26 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Feb-2020 11:42 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,70080,M/S SAMIA CONSTRUCTION,28-Dec-2019 01:04 PM,Rejected-Finance,rejected,22-Jun-2020 04:55 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,70137,Raju Mesh,29-Dec-2019 02:43 AM,Rejected-Finance,rejected,22-Jun-2020 04:55 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,70287,SAURABH TALUKDAR,30-Dec-2019 01:09 PM,Rejected-Finance,rejected,22-Jun-2020 04:55 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,11,69683,Sri Dhrubajyoti Kakati,29-Dec-2019 02:16 PM,Rejected-Finance,rejected,22-Jun-2020 04:55 PM,,,,,,AOC
