Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-I,Irrigation and Public Health,HP",2020_HPIPH_36783_1,No. IDU-I/TA/E-tender/20- 308-25 dt 28-04-20,C/O Laboratory Building at Una as per NABL Norms. ( SH C/O District Water Testing Lab Building at Una in Distt. Una ( H.P.),1.0,158269.0,HARBANS SINGH,INR,"1,214,668",---,Internal,---,Naresh Dhiman,19-Jun-2020 11:52 AM,finsummary_54293.pdf (140.82 KB),Finance,Summary attached,Naresh Dhiman,15-May-2020 01:38 PM,finance_54293.pdf,BOQ Comparative Chart,Technical,Summary,Naresh Dhiman,14-May-2020 05:29 PM,technical_54293.pdf,19-Jun-2020,"INR 1,214,668",90.0,Naresh Dhiman,19-Jun-2020 11:57 AM,AOC.pdf (141.00 KB),Award letter,--,Internal,--,Naresh Dhiman,14-May-2020 05:30 PM,14-May-2020 05:40 PM,techsummary_54293.pdf (154.38 KB),1,158253,abhishek khajanchi,12-May-2020 11:17 PM,Rejected-AOC,Not found L-1,19-Jun-2020 11:57 AM,AOC,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,1.0,Fee/PreQual/Technical,.pdf,Registration with Jal Shakti department,"27,936",Yes,fixed,,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,C/O Laboratory Building at Una as per NABL Norms. ( SH C/O District Water Testing Lab Building at Una in Distt. Una ( H.P.),C/O Laboratory Building at Una as per NABL Norms. ( SH C/O District Water Testing Lab Building at Una in Distt. Una ( H.P.),as per NIT  ,NA ,"13,96,811",Civil Works,NA ,Tender,120.0,90.0,Lab building at Una HP,174301.0,NA ,NA ,NA ,Una HP,No ,No,400.0,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,Yes,29-Apr-2020 10:00 AM,14-May-2020 11:00 AM,29-Apr-2020 10:00 AM,13-May-2020 05:00 PM,29-Apr-2020 10:00 AM ,13-May-2020 05:00 PM ,29-Apr-2020 10:00 AM,13-May-2020 05:00 PM,14-May-2020 05:40 PM,1.0,ICICI BANK,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-I,Irrigation and Public Health,HP",No. IDU-I/TA/E-tender/20- 308-25 dt 28-04-20,2020_HPIPH_36783_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,158267,Ankush Dhiman,13-May-2020 03:39 PM,Rejected-AOC,Not found L-1,19-Jun-2020 11:57 AM,AOC,,,,,.pdf,Cost of tender form ( online/offline mode),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,158196,Ashutosh Kalia Contractor,12-May-2020 10:37 PM,Rejected-AOC,Not found L-1,19-Jun-2020 11:57 AM,AOC,,,,,.pdf,Earnest Money ( online/offline mode),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,158262,balwinder singh govt contractor,13-May-2020 09:25 AM,Rejected-AOC,Not found L-1,19-Jun-2020 11:57 AM,AOC,,,,,.pdf,Latest Income tax return GST number EPF number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,158242,Deepak Kumar,12-May-2020 06:30 PM,Rejected-AOC,Not found L-1,19-Jun-2020 11:57 AM,AOC,,,,,.pdf,work done certificate and undertaking regarding he has executed work two or more work under divn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,158269,HARBANS SINGH,13-May-2020 11:09 AM,Accepted-AOC,Found L-1,19-Jun-2020 11:57 AM,AOC,,,,,.pdf,EMD exemption certificate if exempted and affidavit of non exhaustion in case of exemption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,157957,MAHESH ANGRA,13-May-2020 02:10 PM,Rejected-AOC,Not found L-1,19-Jun-2020 11:57 AM,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,158244,MOHIT BEDI,12-May-2020 06:59 PM,Rejected-AOC,Not found L-1,19-Jun-2020 11:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,158143,Nitish Thakur,13-May-2020 08:48 AM,Rejected-AOC,Not found L-1,19-Jun-2020 11:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,158201,Ram Pal Sharma,13-May-2020 02:02 PM,Rejected-AOC,Not found L-1,19-Jun-2020 11:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,158285,Sushant Puri,13-May-2020 01:12 PM,Rejected-AOC,Not found L-1,19-Jun-2020 11:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,158229,Varun Mehan Govt Contractor,12-May-2020 03:07 PM,Rejected-AOC,Not found L-1,19-Jun-2020 11:57 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
