Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,TechnicalBidOpeningSummary,Bhupinder Singh,28-Apr-2020 01:14 PM,technical_54146.pdf,1.0,157254.0,Ashwani Kumar Govt Contractor,26-Apr-2020 09:15 PM,Rejected-AOC,ok,17-Jun-2020 07:25 PM,1.0,157249.0,R.D. DUVEDI,INR,"1,270,430",Finance,Proceedingregardingopeningoffinancialbids,Ravi Dutt Sharma,21-May-2020 12:08 PM,finance_54146.pdf,BOQ Comparative Chart,Er.G.S. Rana,Internal,"Er. R.D. Sharma AE Harish Chander Head Draughtsman , Dinesh Kumar, DAO, Jagpal Singh Supdt. Gr-II Tara Singh Senior Assistant",Ravi Dutt Sharma,21-May-2020 12:39 PM,finsummary_54146.pdf (651.07 KB),17-Jun-2020,"INR 1,042,325",30.0,Gurcharan Singh Rana,17-Jun-2020 07:25 PM,Awardletter.PDF (1373.00 KB),Awardletter,PWD,2020_PWD_36679_1,Job 5 Periodical maintenance of Panjawar bathri ro,"Job 5 Periodical maintenance of Panjawar bathri road to Subowana road km. 0-0 to 1-380 Sub Head Patch work,30mm thick bituminous concrete. zebra crossing in km. 0-0 to 1-380 VR0075 Under State Head",Er.G.S. Rana,Internal,"Er. R.D. Sharma AE Harish Chander Head Draughtsman , Dinesh Kumar, DAO, Jagpal Singh Supdt. Gr-II Tara Singh Senior Assistant",Ravi Dutt Sharma,16-May-2020 06:00 PM,20-May-2020 10:00 AM,techsummary_54146.pdf (380.58 KB),AOC,PWD,Job 5 Periodical maintenance of Panjawar bathri ro,2020_PWD_36679_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,FDR - Fixed Deposit,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),21-Apr-2020 10:00 AM,27-Apr-2020 11:00 AM,21-Apr-2020 10:30 AM,27-Apr-2020 09:00 AM,NA ,NA ,21-Apr-2020 10:30 AM,27-Apr-2020 09:00 AM,20-May-2020 10:00 AM,500.0,"Executive Engineer, Una Division, HPPWD, Una",Una,No,"Job 5 Periodical maintenance of Panjawar bathri road to Subowana road km. 0-0 to 1-380 Sub Head Patch work,30mm thick bituminous concrete. zebra crossing in km. 0-0 to 1-380 VR0075 Under State Head","Job 5 Periodical maintenance of Panjawar bathri road to Subowana road km. 0-0 to 1-380 Sub Head Patch work,30mm thick bituminous concrete. zebra crossing in km. 0-0 to 1-380 VR0075 Under State Head",Please refer to Bidding Documents ,NA ,"10,42,325",Civil Works - Roads,NA ,Tender,120.0,30.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una","20,900",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,AOC
,,,,,2.0,157249.0,R.D. DUVEDI,26-Apr-2020 04:48 PM,Accepted-AOC,ok,17-Jun-2020 07:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,157256.0,SS CONSTRUCTION COMPANY,27-Apr-2020 08:43 AM,Rejected-Technical,As per technical Evaluation proceeding,16-May-2020 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and copy of the latest return filed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
