Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
19-Jun-2020,"INR 12,739,039",730.0,Amit Dogra,19-Jun-2020 03:27 PM,awardkhaggalsihunta.pdf (1012.00 KB),Sh. Ramesh Chand Parihar Contractor found lowest and accepted,Finance,Proceeding of negotiation,Amit Dogra,19-Jun-2020 03:15 PM,finance_47186.pdf,BOQ Comparative Chart,Technical,Technical Evaluation of Eligibility Criteria Attached,Amit Dogra,23-Jan-2020 09:55 PM,technical_47186.pdf,Amit Dogra,Internal,Detail Attached,Amit Dogra,23-Jan-2020 10:00 PM,24-Jan-2020 11:00 AM,techsummary_47186.pdf (567.13 KB),1.0,138269.0,MAHAJAN TRADERS,03-Dec-2019 12:05 PM,Rejected-Finance,Rejected,19-Jun-2020 03:24 PM,1.0,138266.0,Ramesh Parihar,INR,"12,739,039","HP Irrigation and Public Health||Chamba Circle,Irrigation and Public Health,HP||Dalhousie,Irrigation and Public Health,HP",2019_HPIPH_32710_1,IPH-DLU-EA-I-E-Tender/2019- 11589-11637,Command Area Development of Flow Irrigation Scheme Khaggal Sihunta in Tehsil Sihunta Distt. Chamba (HP),Er. Rohit Dubey,Internal,Er. Hemant Puri EE (D) Er. Amit Dogra EE Er. Kewal Sharma AE (D) Sh. Tek Chand HDM Sh. Ashwani Kumar Supdt Sh. Pankaj Kumar DA,Amit Dogra,19-Jun-2020 03:24 PM,finsummary_47186.pdf (1203.70 KB),AOC,Executive Engineer,"IPH Division, Dalhousie","1,48,734",Yes,fixed,,EE IPH Division Dalhousie,Dalhousie,"HP Irrigation and Public Health||Chamba Circle,Irrigation and Public Health,HP||Dalhousie,Irrigation and Public Health,HP",IPH-DLU-EA-I-E-Tender/2019- 11589-11637,2019_HPIPH_32710_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Command Area Development of Flow Irrigation Scheme Khaggal Sihunta in Tehsil Sihunta Distt. Chamba (HP),Command Area Development of Flow Irrigation Scheme Khaggal Sihunta in Tehsil Sihunta Distt. Chamba (HP),Command Area Development of Flow Irrigation Scheme Khaggal Sihunta in Tehsil Sihunta Distt. Chamba (HP)  ,NA ,"1,16,23,375",Civil Works,NA ,Tender,120.0,730.0,Sihunta,176207.0,NA ,NA ,NA ,Dalhousie,No ,No,20-Nov-2019 10:00 AM,04-Dec-2019 12:30 PM,20-Nov-2019 10:00 AM,03-Dec-2019 05:00 PM,20-Nov-2019 10:00 AM ,03-Dec-2019 05:00 PM ,20-Nov-2019 10:00 AM,03-Dec-2019 05:00 PM,24-Jan-2020 11:00 AM,"1,500",EE IPH Division Dalhousie,Dalhousie,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form and Earnest Money through online mode only and copy of deposit receipt,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,137874.0,P C Construction,03-Dec-2019 10:46 AM,Rejected-Finance,Rejected,19-Jun-2020 03:24 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scaned copy certificate of registration with IPH Department in appropriate class and latest renewal,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,3.0,138359.0,PRITAM CHAND,03-Dec-2019 04:30 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,23-Jan-2020 09:55 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Income Tax/GST/EPF registration certificate,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,4.0,138266.0,Ramesh Parihar,03-Dec-2019 11:48 AM,Accepted-AOC,Accepted,19-Jun-2020 03:27 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking from contractor/firm that he has not two uncompleted work in hand.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking from contractor that he has personally visit site and is aware of the site conditions.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor/Firm must have experience of executing work of similar nature and scaned copy of work don,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Undertaking from contractor that has carefully studied all conditions of form PWD-6, PWD-8 and BOQ",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,If contractor uploads exemption of EMD he has to give undertaking that he not used it more than its,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,form6 duly signed by the contractor,AOC
