S.No,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,23-Sep-2019 11:00 AM,03-Oct-2019 11:00 AM,23-Sep-2019 11:00 AM,03-Oct-2019 09:00 AM,23-Sep-2019 11:00 AM ,03-Oct-2019 09:00 AM ,23-Sep-2019 11:00 AM,03-Oct-2019 09:00 AM,04-Oct-2019 02:00 PM,1.0,DD - Demand Draft,"15,500",Yes,fixed,,EE Rampur,Rampur,EE Rampur,EE Rampur B and R Division HPPWD Rampur,PWD,RMP/TA/2019-6703-05 dated 05.09.2019,2019_PWD_31610_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE Rampur,Rampur,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),C.O Approach road to Koot Bridge at RD 9.180 on Keo Koot Kinfi road,(SH Formation cutting at RDs 9.015 to 9.155),Please refer Tender documents. ,NA ,"7,60,941",Civil Works - Roads,NA ,Tender,90.0,NA ,EE B and R Division HPPWD Rampur,172001.0,NA ,NA ,NA ,EE Rampur,No ,No,AOC,1.0,132685.0,GOB Contract,28-Sep-2019 02:57 PM,Accepted-AOC,first lowest,08-Jun-2020 12:55 PM,Technical,Proceeding,Sandeep Sobti,03-Oct-2019 01:57 PM,technical_45484.pdf,Finance,Proceeding,Sandeep Sobti,08-Jun-2020 12:49 PM,finance_45484.pdf,BOQ Comparative Chart,1.0,132685.0,GOB Contract,INR,"1,195,920",Er. S.K. Sobti,Internal,DAO Suptd,Sandeep Sobti,04-Oct-2019 01:27 PM,04-Oct-2019 02:00 PM,techsummary_45484.pdf (341.84 KB),PWD,2019_PWD_31610_1,RMP/TA/2019-6703-05 dated 05.09.2019,C.O Approach road to Koot Bridge at RD 9.180 on Keo Koot Kinfi road,08-Jun-2020,"INR 760,941",90.0,Sandeep Sobti,08-Jun-2020 12:55 PM,Jagdishkoot.pdf (702.00 KB),Award letter,Er.S.k. Sobti,Internal,Proceeding,Sandeep Sobti,08-Jun-2020 12:53 PM,finsummary_45484.pdf (341.84 KB),AOC
,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,,,,,,,,,,,,,AOC,2.0,132695.0,NARAYAN SINGH,28-Sep-2019 04:06 PM,Rejected-AOC,second lowest,08-Jun-2020 12:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,,AOC,3.0,132973.0,SHOBHA RAM,01-Oct-2019 06:16 PM,Rejected-Technical,Not Responsive,04-Oct-2019 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and detail of ongoing works (Refer General Rule No 19),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration under Employees Provident Funds and Miscellaneous Provision act 1952,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
