Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
09-Jun-2020,"INR 17,114,385",365.0,Sanjiv Kumar Agnihotri,09-Jun-2020 12:47 PM,AOCAmroh.pdf (476.00 KB),Work Awarded,Er Sanjiv Kumar EE,Internal,Supdt HDM AO,Sanjiv Kumar Agnihotri,09-Jun-2020 11:27 AM,finsummary_52204.pdf (63.97 KB),EE,Internal,GASupdtHDMAE,Sanjiv Kumar Agnihotri,07-Mar-2020 12:17 PM,07-Mar-2020 12:30 PM,techsummary_52204.pdf (108.03 KB),PWD,2020_PWD_35543_1,No.PW.BGN-12917-68Dated 13.01.2020.,"Construction of Link road from Jole to Kainth via Choora Amroh Dharun Kuhroo Sanjhot road Km 00 to 14255 ic MT under NABARD RIDF XXIVSH Co 5 7 mtr wide Formation cutting Retaining wall Cross Drainage work, GSB,WMM MTU shape drain, Parapets KM. Sto",Technical,Technical evaluation summary,Sanjiv Kumar Agnihotri,07-Mar-2020 12:16 PM,technical_52204.pdf,1.0,151862.0,R.D. DUVEDI,02-Mar-2020 02:08 PM,Rejected-AOC,Higher,09-Jun-2020 12:47 PM,1.0,151995.0,SANJIV KUMAR,INR,"17,114,385",Finance,Fin bid opened,Sanjiv Kumar Agnihotri,09-Jun-2020 11:20 AM,finance_52204.pdf,BOQ Comparative Chart,AOC,Executive Engineer,Executive Engineer HPPWD Division Bangana,25-Feb-2020 04:00 PM,03-Mar-2020 11:30 AM,25-Feb-2020 04:00 PM,02-Mar-2020 04:00 PM,NA ,NA ,25-Feb-2020 04:00 PM,02-Mar-2020 04:00 PM,07-Mar-2020 12:30 PM,1.0,DD - Demand Draft,"Construction of Link road from Jole to Kainth via Choora Amroh Dharun Kuhroo Sanjhot road Km 00 to 14255 ic MT under NABARD RIDF XXIVSH Co 5 7 mtr wide Formation cutting Retaining wall Cross Drainage work, GSB,WMM MTU shape drain, Parapets KM. Sto","Construction of Link road from Jole to Kainth via Choora Amroh Dharun Kuhroo Sanjhot road Km 00 to 14255 ic MT under NABARD RIDF XXIVSH Co 5 7 mtr wide Formation cutting Retaining wall Cross Drainage work, GSB,WMM MTU shape drain, Parapets KM. Sto",Please refer Tender documents. ,NA ,,Civil Works - Bridges,NA ,Tender,120.0,365.0,Bangana,174307.0,NA ,NA ,NA ,Executive Engineer,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),"1,63,800",No,fixed,,Executive Engineer,Executive Engineer,PWD,No.PW.BGN-12917-68Dated 13.01.2020.,2020_PWD_35543_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,"5,000",Executive Engineer,Executive Engineer,Yes,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,151995.0,SANJIV KUMAR,02-Mar-2020 02:41 PM,Accepted-AOC,Lowest,09-Jun-2020 12:47 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in Bidding Document without liquidat,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Tool Plant with proof of ownership or legal tie-up and list of laboratory equipmen,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and non Gazetted officer HPPWD employees related to him ( General Rule No.16 ),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no litigation with the department,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return file,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover for the last five years duly certified by the Chartered Accountant be uploaded.,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,From No 8 duly signed by Contractor,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC
