EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"45,61,804",No,fixed,,IPH Division Bilaspur,EEIPH Division Bilaspur,1.0,Exemption of Bid security shall not be allowed,Fee,,1.0,Fee,.pdf,Cost of bid,"HP Irrigation and Public Health||Bilaspur Circle,Irrigation and Public Health,HP||Bilaspur,Irrigation and Public Health,HP",20128-227 dated 31-01-2020,2020_HPIPH_34502_1,Yes,Open Tender,Lump-sum,Works,3.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,Executive Engineer,IPH Division Bilaspur,31-Jan-2020 06:00 PM,18-Feb-2020 11:30 AM,31-Jan-2020 06:00 PM,18-Feb-2020 11:00 AM,31-Jan-2020 06:00 PM ,18-Feb-2020 11:00 AM ,31-Jan-2020 06:00 PM,18-Feb-2020 11:00 AM,02-Mar-2020 10:00 AM,Providing Lift water supply scheme for AIIMS and Hydro Engineering College from Kol Dam Reservoir in Tehsil Sadar District Bilaspur (H.P) (SH Construction of intake chamber water treatment plant pump house main sub storage tanks retaining wa,Providing Lift water supply scheme for AIIMS and Hydro Engineering College from Kol Dam Reservoir in Tehsil Sadar District Bilaspur H.P (SH Construction of intake chamber water treatment plant pump house main sub storage tanks retaining wa,Please refer tender documents ,NA ,"45,29,30,404",Civil Works,NA ,Tender,120.0,365.0,Under IPH Sub Division Bilaspur,174001.0,Shimla ,"Office of Engineer-In-Chief, IPH Department Jal Shakti Bhawan, Tutikandhi, Shimla, (HP) ",12-Feb-2020 11:00 AM ,IPH Division Bilaspur,No ,No,"2,500",IPH Division Bilaspur,EEIPH Division Bilaspur,No,AOC,Er Arvind Kumar Verma Executive Engineer,Internal,Sh Kishori Lal Superintendent Gr-II Sh Moti Lal Shama DHD Sh Sanjay Kumar Shah DAO Gr-I Sh Ravinder Kishore Senior Assistant,ARVIND KUMAR VERMA,29-Feb-2020 06:33 PM,02-Mar-2020 10:00 AM,techsummary_50459.pdf (1321.65 KB),1.0,149714.0,A V RAMBABU INFRA PRIVATE LIMITED,16-Feb-2020 01:48 PM,Accepted-AOC,Accepted,16-Jun-2020 11:26 AM,12-Jun-2020,"INR 422,384,489",365.0,ARVIND KUMAR VERMA,16-Jun-2020 11:26 AM,AIMSAward.pdf (5568.00 KB),The work has been awarded M/S Unipro Techno Infrastructure Pvt. Ltd. Sco 36 Sector 7C Madhya Marg Chandigarh vide T/O No 3407-16 dated 12-06-2020 amounting to Rs. 422384489/-,Finance,BOQ of all bidders downloaded and BOQ comparative chart generated successfully.,ARVIND KUMAR VERMA,02-Mar-2020 12:26 PM,finance_50459.pdf,BOQ Comparative Chart,Technical,Three Nos bidder have been participated in the e tender process documents of all bidders downloaded successfully.,ARVIND KUMAR VERMA,29-Feb-2020 06:29 PM,technical_50459.pdf,Er Arvind Kumar Verma Executive Engineer,Internal,Sh Kishori Lal Superintendent Gr-II Sh Moti Lal Shama DHD Sh Sanjay Kumar Shah DAO Gr-I Sh Ravinder Kishore Senior Assistant,ARVIND KUMAR VERMA,02-Mar-2020 12:30 PM,finsummary_50459.pdf (125.36 KB),"HP Irrigation and Public Health||Bilaspur Circle,Irrigation and Public Health,HP||Bilaspur,Irrigation and Public Health,HP",2020_HPIPH_34502_1,20128-227 dated 31-01-2020,Providing Lift water supply scheme for AIIMS and Hydro Engineering College from Kol Dam Reservoir in Tehsil Sadar District Bilaspur (H.P) (SH Construction of intake chamber water treatment plant pump house main sub storage tanks retaining wa,1.0,149714.0,A V RAMBABU INFRA PRIVATE LIMITED,INR,0,AOC
,,,,,,2.0,Pre bid meeting proceeding,Other,,,,.pdf,Cost of earnest money,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2.0,149764.0,HARJEET SINGH,17-Feb-2020 07:22 PM,Accepted-AOC,Accepted,16-Jun-2020 11:26 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,149764.0,HARJEET SINGH,INR,0,AOC
,,,,,,,,,,,,.pdf,"Copy of PAN No., Income Tax an GST registration and Certificate of registration with Himachal Prades",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3.0,149798.0,Unipro Techno Infrastructure Pvt Ltd,18-Feb-2020 10:06 AM,Accepted-AOC,Accepted,16-Jun-2020 11:26 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,149798.0,Unipro Techno Infrastructure Pvt Ltd,INR,"422,384,489",AOC
,,,,,,,,,,,,.pdf,Copy of undertaking that I have carefully studied all the terms and conditions stipulated in the con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Average annual financial turnover during the last three years ending 31st March of the previous fina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Experience certificate (issued by the officer not below the rank of Executive Engineer) of having s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Copy EPF No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,2.0,PreQual/Technical,.pdf,) Scanned copy of Pump Characteristics curves in pdf format indicating Horse Power required at duty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,"Unit Size calculations, layout plan fitted on uploaded site contour plan and flow diagram of WTP as",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
