Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),Construction of Link road from Jole to Kainth via Choora Amroh Dharun Kuhroo Sanjhot road Km 00 to 14255 MT under NABARD RIDF XXIV SH Co 5 7 mtr wide Formation cutting Retaining wall Cross Drainage work GSBWMM MT U shape drain Parapets KM Stone and,Construction of Link road from Jole to Kainth via Choora Amroh Dharun Kuhroo Sanjhot road Km 00 to 14255 MT under NABARD RIDF XXIV SH Co 5 7 mtr wide Formation cutting Retaining wall Cross Drainage work GSBWMM MT U shape drain Parapets KM Stone and,Please refer Tender documents. ,NA ,"2,20,12,365",Civil Works - Roads,NA ,Tender,120.0,365.0,Bangana,174307.0,NA ,NA ,NA ,Executive Engineer HPWD Bangana,No ,No,PWD,PW.BGN.T-I/2019-20-1732-43 dt 19.06.2019 and Corri,2019_PWD_30184_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,"2,52,700",No,fixed,,Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,12-Jul-2019 05:00 PM,27-Jul-2019 11:30 AM,12-Jul-2019 05:00 PM,26-Jul-2019 05:00 PM,NA ,NA ,12-Jul-2019 05:00 PM,26-Jul-2019 05:00 PM,07-Sep-2019 11:00 AM,1.0,corrigendum,Date,,1.0,DD - Demand Draft,"5,000",Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,No,AOC,Finance,Fin bid opened,Ram Saroop Kalia,06-Jun-2020 04:38 PM,finance_43512.pdf,BOQ Comparative Chart,1.0,126028.0,Ramesh Chand Sharma,INR,"35,255,643",1.0,126039.0,Davinder kumar,26-Jul-2019 03:34 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Sep-2019 11:32 AM,Technical,technical evaluation summary,Ram Saroop Kalia,04-Sep-2019 11:32 AM,technical_43512.pdf,PWD,2019_PWD_30184_1,PW.BGN.T-I/2019-20-1732-43 dt 19.06.2019 and Corri,Construction of Link road from Jole to Kainth via Choora Amroh Dharun Kuhroo Sanjhot road Km 00 to 14255 MT under NABARD RIDF XXIV SH Co 5 7 mtr wide Formation cutting Retaining wall Cross Drainage work GSBWMM MT U shape drain Parapets KM Stone and,EE,Internal,GASupdtHDMAE,Ram Saroop Kalia,04-Sep-2019 11:33 AM,07-Sep-2019 11:00 AM,techsummary_43512.pdf (109.83 KB),Er Sanjiv Kumar EE,Internal,Supdt HDM DAO,Sanjiv Kumar Agnihotri,07-Jun-2020 12:28 PM,finsummary_43512.pdf (101.78 KB),07-Jun-2020,"INR 35,255,643",365.0,Sanjiv Kumar Agnihotri,07-Jun-2020 12:35 PM,AOC3.pdf (256.00 KB),Work awarded,AOC
,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,AOC,,,,,,,,,,,,2.0,124785.0,ganesh,26-Jul-2019 11:32 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Sep-2019 11:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,126028.0,Ramesh Chand Sharma,26-Jul-2019 02:48 PM,Accepted-AOC,Lowest,07-Jun-2020 12:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,G.S.T. No. and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,126040.0,R.D. DUVEDI,26-Jul-2019 04:13 PM,Rejected-AOC,Higher,07-Jun-2020 12:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Work Done Certificate on prescribed format given in Bidding Document without liquidated damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,List of Machinery Tool Plant with proof of ownership or legal tie-up and list of laboratory equipmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Affidavit regarding no litigation with the department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,From No 8 duly signed by Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
