Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Periodic maintenance of Chetru Maned Passu Dari road under AMP 2020-21 Rural road in District Kangra (HP),SH- Providing and Laying 30mm thick Bituminous concrete laying with paver finisher in km 6/000 to 6/750,Please refer Tender documents. ,NA ,"5,80,855",Civil Works - Roads,NA ,Tender,120.0,90.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,04-Mar-2020 10:00 AM,19-Mar-2020 11:30 AM,04-Mar-2020 10:00 AM,18-Mar-2020 03:00 PM,NA ,NA ,04-Mar-2020 10:00 AM,18-Mar-2020 03:00 PM,23-Apr-2020 03:15 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (Indicated in schedule F),1.0,DD - Demand Draft,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,"11,620",No,fixed,,EE Dharamshala,Dharamshala,350.0,EE Dharamshala,Dharamshala,No,PWD,9901-10,2020_PWD_35890_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,Er. Sushil Dhadwal,Internal,Members Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,23-Apr-2020 03:06 PM,23-Apr-2020 03:15 PM,techsummary_52757.pdf (774.12 KB),PWD,2020_PWD_35890_7,9901-10,Periodic maintenance of Chetru Maned Passu Dari road under AMP 2020-21 Rural road in District Kangra (HP),06-Jun-2020,"INR 632,011",90.0,Sushil Kumar Dhadwal,06-Jun-2020 11:13 AM,35890_7.pdf (940.00 KB),Shri Navneet Thakur,E,Internal,Sh.Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,04-Jun-2020 08:00 PM,finsummary_52757.pdf (470.32 KB),1.0,155403.0,Navneet Thakur,17-Mar-2020 07:26 PM,Accepted-AOC,L1,06-Jun-2020 11:13 AM,Technical,As per document attached,Sushil Kumar Dhadwal,23-Mar-2020 04:35 PM,technical_52757.pdf,Finance,As per document attached,Sushil Kumar Dhadwal,28-Apr-2020 01:12 PM,finance_52757.pdf,BOQ Comparative Chart,1.0,155403.0,Navneet Thakur,INR,"632,011",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Indicated in schedule F),2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,155545.0,pritam singh thkur,18-Mar-2020 12:50 PM,Rejected-Finance,L3,04-Jun-2020 08:00 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,154689.0,VP SHARMA,14-Mar-2020 01:03 PM,Rejected-Finance,L2,04-Jun-2020 08:00 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (General rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (General rule 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him (General rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number(EPF Number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery including Hot Mix plant with proof i.e RCs etc. and staff (indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
