Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
PWD,C/o Vertnary Dispensary building at Amroh,2019_PWD_31790_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"15,800",No,fixed,,"Executive Engineer, HPPWD Division Bhoranj",Bhoranj,26-Sep-2019 06:00 PM,10-Oct-2019 11:30 AM,26-Sep-2019 06:00 PM,10-Oct-2019 10:30 AM,NA ,NA ,26-Sep-2019 06:00 PM,10-Oct-2019 10:30 AM,08-Nov-2019 02:30 PM,350.0,"Executive Engineer, HPPWD Division Bhoranj",Bhoranj,No,Construction of Veterinary Dispensary Building at Amroh Distt. Hamirpur (H.P.),"Construction of building portion including, W.S. and S.I. , septic tank and site Development).",Please refer Tender documents. ,NA ,"7,86,494",Civil Works - Buildings,NA ,Tender,120.0,180.0,Bhoranj,176045.0,NA ,NA ,NA ,Bhoranj,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD must be payable at Bhoranj,Executive Engineer,"Executive Engineer, HPPWD Division Bhoranj",AOC,1.0,133537.0,Amrit Lal,INR,"1,043,177.45",Finance,Summary attached,Amar Singh Bhatia,27-Nov-2019 12:00 PM,finance_45743.pdf,BOQ Comparative Chart,1.0,133537.0,Amrit Lal,09-Oct-2019 07:36 PM,Accepted-AOC,L1,08-Jun-2020 01:31 PM,Technical,Summary attached,Amar Singh Bhatia,07-Nov-2019 06:48 PM,technical_45743.pdf,PWD,2019_PWD_31790_1,C/o Vertnary Dispensary building at Amroh,Construction of Veterinary Dispensary Building at Amroh Distt. Hamirpur (H.P.),E.E.Bhoranj Division HP.PWD. Bhoranj,Internal,"Supdt.DAO,HDM,A.E. Bhoranj",Amar Singh Bhatia,07-Nov-2019 06:53 PM,08-Nov-2019 02:30 PM,techsummary_45743.pdf (996.80 KB),E.E.HPPWDBhoranj Division,Internal,"Supdt. DAO., HDM. A.E. Bhioranj S/Divn",Amar Singh Bhatia,27-Nov-2019 12:50 PM,finsummary_45743.pdf (1450.35 KB),08-Jun-2020,"INR 999,250",180.0,Amar Singh Bhatia,08-Jun-2020 01:31 PM,ALVetAmroh.PDF (1478.00 KB),award letter attached,AOC
,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,AOC,,,,,,,,,,,,2.0,133563.0,Ashok Kumar,09-Oct-2019 03:44 PM,Rejected-AOC,L2,08-Jun-2020 01:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,AOC,,,,,,,,,,,,3.0,133646.0,ashok Thakur,10-Oct-2019 07:42 AM,Rejected-AOC,L3,08-Jun-2020 01:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GTS Registration (General Rule 21),,,AOC,,,,,,,,,,,,4.0,133648.0,KAMAL PATHANIA GOVT.CONTRACTOR,10-Oct-2019 08:08 AM,Rejected-Technical,FDR in the name of other contractor,07-Nov-2019 06:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate (General Rule No. 19),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate (General Rule No.19),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool , Plant",,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that the contractor has not more than two work in hand (General Rule No. 28.1),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
