Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,350.0,EE Baijnath,Baijnath,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F.,Periodic Maintenance Link Road to PWD Division Store Baijnath and SDM Office Baijnath DRRP No. HP0403VR0131 AMP 2020-21 Rural Roads,Providing and Laying G-II Primer Coat Built up Spray Grout Single Layer Tack Coat and 25mm thick Bitumenious concrete in Km 0/0 to 1/0,Please refer Tender documents. ,NA ,"5,73,012",Civil Works - Roads,NA ,Tender,120.0,60.0,Baijnath,176125.0,NA ,NA ,NA ,Xen HPPWD Division Baijnath,No ,No,"11,500",No,fixed,,EE Baijnath,Baijnath,12-Mar-2020 10:00 AM,20-Apr-2020 01:00 PM,12-Mar-2020 11:00 AM,20-Apr-2020 12:00 PM,NA ,NA ,12-Mar-2020 05:00 PM,20-Apr-2020 12:00 PM,27-Apr-2020 11:00 AM,PWD,PWD-BD-NIT-2019-20-23574-630,2020_PWD_36087_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,extend again,Date,,1.0,DD - Demand Draft,AOC,PWD,2020_PWD_36087_1,PWD-BD-NIT-2019-20-23574-630,Periodic Maintenance Link Road to PWD Division Store Baijnath and SDM Office Baijnath DRRP No. HP0403VR0131 AMP 2020-21 Rural Roads,Er S K Sood,Internal,Sh. Rajinder Chaudhary SR DAO Sh Ravi Rana HDM Sh Sunil Kumar Supdt GII Er Vaneet Sharma AE Baijnath,Sanjiv Kumar,24-Apr-2020 11:03 AM,27-Apr-2020 11:00 AM,techsummary_53156.pdf (312.10 KB),Er S K Sood,Internal,HDM SupdtG-II Sr. DAO AE Baijnath,Sanjiv Kumar,09-Jun-2020 11:47 AM,finsummary_53156.pdf (118.58 KB),09-Jun-2020,"INR 573,012",60.0,Sanjiv Kumar,09-Jun-2020 11:48 AM,AwardPWDstore.pdf (262.00 KB),1.0,157003.0,P. L. SHARMA,INR,"792,716",Finance,Financial bid open successfully,Sanjiv Kumar,09-Jun-2020 11:45 AM,finance_53156.pdf,BOQ Comparative Chart,1.0,156976.0,Akshay Acharya,19-Apr-2020 12:37 PM,Rejected-AOC,Higher Side,09-Jun-2020 11:48 AM,Technical,Two bidders participated in this work and found responsive. Hence tender recommended by committee to open the financial bid.,Sanjiv Kumar,24-Apr-2020 10:53 AM,technical_53156.pdf,AOC
,,,,,,,,.pdf,Cost of Earnest Money as Indicated Schedule F.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,157003.0,P. L. SHARMA,19-Apr-2020 03:00 PM,Accepted-AOC,Lower Side,09-Jun-2020 11:48 AM,,,,,,AOC
,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Valid GST Registration and PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Affidavit that no Both Gazatted Non Gazetted officer employee in HPPWD Division Baijnath related him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Undertaking that - arbitration / litigation case with PWD is pending in any court of law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Affidavit regarding information furnished with the bid Name of work is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Machinery with proof of ownership required as per SBD if hiring affidavit of consent required from o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Minimum work done amount not less than 40 percent of the estimated cost (without LD) in last 5year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
