Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
20-Jun-2020,"INR 702,262",90.0,Rattan Kumar Sharma,20-Jun-2020 11:38 AM,09.pdf (757.00 KB),AOC,Executive Engineer,Internal,Tender Assistant DHD DAO Superintendent G-II,Rattan Kumar Sharma,20-Jun-2020 11:37 AM,finsummary_54611.pdf (236.80 KB),Executive Engineer,Internal,Superintendent G-II DHD DAO,Rattan Kumar Sharma,09-Jun-2020 10:53 AM,09-Jun-2020 11:30 AM,techsummary_54611.pdf (790.77 KB),PWD,2020_PWD_37007_3,24-74 DATED 22.04.2020,A/R and M/O Nihog to Methli Road km 0/00 to 2/300,Technical,SUMMARY,Rattan Kumar Sharma,03-Jun-2020 03:16 PM,technical_54611.pdf,1.0,159990.0,Ashok Kumar,30-May-2020 02:36 PM,Rejected-Finance,NOT THE LOWEST BIDDER,20-Jun-2020 11:37 AM,1.0,159822.0,Tapender Thakur,INR,"316,453",Finance,SUMMARY,Rattan Kumar Sharma,12-Jun-2020 10:22 AM,finance_54611.pdf,BOQ Comparative Chart,AOC,1.0,Corrigendum,Date,,A/R and M/O Nihog to Methli Road km 0/00 to 2/300,Removal of formation deficiency from km 0/00 to 1/585),Please refer Tender documents. ,NA ,"7,02,262",Civil Works,NA ,Tender,90.0,90.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,"14,100",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,350.0,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,No,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",1.0,Fee/PreQual/Technical,.pdf,26.1. COST OF TENDER,1.0,DD - Demand Draft,08-May-2020 05:00 PM,02-Jun-2020 11:30 AM,08-May-2020 05:00 PM,01-Jun-2020 05:00 PM,NA ,NA ,08-May-2020 05:00 PM,01-Jun-2020 05:00 PM,09-Jun-2020 11:30 AM,PWD,24-74 DATED 22.04.2020,2020_PWD_37007_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,160160.0,Babu Ram,31-May-2020 10:42 PM,Rejected-Technical,Not Qualified,09-Jun-2020 10:53 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.2.EARNEST MONEY,2.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,160228.0,BHARAT BHUSHAN,01-Jun-2020 01:39 PM,Rejected-Finance,NOT THE LOWEST BIDDER,20-Jun-2020 11:37 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.3.CONTRACTORS REGISTRATION,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,159848.0,HARISH THAKUR,01-Jun-2020 10:49 AM,Rejected-Finance,NOT THE LOWEST BIDDER,20-Jun-2020 11:37 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.4.GST REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,160216.0,JAI PRAKASH,01-Jun-2020 12:43 PM,Rejected-Finance,NOT THE LOWEST BIDDER,20-Jun-2020 11:37 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"26.6. LIST OF MACHINERY ,TOOL,PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,160116.0,M/s Bala Ram Contractor,01-Jun-2020 01:42 PM,Rejected-Finance,NOT THE LOWEST BIDDER,20-Jun-2020 11:37 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,26.7. FORM NO 8.,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,158459.0,SWARAN SINGH,15-May-2020 02:50 PM,Rejected-Finance,NOT THE LOWEST BIDDER,20-Jun-2020 11:37 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof to registration under Employees Provident Funds,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,159822.0,Tapender Thakur,01-Jun-2020 11:15 AM,Accepted-AOC,AOC,20-Jun-2020 11:38 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
