EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"14,800",No,fixed,,EE Dharamshala,Dharamshala,Annual Surfacing on approach road to Cricket Stadium Dharamshala km 0/000 to 1/000 in Tehsil Dharamshala Distt. Kangra HP,SH- Provding and Laying 30mm thick Bituminous Concrete laying with Paver Finisher and hot applied thermoplastic compound 2.5mm in km 0/700 to 1/000,Please refer Tender documents. ,NA ,"7,35,925",Civil Works - Roads,NA ,Tender,120.0,30.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form(Indicated in Schedule F),PWD,6801-04,2019_PWD_33022_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,02-Dec-2019 10:00 AM,16-Dec-2019 11:30 AM,02-Dec-2019 10:00 AM,16-Dec-2019 11:00 AM,NA ,NA ,02-Dec-2019 10:00 AM,16-Dec-2019 11:00 AM,18-Dec-2019 04:00 PM,350.0,EE Dharamshala,Dharamshala,No,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,AOC,PWD,2019_PWD_33022_4,6801-04,Annual Surfacing on approach road to Cricket Stadium Dharamshala km 0/000 to 1/000 in Tehsil Dharamshala Distt. Kangra HP,Er. Sushil Dhadwal,Internal,Shri Vikramjit Senior DAO Shri Ashok Kumar Superintendent Shri Suresh Kapoor HDM and Shri Vipan Kumar Senior Assistant,Sushil Kumar Dhadwal,18-Dec-2019 03:54 PM,18-Dec-2019 04:00 PM,techsummary_47593.pdf (759.51 KB),Er. Sushil Kumar Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,04-Jun-2020 05:50 PM,finsummary_47593.pdf (308.32 KB),05-Jun-2020,"INR 994,360",30.0,Sushil Kumar Dhadwal,05-Jun-2020 03:41 PM,33022_4.pdf (944.00 KB),Shri Navneet Thakur,1.0,140097.0,Navneet Thakur,15-Dec-2019 02:48 PM,Accepted-AOC,L1,05-Jun-2020 03:41 PM,Technical,As per document attached,Sushil Kumar Dhadwal,16-Dec-2019 06:40 PM,technical_47593.pdf,1.0,140097.0,Navneet Thakur,INR,"994,360",Finance,As per document attached,Sushil Kumar Dhadwal,18-Dec-2019 05:51 PM,finance_47593.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest Money (Indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,140231.0,Rohit,15-Dec-2019 06:04 PM,Rejected-Finance,Higher Bidder,04-Jun-2020 05:50 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (General rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (General rule 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper (General rule 26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him (General rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work iscorrect dulyattested by competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery including Hot Mix plant with proof of ownership i.e RCs etc. and staff (indicated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
