Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
23-Dec-2019,"INR 53,763,447",740.0,Pradeep Kumar Bhardwaj,23-Dec-2019 04:11 PM,AOC17123_1.pdf (2051.00 KB),AOC,Sh. Ajay Kapoor,Internal,"B.R.Bragta sr.DAO Madan lal supdt,Lekh ram HDM",Pradeep Kumar Bhardwaj,23-Dec-2019 04:07 PM,finsummary_23262.pdf (1101.63 KB),Er Ajay Kapoor,Internal,B R Bragta Sr DAO Madan lal Dogra Supdt Lekh Ram Shandil HDM,Satish Chand,26-Jul-2017 05:32 PM,28-Jul-2017 12:00 PM,techsummary_23262.pdf (464.84 KB),PWD,2017_PWD_17123_1,PW/THD/CB/Tender/15-16-2270-81 dt. 23.5.2017,C.O Shishu Kendra at Dhalli Shimla School Home for the speech and hearing impaired Children and visally impaired children in distt Shimla H.P SH C.O Building portions WS and SI Rain water harvesting tank Septic tank and Site development.et,1.0,64040.0,", D.S.Rathore",INR,"66,555,476",Finance,summary,Satish Chand,29-Jul-2017 11:30 AM,finance_23262.pdf,BOQ Comparative Chart,Technical,summary,Satish Chand,24-Jul-2017 11:27 AM,technical_23262.pdf,1.0,64040.0,", D.S.Rathore",20-Jul-2017 02:05 PM,Accepted-AOC,Awarded,23-Dec-2019 04:11 PM,AOC,C.O Shishu Kendra at Dhalli Shimla School Home for the speech and hearing impaired Children and visally impaired children in distt Shimla H.P SH C.O Building portions WS and SI Rain water harvesting tank Septic tank and Site development.et,C.O Shishu Kendra at Dhalli Shimla School Home for the speech and hearing impaired Children and visally impaired children in distt Shimla H.P SH C.O Building portions WS and SI Rain water harvesting tank Septic tank and Site development.et,Please refer Tender documents. ,NA ,"5,37,63,447",Civil Works - Buildings,NA ,Tender,90.0,740.0,Theog,171201.0,NA ,NA ,NA ,Executive Engineer HP PWD Theog Division,No ,No,04-Jul-2017 06:00 PM,22-Jul-2017 11:00 AM,04-Jul-2017 06:00 PM,20-Jul-2017 06:00 PM,NA ,NA ,04-Jul-2017 06:00 PM,20-Jul-2017 06:00 PM,28-Jul-2017 12:00 PM,Executive Engineer,HP PWD Theog Division,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),PWD,PW/THD/CB/Tender/15-16-2270-81 dt. 23.5.2017,2017_PWD_17123_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"5,00,000",No,fixed,,Executive Engineer HP PWD Theog,HP PWD Division Theog,"5,000",Executive Engineer HP PWD Theog,HP PWD Division Theog,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,63893.0,Rattan Lal Sharma,18-Jul-2017 02:27 PM,Rejected-Finance,2nd Lowest,23-Dec-2019 04:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales Tax Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/ C.A. Annual Report As Per General Rules 28.2a And 28.2b,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery,Tool,Plant,(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,AOC
