S.No,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,DD - Demand Draft,EXECUTIVE ENGINEER,EXECUTIVE ENGINEER HPPWD DIVISION JAWALI,24-Jul-2019 11:00 AM,17-Aug-2019 11:30 AM,24-Jul-2019 11:00 AM,16-Aug-2019 04:00 PM,NA ,NA ,24-Jul-2019 11:00 AM,16-Aug-2019 04:00 PM,26-Aug-2019 11:00 AM,"1,94,000",No,fixed,,EXECUTIVE ENGINEER HPPWD DIVISION JAWALI,JAWALI,PWD,PWJ/CB/TENDER/19-8020-8060 Dt 15-07-2019,2019_PWD_30393_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"5,000",EXECUTIVE ENGINEER HPPWD DIVISION JAWALI,JAWALI,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender (indicated in Schedule F),Construction of Bhol Pharal Chachian road km. 0/0 to 2/700 including bridge over Buhal khad at RD. 0/570 in Tehsil Jawali District Kangra (HP) under Nabard RIDF-XXIV,"Formation cutting, Retaining walls, Breast walls, Cross Drainage work Road side Drain, Metalling/Tarring, Parapets, KM stone, Sigh Board including construction of 64.17 Metre span (6 spans of 10.37 metre each centre to centre bearing) RCC slab type",Please refer Tender documents. ,NA ,"1,61,42,345",Civil Works,NA ,Tender,90.0,545.0,JAWALI,176023.0,NA ,NA ,NA ,HPPWD DIVISION JAWALI,No ,No,AOC,PWD,2019_PWD_30393_1,PWJ/CB/TENDER/19-8020-8060 Dt 15-07-2019,Construction of Bhol Pharal Chachian road km. 0/0 to 2/700 including bridge over Buhal khad at RD. 0/570 in Tehsil Jawali District Kangra (HP) under Nabard RIDF-XXIV,EE Er Jagtar Singh Thakur,Internal,AE Jawali HDM DAO Supdt-Gr-II,Jagtar Singh Thakur,21-Aug-2019 04:32 PM,26-Aug-2019 11:00 AM,techsummary_43786.pdf (841.75 KB),Er.J.S.Thakur,Internal,"Supdt-Gr-II,HDM,DAO,AEJawali",Jagtar Singh Thakur,27-Dec-2019 05:46 PM,finsummary_43786.pdf (668.26 KB),27-Dec-2019,"INR 18,543,397",545.0,Jagtar Singh Thakur,27-Dec-2019 05:51 PM,Award.pdf (1333.00 KB),Award,1.0,127924.0,Naveen sharma,INR,"18,543,397",Finance,proceeding,Jagtar Singh Thakur,27-Dec-2019 05:40 PM,finance_43786.pdf,BOQ Comparative Chart,1.0,127954.0,Chander kant,16-Aug-2019 01:52 PM,Rejected-AOC,Reject,27-Dec-2019 05:51 PM,Technical,Summary,Jagtar Singh Thakur,21-Aug-2019 04:27 PM,technical_43786.pdf,AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest of Money (indicated in Schedule F),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,127979.0,Ms R.K. Mahajan,16-Aug-2019 03:12 PM,Rejected-AOC,Reject,27-Dec-2019 05:51 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rules No.23),,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,127924.0,Naveen sharma,16-Aug-2019 10:19 AM,Accepted-AOC,Accept,27-Dec-2019 05:51 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST No, Sale Tax Clearance, PAN,EPF (Refer General Rules No.21)",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,127316.0,SEWA SINGH,16-Aug-2019 03:12 PM,Rejected-AOC,Reject,27-Dec-2019 05:51 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature work (bridge work) not less than forty percent amount put to tender last five year,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery must produce/submit legal proof of owner, Technical Staff",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail regarding arbitration litigation cases for the last five years,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the information furnished with BID documents are true and correct,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of works in hand and not more than two works in hand,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
