Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),R/R damages on Bangora Kalihatti Bastigunana road km 0/0 to 12/0,SH/o R/wall at RD 9/900 to 9/920,Please refer Tender documents. ,NA ,"6,21,362",Civil Works - Roads,NA ,Tender,120.0,60.0,Dhami,171103.0,NA ,NA ,NA ,SE 4th Circle Shimla,No ,No,05-Jul-2019 03:00 PM,16-Jul-2019 11:00 AM,05-Jul-2019 03:00 PM,15-Jul-2019 05:00 PM,NA ,NA ,05-Jul-2019 03:00 PM,15-Jul-2019 05:00 PM,07-Aug-2019 04:20 PM,EE Dhami,Shimla Rual Division HPPWD Dhami,"13,000",No,fixed,,EE Dhami,Dhami,PWD,PW-SRDD-CB-CTR / 2019-20 3465 DT.22.6.19,2019_PWD_29917_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,EE Dhami,Dhami,No,1.0,DD - Demand Draft,AOC,1.0,124516.0,inder singh,15-Jul-2019 02:14 PM,Rejected-Finance,L-3 BIDDER,06-Dec-2019 03:12 PM,Technical,Technical Bid Opening Summary,Deepak Raj Chauhan,07-Aug-2019 04:11 PM,technical_43226.pdf,1.0,124551.0,Sunder Chauhan,INR,"799,945",Finance,Financial Bid Opening Summary,Deepak Raj Chauhan,07-Aug-2019 04:37 PM,finance_43226.pdf,BOQ Comparative Chart,PWD,2019_PWD_29917_4,PW-SRDD-CB-CTR / 2019-20 3465 DT.22.6.19,R/R damages on Bangora Kalihatti Bastigunana road km 0/0 to 12/0,Er. Deepak Raj Chauhan,Internal,Sh. Prem Sharma Supdtt. Sh. Deepak Sharma DAO Sh. Suresh Verma HDM Sh. Ramesh Thakur TA,Deepak Raj Chauhan,07-Aug-2019 04:18 PM,07-Aug-2019 04:20 PM,techsummary_43226.pdf (197.70 KB),Er. Deepak Raj Chauhan,Internal,,Deepak Raj Chauhan,06-Dec-2019 03:12 PM,finsummary_43226.pdf (20.27 KB),06-Dec-2019,"INR 799,945",60.0,Deepak Raj Chauhan,06-Dec-2019 03:13 PM,BANGORA-AOC.pdf (243.00 KB),AOC,AOC
,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,2.0,124447.0,Om Prakash,14-Jul-2019 09:53 PM,Rejected-Technical,Non-Responsive,07-Aug-2019 04:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,124551.0,Sunder Chauhan,15-Jul-2019 04:27 PM,Accepted-AOC,L-1 BIDDER,06-Dec-2019 03:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,124528.0,Vikas Sharma,15-Jul-2019 01:59 PM,Rejected-Finance,L-2 BIDDER,06-Dec-2019 03:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
