Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
01-Aug-2019 11:00 AM,13-Aug-2019 11:00 AM,01-Aug-2019 11:00 AM,12-Aug-2019 05:00 PM,NA ,NA ,01-Aug-2019 11:00 AM,12-Aug-2019 05:00 PM,19-Aug-2019 04:30 PM,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJAGRH,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER- Indicated in Schedule F at Sr.No.6.3,Periodical Renewal on Narag Wasni Dinger road km 3/0 to 7/0 Under AMP for the year 2019-20,Periodical Renewal on Narag Wasni Dinger road km 3/0 to 7/0 Under AMP for the year 2019-20,Please refer Tender documents. ,NA ,"30,44,887",Civil Works - Roads,NA ,Tender,120.0,90.0,RAJGARH DIVISION HPPWD RAJAGRH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJAGRH,No ,No,"1,500",EE RAJGARH,RAJGARH,No,PWD,PR NARAG WASNI DINGER ROAD AMP 2019-20,2019_PWD_30608_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"54,000",No,fixed,,EE RAJGARH,RAJGARH,AOC,1.0,127388.0,Babu Ram,INR,"3,889,330",Finance,SUMMARY,Kishan Lal Chaudhary,29-Aug-2019 03:43 PM,finance_44087.pdf,BOQ Comparative Chart,1.0,127453.0,Ashish Kumar,12-Aug-2019 11:30 AM,Rejected-Technical,Original DD and Bid security not deposited,19-Aug-2019 04:20 PM,Technical,SUMMARY,Kishan Lal Chaudhary,19-Aug-2019 01:50 PM,technical_44087.pdf,PWD,2019_PWD_30608_1,PR NARAG WASNI DINGER ROAD AMP 2019-20,Periodical Renewal on Narag Wasni Dinger road km 3/0 to 7/0 Under AMP for the year 2019-20,Er. K.L Chaudhary EE,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Supdt. G-II, Smt. Asha Kamal HDM, Sh. Balbir Singh Sr. Asstt. Sh. Ghan Shyam Jr. Asstt.",Kishan Lal Chaudhary,19-Aug-2019 04:20 PM,19-Aug-2019 04:30 PM,techsummary_44087.pdf (361.11 KB),Er. K.L Chaudhary EE,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Smt. Asha Kamal HDM, , Sh. Balbir singh Sr. Asstt.. Sh. Ghan Shyam Jr. Asstt.",Kishan Lal Chaudhary,24-Dec-2019 04:32 PM,finsummary_44087.pdf (202.17 KB),24-Dec-2019,"INR 3,044,887",90.0,Kishan Lal Chaudhary,24-Dec-2019 04:34 PM,AOC.pdf (567.00 KB),WORK AWARDED TO SH. BABU RAM,AOC
,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,EARNEST MONEY-Indicated in Schedule F at Sr. No.6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,127388.0,Babu Ram,11-Aug-2019 05:06 PM,Accepted-AOC,L1,24-Dec-2019 04:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,127285.0,naresh vij govt contractor,11-Aug-2019 03:29 PM,Rejected-AOC,L4,24-Dec-2019 04:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,127362.0,PIUESH,11-Aug-2019 07:00 PM,Rejected-AOC,L5,24-Dec-2019 04:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5.0,127440.0,Ranjeet Singh,12-Aug-2019 10:03 AM,Rejected-AOC,L2,24-Dec-2019 04:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6.0,127333.0,Tapender Thakur,10-Aug-2019 01:42 PM,Rejected-AOC,L3,24-Dec-2019 04:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,Minimum Work Done Certificate as per Gen. Rule Sr.No.28.2(b) and Schedule F Sr.No.6.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,PROOF OF MANDATORY MACHINERY TOOL AND PLANTS as per Gen. Rules 25 and Schedule F Sr. No.6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,.pdf,"Undertaking regarding uploaded documents are clear scan, true and correct",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
