Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
09-Dec-2019,"INR 7,284,331",365.0,Sanjiv Mahajan,09-Dec-2019 03:08 PM,Award.pdf (308.00 KB),Award,Er. Sanjiv Mahajan,Internal,Er. Rishi Kumar A.E. Nift Sh. S.K. Dayal Sr. DAO Sh. Beldev Ram Pathania Supdt. (On Leave) Sh. Ajay Mahajan HDM Sh. Kamaljit Singh Supdt. Sh. Prithvi Kumar TA,Sanjiv Mahajan,09-Dec-2019 03:07 PM,finsummary_41476.pdf (51.47 KB),Er. Sanjiv Mahajan,Internal,Er. Rishi Kumar A.E. Nift Sh. S.K. Dayal Sr. DAO Sh. Beldev Ram Pathania Supdt. (On Leave) Sh. Ajay Mahajan HDM Sh. Kamaljit Singh Supdt. Sh. Prithvi Kumar TA,Subhash Chander,11-Jun-2019 02:31 PM,11-Jun-2019 02:35 PM,techsummary_41476.pdf (128.57 KB),PWD,2019_PWD_28733_1,167-216 dated 11-04-2019,C/O Kotkawala to Zamanabad Harizan Basti road km. 0/000 to 2/455 under NABARD RIDF-XXIV in Distt. Kangra(HP),Technical,Opened,Subhash Chander,11-Jun-2019 02:20 PM,technical_41476.pdf,1.0,121101.0,DILWAG SINGH GOVT. COT.,23-May-2019 11:45 AM,Accepted-AOC,Award,09-Dec-2019 03:08 PM,1.0,121101.0,DILWAG SINGH GOVT. COT.,INR,"8,391,016",Finance,Opened,Sanjiv Mahajan,09-Dec-2019 03:02 PM,finance_41476.pdf,BOQ Comparative Chart,AOC,PWD,167-216 dated 11-04-2019,2019_PWD_28733_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"1,05,400",No,fixed,,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",02-May-2019 10:00 AM,24-May-2019 11:30 AM,02-May-2019 10:00 AM,24-May-2019 11:00 AM,NA ,NA ,02-May-2019 10:00 AM,24-May-2019 11:00 AM,11-Jun-2019 02:35 PM,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra","2,000","Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",No,C/O Kotkawala to Zamanabad Harizan Basti road km. 0/000 to 2/455 under NABARD RIDF-XXIV in Distt. Kangra(HP),"(SH- F/C, R/Wall, Cross drainage work, GSB, Tarring work, side drain and parapets).",Please refer Tender documents. ,NA ,"72,84,331",Civil Works - Roads,NA ,Tender,120.0,365.0,items,176001.0,NA ,NA ,NA ,"Executive Engineer, HP.PWD., Division, Kangra",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,121086.0,PARDEEP KUMAR,23-May-2019 09:03 PM,Rejected-Finance,Rate quoted higher side of L1,09-Dec-2019 03:07 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,121115.0,pritam singh thkur,24-May-2019 09:05 AM,Rejected-Finance,Rate quoted higher side of L1,09-Dec-2019 03:07 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,121121.0,Rohit,24-May-2019 09:38 AM,Rejected-Finance,Rate quoted higher side of L1,09-Dec-2019 03:07 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,121099.0,yashpal sharma,23-May-2019 11:37 AM,Rejected-Finance,Rate quoted higher side of L1,09-Dec-2019 03:07 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical staff,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of litigation case,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b and Sr. No-4 Schedule-D,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (Refer General Rule No-21),AOC
