Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,FBO,Naresh Raj Chandel,07-Oct-2019 06:12 PM,finance_45652.pdf,BOQ Comparative Chart,1.0,132992.0,Nikhil Thakur,INR,"3,381,500.19",Technical,BOS,Devi Ram Chauhan,03-Oct-2019 01:30 PM,technical_45652.pdf,1.0,133046.0,narain singh thakur,02-Oct-2019 03:57 PM,Rejected-AOC,Not found lowest,13-Dec-2019 05:44 PM,13-Dec-2019,"INR 3,377,081",180.0,Naresh Raj Chandel,13-Dec-2019 05:44 PM,Scan_20191213_173213.pdf (5533.00 KB),AOC issued after negotiation.,SE 1st Circle Mandi,Internal,Executive Engineer (D) Executive Engineer Sundernagar Divn CHD Supdt Works,Naresh Raj Chandel,13-Dec-2019 05:39 PM,finsummary_45652.pdf (5533.12 KB),Er. D.R. Chauhan E.E. HPPWD Sunder Nagar,Internal,Smt. Girija Sharma Supdt. Gr.II PMGSY Sh. Amar Singh HDM Sh. Sushil Kumar D.A.O. Gr.I Er. N.R. Chandel A.E. Suket,Naresh Raj Chandel,04-Oct-2019 04:05 PM,05-Oct-2019 11:00 AM,techsummary_45652.pdf (230.49 KB),PWD,2019_PWD_31711_1,PW-SNR-E-Tender/19-10717-28 dt 11.9.19,Construction of Jawahar Lal Nehru Govt. Engineering College at Sundernagar,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,24-Sep-2019 02:00 PM,03-Oct-2019 11:00 AM,24-Sep-2019 02:00 PM,02-Oct-2019 06:00 PM,NA ,NA ,24-Sep-2019 02:30 PM,02-Oct-2019 06:00 PM,05-Oct-2019 11:00 AM,1.0,DD - Demand Draft,Executive Engineer,Sunder Nagar Division HPPWD Sundernagar,Construction of Jawahar Lal Nehru Govt. Engineering College at Sundernagar,"SH Construction of open air theatre stage roofing work, column, masonry etc.",AS per bid document ,NA ,"34,83,015",Civil Works - Buildings,NA ,Tender,120.0,180.0,Sunder Nagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,PWD,PW-SNR-E-Tender/19-10717-28 dt 11.9.19,2019_PWD_31711_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,500",EE Sundernagar,Sundernagar,No,"60,000",No,fixed,,EE Sundernagar,Sundernagar,AOC
,,,,,,,,,,,,,,,,2.0,132992.0,Nikhil Thakur,02-Oct-2019 02:09 PM,Accepted-AOC,found lowest,13-Dec-2019 05:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,133059.0,Tek Chand,02-Oct-2019 05:57 PM,Rejected-AOC,Not found lowest,13-Dec-2019 05:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,132854.0,umesh Kumar,30-Sep-2019 06:27 PM,Rejected-AOC,Not found lowest,13-Dec-2019 05:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
