Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
24-Dec-2019,"INR 504,234",90.0,Kishan Lal Chaudhary,24-Dec-2019 12:28 PM,AOC.pdf (743.00 KB),WORK AWARDED TO SH GEETA RAM,Er. K.L Chaudhary EE,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Smt. Asha Kamal HDM, , Sh. Balbir singh Sr. Asstt.. Sh. Ghan Shyam Jr. Asstt.",Kishan Lal Chaudhary,24-Dec-2019 12:26 PM,finsummary_44077.pdf (742.53 KB),Er. K.L Chaudhary EE,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Supdt. G-II, Smt. Asha Kamal HDM, Sh. Balbir Singh Sr. Asstt. Sh. Ghan Shyam Jr. Asstt.",Kishan Lal Chaudhary,20-Aug-2019 04:56 PM,20-Aug-2019 05:00 PM,techsummary_44077.pdf (329.74 KB),PWD,2019_PWD_30599_1,SARAHAN CHARECH MANDI KHADANA,"C/O Sarahan Charech Mandi Khadana via Matahan road Km. 0/0 to 7/0 (SH C/O 900mm dia RCC Hume pipe culverts alongwith both side wing walls at RD 2/960, 3/255, 3/585 AND 3/735 ). Under SCSP).",Technical,SUMMARY,Kishan Lal Chaudhary,19-Aug-2019 01:48 PM,technical_44077.pdf,1.0,127446.0,Geeta Ram,12-Aug-2019 02:15 PM,Accepted-AOC,L1,24-Dec-2019 12:28 PM,1.0,127446.0,Geeta Ram,INR,"688,819",Finance,SUMMARY,Kishan Lal Chaudhary,29-Aug-2019 03:08 PM,finance_44077.pdf,BOQ Comparative Chart,AOC,350.0,EE RAJAGRH,RAJGARH,No,PWD,SARAHAN CHARECH MANDI KHADANA,2019_PWD_30599_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,01-Aug-2019 09:00 AM,13-Aug-2019 11:00 AM,01-Aug-2019 09:00 AM,12-Aug-2019 05:00 PM,NA ,NA ,01-Aug-2019 09:00 AM,12-Aug-2019 05:00 PM,20-Aug-2019 05:00 PM,1.0,DD - Demand Draft,"C/O Sarahan Charech Mandi Khadana via Matahan road Km. 0/0 to 7/0 (SH C/O 900mm dia RCC Hume pipe culverts alongwith both side wing walls at RD 2/960, 3/255, 3/585 AND 3/735 ). Under SCSP).","C/O Sarahan Charech Mandi Khadana via Matahan road Km. 0/0 to 7/0 (SH C/O 900mm dia RCC Hume pipe culverts alongwith both side wing walls at RD 2/960, 3/255, 3/585 AND 3/735 ). Under SCSP).",Please refer Tender documents. ,NA ,"5,04,234",Civil Works - Roads,NA ,Tender,90.0,90.0,RAJGARH DIVISION HPPWD RAJAGRH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJAGRH,No ,No,"11,000",No,fixed,,EE RAJGARH,RAJGARH,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJAGRH,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER- Indicated in Schedule F at Sr.No.6.3,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,127311.0,Om Prakash,09-Aug-2019 09:48 PM,Rejected-AOC,L2,24-Dec-2019 12:28 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY-Indicated in Schedule F at Sr. No.6.5,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,127417.0,RAVI DUTT CONTRACTOR,12-Aug-2019 01:03 PM,Rejected-Technical,NotFulfill the qualifying the criteria,20-Aug-2019 04:56 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,127258.0,SAHDEV SINGH,09-Aug-2019 04:14 PM,Rejected-AOC,L3,24-Dec-2019 12:28 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.16),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor to submit the incomplete works on proforma mentioned S. No. 19 as per General Rules 28.1,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
