Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Tender Stage
24-Dec-2019,"INR 1,765,991",120.0,Kishan Lal Chaudhary,24-Dec-2019 12:41 PM,AOC.pdf (792.00 KB),WORK AWARDED TO SH. KARMA DUTT,Er. K.L Chaudhary EE,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Smt. Asha Kamal HDM, , Sh. Balbir singh Sr. Asstt.. Sh. Ghan Shyam Jr. Asstt.",Kishan Lal Chaudhary,24-Dec-2019 12:37 PM,finsummary_43806.pdf (791.54 KB),Er.K.L Chaudhary EE,Internal,"Sh. D.S Kaundal AE Sh.Ghanshyam Dass Supdt. G-II, Sh. Balbir Singh Sr. Asstt., Smt. Asha Kamal HDM, Sh. Ghan Shyam Jr. Asstt.",Kishan Lal Chaudhary,05-Aug-2019 12:59 PM,05-Aug-2019 03:00 PM,techsummary_43806.pdf (491.32 KB),PWD,2019_PWD_30402_1,C/O Dungaghat Killa Kalanch road,C/O Dungaghat Killa Kalanch road Km. 0/0 to 22/0,Finance,SUMMARY,Kishan Lal Chaudhary,07-Aug-2019 03:15 PM,finance_43806.pdf,BOQ Comparative Chart,1.0,126264.0,Rajender Kumar,INR,"2,110,246",Technical,SUMMARY,Kishan Lal Chaudhary,03-Aug-2019 03:58 PM,technical_43806.pdf,1.0,126370.0,Baldev Singh,31-Jul-2019 10:48 AM,Rejected-Technical,Not fulfill qualifying the criteria,05-Aug-2019 12:59 PM,AOC,C/O Dungaghat Killa Kalanch road Km. 0/0 to 22/0,C/O 15.00mtr. Span cause way at Chamrogi ki Nahan at RD 13/920 and C/o 6.00 mtr span RCC slab culvert Mehndobag at RD 17/510,Please refer Tender documents. ,NA ,"17,65,991",Civil Works - Roads,NA ,Tender,90.0,120.0,RAJGARH DIVISION HPPWD RAJGARH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJGARH,No ,No,PWD,C/O Dungaghat Killa Kalanch road,2019_PWD_30402_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"34,500",No,fixed,,EE RAJGARH,RAJGARH,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,24-Jul-2019 02:00 PM,01-Aug-2019 11:00 AM,24-Jul-2019 02:00 PM,31-Jul-2019 05:00 PM,NA ,NA ,24-Jul-2019 02:00 PM,31-Jul-2019 05:00 PM,05-Aug-2019 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER- Indicated in Schedule F at Sr.No.6.3,500.0,EE RAJGARH,RAJGARH,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,126361.0,BHARDWAJ SONS,30-Jul-2019 11:06 PM,Rejected-AOC,L6,24-Dec-2019 12:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY-Indicated in Schedule F at Sr. No.6.5,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,126012.0,Jagmohan Singh,28-Jul-2019 10:35 PM,Rejected-AOC,L7,24-Dec-2019 12:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,126354.0,Karma Dutt Sharma,30-Jul-2019 07:43 PM,Rejected-AOC,L1,24-Dec-2019 12:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,126434.0,Om Prakash,31-Jul-2019 04:45 PM,Rejected-AOC,L2,24-Dec-2019 12:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,126432.0,Pankaj,31-Jul-2019 03:59 PM,Rejected-AOC,L5,24-Dec-2019 12:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,126264.0,Rajender Kumar,31-Jul-2019 10:55 AM,Accepted-AOC,L4,24-Dec-2019 12:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.16),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,126400.0,Tapender Thakur,31-Jul-2019 04:47 PM,Rejected-AOC,L3,24-Dec-2019 12:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,AOC
