Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Stage
Er. R.K. Dhiman,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Saran Singh Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,07-Dec-2019 04:11 PM,finsummary_44775.pdf (367.63 KB),07-Dec-2019,"INR 637,129",180.0,Dalip Singh Tomar,07-Dec-2019 04:15 PM,aoc.pdf (990.00 KB),AOC,PWD,2019_PWD_31091_7,Tender/2019-20-2634-84 dated 22.08.2019,Restoration of damages to Pipliwala Kiratpur Fatehpur road km.0/00 to 2/400 and Surajpur kiarda via Santoshgarh road km. 0/00 to 5/600 (SH Providing and laying patch work at various points).,Er. R.K.Dhiman,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Saran Singh Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,16-Oct-2019 04:27 PM,17-Oct-2019 11:20 AM,techsummary_44775.pdf (763.05 KB),Technical,Summary,Dalip Singh Tomar,16-Oct-2019 04:24 PM,technical_44775.pdf,1.0,130758.0,GAURAV SHARMA,12-Sep-2019 03:41 PM,Rejected-Finance,L2,07-Dec-2019 04:11 PM,Finance,Summary,Dalip Singh Tomar,07-Dec-2019 04:06 PM,finance_44775.pdf,BOQ Comparative Chart,1.0,130674.0,RANJEET SINGH,INR,"846,785",AOC,Executive Engineer HPPWD Division Paonta Sahib,Executive Engineer HPPWD Division Paonta Sahib District Sirmour HP,27-Aug-2019 04:30 PM,13-Sep-2019 11:30 AM,27-Aug-2019 05:00 PM,12-Sep-2019 05:00 PM,NA ,NA ,27-Aug-2019 05:00 PM,12-Sep-2019 05:00 PM,17-Oct-2019 11:20 AM,"12,750",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,Restoration of damages to Pipliwala Kiratpur Fatehpur road km.0/00 to 2/400 and Surajpur kiarda via Santoshgarh road km. 0/00 to 5/600 (SH Providing and laying patch work at various points).,Restoration of damages to Pipliwala Kiratpur Fatehpur road km.0/00 to 2/400 and Surajpur kiarda via Santoshgarh road km. 0/00 to 5/600 (SH Providing and laying patch work at various points).,Please refer tender document ,NA ,"6,37,129",Civil Works - Roads,NA ,Tender,90.0,180.0,Paonta Sahib,173025.0,NA ,NA ,NA ,HPPWD Division Paonta Sahib,No ,No,PWD,Tender/2019-20-2634-84 dated 22.08.2019,2019_PWD_31091_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE Paonta Sahib,Paonta Sahib,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,130710.0,Randhir Singh,12-Sep-2019 01:13 PM,Rejected-Finance,L3,07-Dec-2019 04:11 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,130674.0,RANJEET SINGH,12-Sep-2019 11:40 AM,Accepted-AOC,L1,07-Dec-2019 04:15 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plants as per schedule F Sr. No. 6.19 Ref.Clause No.18 i.e. R.C. and purchas,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him gen. Rule sr.no.16),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC
