Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
09-Dec-2019,"INR 804,425",30.0,Sanjiv Mahajan,09-Dec-2019 02:56 PM,Award.pdf (145.00 KB),Award,Er. Sanjiv Mahajan,Internal,Er. Rishi Kumar A.E. Nift Sh. S.K. Dayal Sr. DAO Sh. Ajay Mahajan HDM Sh. Jiwan Singh Supdt.,Sanjiv Mahajan,09-Dec-2019 02:55 PM,finsummary_44797.pdf (54.34 KB),Er. Sanjiv Mahajan,Internal,Er. Rishi Kumar A.E. Nift Sh. S.K. Dayal Sr. DAO Sh. Ajay Mahajan HDM Sh. Jiwan Singh Supdt.,Sanjiv Mahajan,15-Oct-2019 04:39 PM,15-Oct-2019 04:45 PM,techsummary_44797.pdf (131.15 KB),PWD,2019_PWD_31115_3,6053-6102 dated 21-08-2019,C/Olink road Harizan Basti Tarkhankar km. 0/0 to 0/955,1.0,130609.0,ARUN MANKOTIA,INR,"884,166",Finance,Opened,Sanjiv Mahajan,09-Dec-2019 02:49 PM,finance_44797.pdf,BOQ Comparative Chart,Technical,Opened,Sanjiv Mahajan,15-Oct-2019 04:02 PM,technical_44797.pdf,1.0,130568.0,Ankit Garg,11-Sep-2019 07:36 PM,Rejected-Finance,Rate quoted higher side of L1,09-Dec-2019 02:55 PM,AOC,29-Aug-2019 10:00 AM,12-Sep-2019 11:30 AM,29-Aug-2019 10:00 AM,12-Sep-2019 11:00 AM,NA ,NA ,29-Aug-2019 10:00 AM,12-Sep-2019 11:00 AM,15-Oct-2019 04:45 PM,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule( Demand Draft required only for nationalized Bank),C/Olink road Harizan Basti Tarkhankar km. 0/0 to 0/955,"(sH- C/O R/Walls at RD 0/195 to 0/208, 0/240 to 0/255, 0/300 to 0/315 and C/O road side drain at RD 0/630 to 0/750 and 0/800 to 0/900)(Under SCSP)",Please refer Tender documents. ,NA ,"8,04,425",Civil Works - Roads,NA ,Tender,120.0,30.0,Work,176001.0,NA ,NA ,NA ,"Executive Engineer, HP.PWD., Division, Kangra",No ,No,"16,100",No,fixed,,"Executive Engineer H.P.PWD., Kangra",Kangra,PWD,6053-6102 dated 21-08-2019,2019_PWD_31115_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Executive Engineer, HP.PWD., Division, Kangra","Executive Engineer, HP.PWD., Division, Kangra",350.0,"Executive Engineer H.P.PWD., Kangra",Kangra,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,130609.0,ARUN MANKOTIA,11-Sep-2019 11:13 PM,Accepted-AOC,Award,09-Dec-2019 02:56 PM,AOC,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,130449.0,Ashwani,11-Sep-2019 01:25 PM,Rejected-Technical,Non-Responsive,15-Oct-2019 04:39 PM,AOC,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,130429.0,Kulbir Kumar,12-Sep-2019 09:51 AM,Rejected-Finance,Rate quoted higher side of L1,09-Dec-2019 02:55 PM,AOC,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,130116.0,MADAN LAL BHATIA,07-Sep-2019 04:22 PM,Rejected-Finance,Rate quoted higher side of L1,09-Dec-2019 02:55 PM,AOC,,,,,,,,,,,,,,.pdf,Detail of technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,130464.0,Narender Kumar Govt Contractor,11-Sep-2019 02:41 PM,Rejected-Technical,Non-Responsive,15-Oct-2019 04:39 PM,AOC,,,,,,,,,,,,,,.pdf,Detail of litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,130300.0,Neeraj,10-Sep-2019 01:18 PM,Rejected-Technical,Non-Responsive,15-Oct-2019 04:39 PM,AOC,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b and Sr. No-4 Schedule-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,130504.0,RAJIV SHAKTI GOVT CONTRACTOR,11-Sep-2019 04:21 PM,Rejected-Finance,Rate quoted higher side of L1,09-Dec-2019 02:55 PM,AOC,,,,,,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,130623.0,Rakesh Kumar,12-Sep-2019 08:38 AM,Rejected-Technical,Non-Responsive,15-Oct-2019 04:39 PM,AOC,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,130465.0,Ravinder Kumar,11-Sep-2019 03:05 PM,Rejected-Finance,Rate quoted higher side of L1,09-Dec-2019 02:55 PM,AOC,,,,,,,,,,,,,,.pdf,EPF Number shown in General Rule and Direction 25(A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
