Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Executive Engineer,Internal,Supdt HDM DAO,Pramod Kashyap,06-Dec-2019 10:44 AM,finsummary_47070.pdf (154.10 KB),23-Dec-2019,"INR 57,385",30.0,Pramod Kashyap,23-Dec-2019 06:01 PM,awardkashmir.pdf (681.00 KB),C/O Boundary wall in Govt Sr. Sec. School Kashmir Distt. Hamirpur,PWD,2019_PWD_32656_1,C/O Boundary wall in G.S.S.S.Kashmir,C/O Boundary wall in Govt Sr. Sec. School Kashmir Distt. Hamirpur,Executive Engineer,Internal,Supdt HDM DAO,Pramod Kashyap,04-Dec-2019 11:59 AM,05-Dec-2019 10:30 AM,techsummary_47070.pdf (404.98 KB),1.0,137734.0,dinesh kumar,INR,"93,301",Finance,fin bid,Pramod Kashyap,06-Dec-2019 10:42 AM,finance_47070.pdf,BOQ Comparative Chart,Technical,tech bid opening summary,Pramod Kashyap,27-Nov-2019 01:49 PM,technical_47070.pdf,1.0,137723.0,AJAY SINGH GOVT CONT,27-Nov-2019 07:30 AM,Rejected-Finance,L 2,06-Dec-2019 10:44 AM,AOC,350.0,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,No,PWD,C/O Boundary wall in G.S.S.S.Kashmir,2019_PWD_32656_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,C/O Boundary wall in Govt Sr. Sec. School Kashmir Distt. Hamirpur,C/O Boundary wall Deposit Head,Please refer Tender documents. ,NA ,"57,385",Civil Works - Buildings,NA ,Tender,120.0,30.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,15-Nov-2019 04:40 PM,27-Nov-2019 11:00 AM,15-Nov-2019 04:40 PM,27-Nov-2019 10:30 AM,NA ,NA ,15-Nov-2019 04:40 PM,27-Nov-2019 10:30 AM,05-Dec-2019 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,1.0,DD - Demand Draft,"1,200",No,fixed,,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,137734.0,dinesh kumar,27-Nov-2019 09:43 AM,Accepted-AOC,L 1,23-Dec-2019 06:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,2.0,FDR - Fixed Deposit,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,contractor Registration,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate ( Only Completed work ),,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"G.S.T. No.with latest clearance return, EPF No.with latest clearance return,Labour Licence, Pan Card",,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with ownership documents / Affidavit Magistrate/Notary,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. That information submitted by bidder is true and correctattested by Magistrate/Notary,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate countersigned by the Engineer in charge not below the rank of Executive Eng,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. bidder should not have more then 2 contracts at a time each of Rs.100.00lacs or more in circle,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder should must be uploaded working programme,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidder/firm may like to be provide,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,AOC
