Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
16-Dec-2019,"INR 1,411,209",60.0,Pramod Kashyap,16-Dec-2019 12:53 PM,award.pdf (592.00 KB),"Up gradation of Rural Road infrastructure in Barsar Constituency Linking the Habitation Barsar, Bhutlar, Harsour, Chakmoh, Kalwal, Bijhari Chowki, Balh Bihal, Samtana, Ropri, Dandroo etc.",Executive Engineer,Internal,Supdt HDM DAO,Pramod Kashyap,12-Dec-2019 03:40 PM,finsummary_47381.pdf (176.20 KB),Executive Engineer,Internal,Supdt HDM DAO,Pramod Kashyap,12-Dec-2019 12:23 PM,12-Dec-2019 03:00 PM,techsummary_47381.pdf (515.38 KB),PWD,2019_PWD_32904_1,Interlocking concrete block pavement onHarsour,"Up gradation of Rural Road infrastructure in Barsar Constituency Linking the Habitation Barsar, Bhutlar, Harsour, Chakmoh, Kalwal, Bijhari Chowki, Balh Bihal, Samtana, Ropri, Dandroo etc.",Technical,tech bid opening summary,Pramod Kashyap,11-Dec-2019 12:45 PM,technical_47381.pdf,1.0,139681.0,Ashwani jain Govt. contractor,10-Dec-2019 05:56 PM,Rejected-Technical,Non Responsive,12-Dec-2019 12:23 PM,1.0,139717.0,Sanjeev Kumar,INR,"2,157,947",Finance,fin bid,Pramod Kashyap,12-Dec-2019 03:37 PM,finance_47381.pdf,BOQ Comparative Chart,AOC,"Up gradation of Rural Road infrastructure in Barsar Constituency Linking the Habitation Barsar, Bhutlar, Harsour, Chakmoh, Kalwal, Bijhari Chowki, Balh Bihal, Samtana, Ropri, Dandroo etc.",Providing and laying Interlocking concrete block pavement onHarsour Garli road in beteen Km 1/0 to 2/00 at various RDs.),Providing and laying Interlocking concrete block pavement onHarsour Garli road in beteen Km  ,NA ,"14,11,209",Civil Works - Roads,NA ,Tender,120.0,60.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,PWD,Interlocking concrete block pavement onHarsour,2019_PWD_32904_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"28,300",No,fixed,,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,500.0,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,No,28-Nov-2019 10:30 AM,11-Dec-2019 11:00 AM,28-Nov-2019 10:30 AM,11-Dec-2019 10:30 AM,NA ,NA ,28-Nov-2019 10:30 AM,11-Dec-2019 10:30 AM,12-Dec-2019 03:00 PM,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,139717.0,Sanjeev Kumar,10-Dec-2019 10:41 PM,Accepted-AOC,L 1,16-Dec-2019 12:53 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,139703.0,V.V. CONSTRUCTION CO.,10-Dec-2019 07:42 PM,Rejected-Finance,L 2,12-Dec-2019 03:40 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate ( Only Completed work ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"G.S.T. No.with latest clearance return, EPF No.with latest clearance return,Labour Licence, Pan Card",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with ownership documents / Affidavit Magistrate/Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. That information submitted by bidder is true and correctattested by Magistrate/Notary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate countersigned by the Engineer in charge not below the rank of Executive Eng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. bidder should not have more then 2 contracts at a time each of Rs.100.00lacs or more in circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
