Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Er. Deepak raj Chauhan,Internal,,Deepak Raj Chauhan,06-Dec-2019 02:56 PM,finsummary_45021.pdf (20.72 KB),06-Dec-2019,"INR 1,423,332",90.0,Deepak Raj Chauhan,06-Dec-2019 02:57 PM,CHAURI-KI-GHATTI-AOC.pdf (240.00 KB),AOC,PWD,2019_PWD_31290_2,PW.SRDD-CB-CTR-2019-20 6627 DT08.08.19,Construction of Chauri ki Ghatti to yan via Bhad km 0/00 to 8/500,Er. Deepak Raj Chauhan,Internal,Sh. Prem Sharma Supdtt. Sh. Prem Raj Meena DAO Sh. Suresh Verma HDM Sh. Ramesh Thakur TA,Deepak Raj Chauhan,26-Sep-2019 04:27 PM,26-Sep-2019 04:30 PM,techsummary_45021.pdf (227.08 KB),Technical,Bid Opening Summary,Deepak Raj Chauhan,26-Sep-2019 04:26 PM,technical_45021.pdf,1.0,130447.0,Manish Mohan Sharma,11-Sep-2019 01:02 PM,Accepted-AOC,L-1 BIDDER,06-Dec-2019 02:57 PM,Finance,Bid Opening Summary,Deepak Raj Chauhan,26-Sep-2019 04:43 PM,None,BOQ Comparative Chart,1.0,130447.0,Manish Mohan Sharma,INR,"1,423,332",AOC,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),1.0,DD - Demand Draft,"23,500",No,fixed,,EE Dhami,Dhami,PWD,PW.SRDD-CB-CTR-2019-20 6627 DT08.08.19,2019_PWD_31290_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,EE Dhami,Dhami,No,04-Sep-2019 02:30 PM,12-Sep-2019 11:00 AM,04-Sep-2019 02:30 PM,11-Sep-2019 05:00 PM,NA ,NA ,04-Sep-2019 02:30 PM,11-Sep-2019 05:00 PM,26-Sep-2019 04:30 PM,Construction of Chauri ki Ghatti to yan via Bhad km 0/00 to 8/500,"Providing and Laying WBM gradeIII,Metalling and Tarring and construction of road side v-shape drain in km 3/00 to 4/00) under SCSP",Please refer Tender documents. ,NA ,"11,66,455",Civil Works - Roads,NA ,Tender,120.0,90.0,Dhami,171103.0,NA ,NA ,NA ,SE 4th Circle Shimla,No ,No,EE Dhami,Shimla rural Divison HPPWD Dhami,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,130211.0,Man mohan thakur,09-Sep-2019 02:29 PM,Rejected-Finance,L-3 BIDDER,06-Dec-2019 02:56 PM,,,,,,,,,,,,AOC,,,.pdf,The Earnest Money (Indicated In Schedule F),2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,130428.0,Sanjay Kumar,11-Sep-2019 12:20 PM,Rejected-Finance,L-4 BIDDER,06-Dec-2019 02:56 PM,,,,,,,,,,,,AOC,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,130503.0,SURESH KUMAR,11-Sep-2019 04:52 PM,Rejected-Finance,L-2 BIDDER,06-Dec-2019 02:56 PM,,,,,,,,,,,,AOC,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
