Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Instrument Type,Tender Stage
Er. D.S. Dehal S.E.,Internal,B.S.Dehal EE Una Sanjeev Agnihotri EE Bangana RD Sharma AE Deepak Sharma AE Design Hardyal Singh Supdt Gr.I Dinesh Kumar DAO JS Banyal CHD,Bhupinder Singh,27-Sep-2019 05:18 PM,30-Sep-2019 10:30 AM,techsummary_45276.pdf (174.49 KB),PWD,2019_PWD_31444_1,Construction of MCH Block in Regional Hospital at,"Construction of MCH Block in Regional Hospital at Una, Tehsil and Distt. Una H.P.",Technical,TechnicalBid,Bhupinder Singh,22-Sep-2019 04:07 PM,technical_45276.pdf,1.0,131800.0,", D.S.Rathore",20-Sep-2019 03:13 PM,Accepted-AOC,ok,17-Dec-2019 10:18 AM,Finance,Proceedingregardingopeningoffinancialbids,Bhupinder Singh,30-Sep-2019 06:57 PM,finance_45276.pdf,BOQ Comparative Chart,AOC,PWD,Construction of MCH Block in Regional Hospital at,2019_PWD_31444_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",11-Sep-2019 03:00 PM,21-Sep-2019 11:00 AM,11-Sep-2019 03:30 PM,20-Sep-2019 05:00 PM,NA ,NA ,11-Sep-2019 03:30 PM,20-Sep-2019 05:00 PM,30-Sep-2019 10:30 AM,1.0,Corrigendum,Date,,"Construction of MCH Block in Regional Hospital at Una, Tehsil and Distt. Una H.P.","Construction of MCH Block in Regional Hospital at Una, Tehsil and Distt. Una H.P. Sub Head C.O Building portion, Water Supply and Sanitary Installation, Rain Water Harvesting Tank, Septic Tank etc.",Please refer to Bidding Documents ,NA ,"15,04,42,104",Civil Works - Buildings,NA ,Tender,120.0,548.0,Una,174303.0,NA ,NA ,NA ,"Superintending Engineer, 15th Circle, HPPWD Una",No ,No,"10,000","Executive Engineer, Una Division, HPPWD, Una",Una,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),"5,00,000",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,1.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,2.0,131779.0,H. C. Bansal Engg. & Contt.,20-Sep-2019 03:30 PM,Rejected-AOC,ok,17-Dec-2019 10:18 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum regarding item No.46,Other,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,131686.0,Himachal Techno Engineers,19-Sep-2019 02:48 PM,Rejected-AOC,ok,17-Dec-2019 10:18 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No.23 ),,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,131778.0,Om Parkash surinder mohan,20-Sep-2019 04:24 PM,Rejected-Technical,As per technical Evaluation,27-Sep-2019 05:18 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and copy of the latest return filed.,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return filed,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/ C.A. Annual Report a/w balance sheet as Per General Rules 28.2a and 28.2b,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Credit facility of minimum 10percent of estimated cost from the Scheduled Bank be attached.,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,AOC
