Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
500.0,EE Joginder Nagar,Joginder Nagar,No,PWD,PW-JND-B and R-EA-I-NIT- 9352-9451 dt. 18.09.2019,2019_PWD_31732_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Periodical maintenance of Shanan Chaprot road (VR0096) under Annual Maintenance Plan for 2019-20( Additional),"Providing and laying built-up spray grout, bituminous concrete in Km.0/0 to 2/0",As Per Bid Document ,NA ,"14,11,394",Civil Works - Roads,NA ,Tender,120.0,90.0,Joginder Nagar,175015.0,NA ,NA ,NA ,Joginder Nagar,No ,No,"28,300",No,fixed,,EE Joginder Nagar,Joginder Nagar,1.0,DD - Demand Draft,Executive Engineer,"Executive Engineer, B and R Division, HPPWD, Joginder Nagar",26-Sep-2019 10:00 AM,10-Oct-2019 11:30 AM,26-Sep-2019 10:00 AM,09-Oct-2019 05:00 PM,NA ,NA ,26-Sep-2019 10:00 AM,09-Oct-2019 05:00 PM,16-Oct-2019 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F,AOC,1.0,133482.0,P. L. SHARMA,09-Oct-2019 12:49 PM,Accepted-AOC,L-I,21-Dec-2019 04:03 PM,Technical,summary,Bhag Mal Thakur,14-Oct-2019 11:39 AM,technical_45677.pdf,1.0,133482.0,P. L. SHARMA,INR,"1,716,736",Finance,summary,Bhag Mal Thakur,16-Oct-2019 01:30 PM,finance_45677.pdf,BOQ Comparative Chart,PWD,2019_PWD_31732_1,PW-JND-B and R-EA-I-NIT- 9352-9451 dt. 18.09.2019,Periodical maintenance of Shanan Chaprot road (VR0096) under Annual Maintenance Plan for 2019-20( Additional),Er. B.M.Thakur,Internal,"AE Joginder Najar,Sr.DAO,Supdt.,HDM",Bhag Mal Thakur,15-Oct-2019 02:52 PM,16-Oct-2019 11:00 AM,techsummary_45677.pdf (278.75 KB),Er. B.M.Thakur,Internal,"Assistant Engineer, Senior Divisional Accounts Officer, Head Draughtsman, Superintendent Gr-II",Bhag Mal Thakur,22-Oct-2019 02:56 PM,finsummary_45677.pdf (235.78 KB),07-Dec-2019,"INR 1,716,736",90.0,Bhag Mal Thakur,21-Dec-2019 04:03 PM,AOC.pdf (411.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),AOC,2.0,133510.0,YUDHVIR SINGH,09-Oct-2019 12:09 PM,Rejected-Finance,Rejected as L-2,22-Oct-2019 02:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rule No.21),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rule No.26.7),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
