Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
06-Dec-2019,"INR 2,535,936",90.0,Deepak Raj Chauhan,06-Dec-2019 03:04 PM,SANKAT-MOCHAN-AOC.pdf (285.00 KB),AOC,Er. Deepak Raj Chauhan,Internal,,Deepak Raj Chauhan,06-Dec-2019 03:02 PM,finsummary_46017.pdf (22.95 KB),Er. Deepak Raj Chauhan,Internal,Sh. Prem Sharma Supdtt. Sh. Prem Raj Meena DAO Sh. Suresh Verma HDM Sh. Ramesh Thakur TA,Deepak Raj Chauhan,05-Nov-2019 01:49 PM,08-Nov-2019 10:30 AM,techsummary_46017.pdf (292.48 KB),PWD,2019_PWD_31995_2,PW.SRDD-CB-CTR-2019-20 9607 DT23.9.19,Restoration of Rain damages on Sankat Mochan Badhai Road Km 0/00 to 0/700,Technical,Technical Bid Opening Summary,Deepak Raj Chauhan,15-Oct-2019 02:19 PM,technical_46017.pdf,1.0,133602.0,akanksha bhardwaj,09-Oct-2019 05:41 PM,Rejected-Finance,L-4 BIDDER,06-Dec-2019 03:02 PM,1.0,134024.0,ARVIND KUMAR,INR,"2,535,936",Finance,Financial Bid Opening Summary,Deepak Raj Chauhan,08-Nov-2019 04:04 PM,finance_46017.pdf,BOQ Comparative Chart,AOC,05-Oct-2019 12:00 PM,15-Oct-2019 11:00 AM,05-Oct-2019 12:00 PM,14-Oct-2019 05:00 PM,NA ,NA ,05-Oct-2019 12:00 PM,14-Oct-2019 05:00 PM,08-Nov-2019 10:30 AM,"1,500",EE Dhami,Dhami,No,PWD,PW.SRDD-CB-CTR-2019-20 9607 DT23.9.19,2019_PWD_31995_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),EE Dhami,Shimla Rural Division HPPWD Dhami,Restoration of Rain damages on Sankat Mochan Badhai Road Km 0/00 to 0/700,SH Construction of PCC Retaining wall along with toe wall in between km 0/600 to 0/630,Please refer Tender documents. ,NA ,"22,72,910",Civil Works - Roads,NA ,Tender,120.0,90.0,DHAMI,171103.0,NA ,NA ,NA ,SE 4th Circle Shimla,No ,No,1.0,DD - Demand Draft,"42,000",No,fixed,,EE Dhami,Dhami,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,133935.0,Ankit Sharma,13-Oct-2019 03:05 PM,Rejected-Technical,Non-Responsive,05-Nov-2019 01:49 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,134024.0,ARVIND KUMAR,14-Oct-2019 04:15 PM,Accepted-AOC,L-1 BIDDER,06-Dec-2019 03:04 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,134079.0,Baru Thakur,14-Oct-2019 04:48 PM,Rejected-Finance,L-2 BIDDER,06-Dec-2019 03:02 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,133851.0,Deepak Sharma,13-Oct-2019 11:19 AM,Rejected-Finance,L-9 BIDDER,06-Dec-2019 03:02 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,133684.0,Man mohan thakur,13-Oct-2019 10:45 AM,Rejected-Finance,L-5 BIDDER,06-Dec-2019 03:02 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,133802.0,RAHUL BHARDWAJ,11-Oct-2019 05:26 PM,Rejected-Finance,L-3 BIDDER,06-Dec-2019 03:02 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,134038.0,Rajesh Thakur,14-Oct-2019 03:33 PM,Rejected-Finance,L-8 BIDDER,06-Dec-2019 03:02 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,134006.0,Rita Chandel,14-Oct-2019 12:43 PM,Rejected-Finance,L-6 BIDDER,06-Dec-2019 03:02 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,134027.0,SURESH KUMAR,14-Oct-2019 02:52 PM,Rejected-Technical,Non-Responsive,05-Nov-2019 01:49 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
