Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
01-Aug-2019 10:00 AM,13-Aug-2019 11:00 AM,01-Aug-2019 10:00 AM,12-Aug-2019 05:00 PM,NA ,NA ,01-Aug-2019 10:00 AM,12-Aug-2019 05:00 PM,19-Aug-2019 04:30 PM,Periodical Renewal on Chailla Neripul Yashwant Nagar Kumarhatti road Km 24/0 to 26/0 AND 28/0 to 29/0 and Neripul Talli Bhujal road km 2/0 to 3/0 Under AMP for the year 2019-20,Periodical Renewal on Chailla Neripul Yashwant Nagar Kumarhatti road Km 24/0 to 26/0 AND 28/0 to 29/0 and Neripul Talli Bhujal road km 2/0 to 3/0 Under AMP for the year 2019-20,Please refer Tender documents. ,NA ,"34,28,819",Civil Works - Roads,NA ,Tender,120.0,90.0,RAJGARH DIVISION HPPWD RAJGARH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJGARH,No ,No,1.0,DD - Demand Draft,"59,500",No,fixed,,EE RAJGARH,RAJGARH,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER- Indicated in Schedule F at Sr.No.6.3,"1,500",EE RAJAGRH,RAJAGRH,No,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,PWD,PR CHAILLA NERIPUL Y. NAGAR AMP 2019-20,2019_PWD_30602_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,Er. K.L Chaudhary EE,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Supdt. G-II, Smt. Asha Kamal HDM, Sh. Balbir Singh Sr. Asstt. Sh. Ghan Shyam Jr. Asstt.",Kishan Lal Chaudhary,19-Aug-2019 04:07 PM,19-Aug-2019 04:30 PM,techsummary_44080.pdf (262.44 KB),PWD,2019_PWD_30602_1,PR CHAILLA NERIPUL Y. NAGAR AMP 2019-20,Periodical Renewal on Chailla Neripul Yashwant Nagar Kumarhatti road Km 24/0 to 26/0 AND 28/0 to 29/0 and Neripul Talli Bhujal road km 2/0 to 3/0 Under AMP for the year 2019-20,24-Dec-2019,"INR 3,428,819",90.0,Kishan Lal Chaudhary,24-Dec-2019 04:00 PM,AOC.pdf (985.00 KB),WORK AWARDED TO SH. NARESH KUMAR VIJ,Er. K.L Chaudhary EE,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Smt. Asha Kamal HDM, , Sh. Balbir singh Sr. Asstt.. Sh. Ghan Shyam Jr. Asstt.",Kishan Lal Chaudhary,24-Dec-2019 03:55 PM,finsummary_44080.pdf (188.37 KB),1.0,127276.0,naresh vij govt contractor,11-Aug-2019 02:40 PM,Accepted-AOC,L1,24-Dec-2019 04:00 PM,Technical,SUMMARY,Kishan Lal Chaudhary,19-Aug-2019 01:28 PM,technical_44080.pdf,Finance,SUMMARY,Kishan Lal Chaudhary,29-Aug-2019 03:36 PM,finance_44080.pdf,BOQ Comparative Chart,1.0,127276.0,naresh vij govt contractor,INR,"4,972,794",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,.pdf,EARNEST MONEY-Indicated in Schedule F at Sr. No.6.5,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,127361.0,PIUESH,11-Aug-2019 06:43 PM,Rejected-AOC,L2,24-Dec-2019 04:00 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Work Done Certificate as per Gen. Rule Sr.No.28.2(b) and Schedule F Sr.No.6.10,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PROOF OF MANDATORY MACHINERY TOOL AND PLANTS as per Gen. Rules 25 and Schedule F Sr. No.6.19,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.16),,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Undertaking regarding uploaded documents are clear scan, true and correct",,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
