Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
"Addl. Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh",Internal,"Director, Design and Planning, Dy. Director, Design and Planning, Accounts Officer, Dibrugarh WRD, DBR",Joy Sekhar Chakraborty,24-Sep-2019 10:28 AM,24-Sep-2019 10:30 AM,techsummary_21709.pdf (754.57 KB),"Addl. Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh",Internal,"Director, Design and Planning, Dy. Director, Design and Planning, Accounts Officer, Dibrugarh WRD, DBR",Joy Sekhar Chakraborty,24-Sep-2019 10:38 AM,finsummary_21709.pdf (754.57 KB),Finance,Updated CS may be prepared,Joy Sekhar Chakraborty,24-Sep-2019 10:36 AM,finance_21709.pdf,BOQ Comparative Chart,1.0,64668.0,UJJALA SHARMA,INR,1340867.1,1,64852,Bimala Das,18-Sep-2019 05:16 PM,Accepted-AOC,PROPER,20-Dec-2019 12:43 PM,Department of Water Resources||Chief Engineer - DoWR,2019_DoWR_14092_1,DHK/SDRF/2018-19/BANDANA/1,Immediate measures for closing of breach and restoration of flood damages of river Brahmaputra at Bandana check bund No. 06 (From Ch. 870m to Ch. 1415m) in Dhakuakhana civil Sub-Division under SDRF for 2018-19,Technical,Financial Bid of the successful bidders may be opened.,Joy Sekhar Chakraborty,24-Sep-2019 10:24 AM,technical_21709.pdf,20-Dec-2019,INR 14986272.18,60.0,Bhupen Bora,20-Dec-2019 12:43 PM,bandanaaoc.pdf (25166.00 KB),Immediate measures for closing of breach and restoration of flood damages of river Brahmaputra at Bandana check bund No. 06 (From Ch. 870m to Ch. 1415m) in Dhakuakhana civil Sub-Division under SDRF fo,AOC,1.0,DD - Demand Draft,"Addl. Chief Engineer, UAZ, W.R. Deptt., Dibrugarh","O/o the Addl. Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh",Immediate measures for closing of breach and restoration of flood damages of river Brahmaputra at Bandana check bund No. 06 (From Ch. 870m to Ch. 1415m) in Dhakuakhana civil Sub-Division under SDRF for 2018-19,Immediate measures for closing of breach and restoration of flood damages of river Brahmaputra at Bandana check bund No. 06 (From Ch. 870m to Ch. 1415m) in Dhakuakhana civil Sub-Division under SDRF for 2018-19,Please refer Tender documents. ,NA ,"1,49,86,272",Civil Works,NA ,Tender,180.0,60.0,Dhakuakhana,787055.0,NA ,NA ,NA ,Dibrugarh,No ,No,1.0,Fee,.pdf,Cost of Tender and EMD,09-Sep-2019 06:00 PM,20-Sep-2019 02:00 PM,09-Sep-2019 06:05 PM,19-Sep-2019 02:00 PM,NA ,NA ,14-Sep-2019 10:00 AM,19-Sep-2019 02:00 PM,24-Sep-2019 10:30 AM,"2,99,725",Yes,percentage,2.0%,"The Executive Engineer, Dhakuakhana W. R. Division",Dhakuakhana,Department of Water Resources||Chief Engineer - DoWR,DHK/SDRF/2018-19/BANDANA/1,2019_DoWR_14092_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,"5,000","The Executive Engineer, Dhakuakhana W. R. Division",Dhakuakhana,No,AOC
,,,,,,,,,,,,,,,,,,,2.0,64672.0,Khitish Ojha,INR,1347953.43,2,64860,BINOD KUMAR PRASAD,19-Sep-2019 01:24 AM,Accepted-AOC,PROPER,20-Dec-2019 12:43 PM,,,,,,,,,,,,,,,,,AOC,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,3.0,64673.0,PRADIP HAZARIKA,INR,1388832.09,3,64847,JATINDRA BORUAH,18-Sep-2019 03:58 PM,Accepted-AOC,PROPER,20-Dec-2019 12:43 PM,,,,,,,,,,,,,,,,,AOC,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,4.0,64832.0,S.A. ENTERPRISE,INR,1340572.43,4,64861,KHAGESWAR DOLEY,19-Sep-2019 08:34 AM,Accepted-AOC,PROPER,20-Dec-2019 12:43 PM,,,,,,,,,,,,,,,,,AOC,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,5.0,64835.0,"RANJAN DUTTA, AHSANUL MAZID JV",INR,1338736.83,5,64672,Khitish Ojha,18-Sep-2019 01:10 PM,Accepted-AOC,PROPER,20-Dec-2019 12:43 PM,,,,,,,,,,,,,,,,,AOC,5.0,DCR - Deposit at call receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,6.0,64847.0,JATINDRA BORUAH,INR,1353733.14,6,64881,MOINA CHETIA,19-Sep-2019 01:32 PM,Not Admitted-Fee,Fee not received,20-Sep-2019 03:53 PM,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,7.0,64852.0,Bimala Das,INR,1343282.17,7,64856,NANDALAL PD. GUPTA,19-Sep-2019 11:05 AM,Accepted-AOC,PROPER,20-Dec-2019 12:43 PM,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,8.0,64856.0,NANDALAL PD. GUPTA,INR,1346621.17,8,64673,PRADIP HAZARIKA,18-Sep-2019 06:14 PM,Accepted-AOC,PROPER,20-Dec-2019 12:43 PM,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,9.0,64860.0,BINOD KUMAR PRASAD,INR,1340801.23,9,64835,"RANJAN DUTTA, AHSANUL MAZID JV",17-Sep-2019 10:55 PM,Accepted-AOC,PROPER,20-Dec-2019 12:43 PM,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,10.0,64861.0,KHAGESWAR DOLEY,INR,1345496.06,10,64833,Rizwan Ansari,17-Sep-2019 09:41 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,24-Sep-2019 10:24 AM,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
