Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
26-Dec-2019,"INR 305,058",90.0,Kishan Lal Chaudhary,26-Dec-2019 01:44 PM,AOC.pdf (576.00 KB),work awarded to sh. Satish Thakur,Er. K.L Chaudhary EE,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Smt. Asha Kamal HDM, , Sh. Balbir singh Sr. Asstt.. Sh. Ghan Shyam Jr. Asstt.",Kishan Lal Chaudhary,26-Dec-2019 01:35 PM,finsummary_47150.pdf (811.21 KB),Er. K.L Chaudhary EE,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Smt. Asha Kamal HDM, , Sh. Kishan Singh Supdt. G-II. Sh. Ghan Shyam Jr. Asstt.",Kishan Lal Chaudhary,03-Dec-2019 04:39 PM,03-Dec-2019 04:40 PM,techsummary_47150.pdf (800.17 KB),PWD,2019_PWD_32694_1,IMP. OF BLACK SPOT ON CHAILLA NERIPUL ROAD,Improvement of black spot on Chailla Neripul Yashwant nagar Kumarhatti road Km. 54/655 to 62/0 (SH Providing and fixing W-metal beam crash barrier in Km. 60/445 to 60/520 and edging with parapets between RD 60/410 to 60/445,Finance,SUMMARY,Kishan Lal Chaudhary,21-Dec-2019 01:44 PM,finance_47150.pdf,BOQ Comparative Chart,1.0,137918.0,Satish Thakur,INR,"373,594",Technical,SUMMARY,Kishan Lal Chaudhary,03-Dec-2019 04:16 PM,technical_47150.pdf,1.0,137624.0,Jagdish Chand,28-Nov-2019 12:08 PM,Rejected-AOC,L5,26-Dec-2019 01:44 PM,AOC,"7,000",No,fixed,,EE RAJGARH,RAJGARH,PWD,IMP. OF BLACK SPOT ON CHAILLA NERIPUL ROAD,2019_PWD_32694_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EXECUTIVE ENGINEER,RAJAGRH DIVISION HPPWD RAJGARH,350.0,EE RAJGARH,RAJGARH,No,18-Nov-2019 05:00 PM,30-Nov-2019 11:00 AM,18-Nov-2019 05:00 PM,29-Nov-2019 05:00 PM,NA ,NA ,18-Nov-2019 05:00 PM,29-Nov-2019 05:00 PM,03-Dec-2019 04:40 PM,1.0,DD - Demand Draft,Improvement of black spot on Chailla Neripul Yashwant nagar Kumarhatti road Km. 54/655 to 62/0 (SH Providing and fixing W-metal beam crash barrier in Km. 60/445 to 60/520 and edging with parapets between RD 60/410 to 60/445,Improvement of black spot on Chailla Neripul Yashwant nagar Kumarhatti road Km. 54/655 to 62/0 (SH Providing and fixing W-metal beam crash barrier in Km. 60/445 to 60/520 and edging with parapets between RD 60/410 to 60/445,Please refer Tender documents. ,NA ,"3,05,058",Civil Works - Roads,NA ,Tender,90.0,90.0,RAJAGRH DIVISION HPPWD RAJGARH,173101.0,NA ,NA ,NA ,RAJAGRH DIVISION HPPWD RAJGARH,No ,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER- Indicated in Schedule F at Sr.No.6.3,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,137778.0,RAJESH KUMAR BHANDARI,27-Nov-2019 02:08 PM,Rejected-AOC,L4,26-Dec-2019 01:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY-Indicated in Schedule F at Sr. No.6.5,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,137918.0,Satish Thakur,29-Nov-2019 11:23 AM,Accepted-AOC,L1,26-Dec-2019 01:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,137841.0,suman kumar sharma,27-Nov-2019 10:26 PM,Rejected-AOC,L3,26-Dec-2019 01:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,137784.0,Vidyanand,29-Nov-2019 11:12 AM,Rejected-AOC,L2,26-Dec-2019 01:44 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.16),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,AOC
