Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
500.0,Nil,Nil,No,1.0,ICICI BANK,Executive Engineer,Executive Engineer HPPWD Paonta Sahib District Sirmour (HP),"25,000",No,fixed,,Nil,Nil,PWD,Tender/2021-22-12775-12825 dated 05.03.2022,2022_PWD_58088_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule E at Sr. No. (ii)Earnest money-indicated in schedule f at sr.,17-Mar-2022 04:30 PM,23-Mar-2022 11:00 AM,17-Mar-2022 05:00 PM,23-Mar-2022 10:30 AM,NA ,NA ,17-Mar-2022 05:00 PM,23-Mar-2022 10:30 AM,25-Mar-2022 03:00 PM,A/R and M/O to link road Harizan Basti Gulabgarh km 0/0 to 1/980 (SH-C/O Wing wall of existing box cell at RD 0/746 to 0/756 and wire crates in U/S side along the khala and C/O edge wall at RD 0/768 to 0/778 left side).,A/R and M/O to link road Harizan Basti Gulabgarh km 0/0 to 1/980 (SH-C/O Wing wall of existing box cell at RD 0/746 to 0/756 and wire crates in U/S side along the khala and C/O edge wall at RD 0/768 to 0/778 left side).,Please refer tender document ,NA ,"12,51,300",Civil Works - Roads,NA ,Tender,75.0,90.0,Ponta sahib,173025.0,NA ,NA ,NA ,Ponta sahib,No ,No,1.0,271957.0,TARIF ALI,INR,"875,910",Finance,Fin Bid Opening Summary,Kishan Lal Chaudhary,13-May-2022 01:42 PM,finance_87707.pdf,BOQ Comparative Chart,1.0,271962.0,FAREED HASHMI,23-Mar-2022 12:18 AM,Rejected-Finance,L3,13-May-2022,Technical,Bid Opening Summary,Kishan Lal Chaudhary,25-Mar-2022 02:44 PM,technical_87707.pdf,Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Sinha DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,25-Mar-2022 02:51 PM,25-Mar-2022 03:00 PM,techsummary_87707.pdf (902.35 KB),PWD,2022_PWD_58088_1,Tender/2021-22-12775-12825 dated 05.03.2022,A/R and M/O to link road Harizan Basti Gulabgarh km 0/0 to 1/980 (SH-C/O Wing wall of existing box cell at RD 0/746 to 0/756 and wire crates in U/S side along the khala and C/O edge wall at RD 0/768 to 0/778 left side).,03-Apr-2023,"INR 1,251,300",90.0,Dalip Singh Tomar,03-Apr-2023 01:32 PM,aoc.pdf (945.00 KB),AOC,Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Sinha DAO, Sh. B.S. Rawat Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,13-May-2022 01:45 PM,finsummary_87707.pdf (418.63 KB)
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,271843.0,riyat ali,22-Mar-2022 05:20 PM,Rejected-Technical,Not Qualified,25-Mar-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration(Refer General Rule No.24.4)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,271955.0,saurabh sharma,22-Mar-2022 10:34 PM,Rejected-Finance,L2,13-May-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,271964.0,Shamshad Ali Contractor,23-Mar-2022 09:12 AM,Rejected-Finance,L4,13-May-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery as per schedule F Sr.No.24.6Ref.Cl- No.18(i.e.R.C,purchase bills,ownership/Affidavit etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,271957.0,TARIF ALI,22-Mar-2022 11:44 PM,Accepted-AOC,Work Completed,03-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,If contractor has not his own machinery and takes it on hire basis then an affidavit is required fro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no HPPWD-7/8 duly signed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him(General Rule Sr.No.12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
