Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address
28-Apr-2023,"INR 51,015,947",730.0,Sarwan Thakur,28-Apr-2023 03:50 PM,Award-1.pdf (277.00 KB),Award_1,Technical,Summary_1,Sarwan Thakur,20-Mar-2023 03:27 PM,technical_105558.pdf,Finance,Summary,Sarwan Thakur,13-Apr-2023 01:12 PM,finance_105558.pdf,BOQ Comparative Chart,1.0,333231.0,gagan ohri,10-Mar-2023 07:55 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Mar-2023,Superintending Engineer,Internal,1. Executive Engineer. 2. Executive Engineer(D) 3. CHD 4. Supdt.,Sarwan Thakur,20-Mar-2023 03:33 PM,20-Mar-2023 03:40 PM,techsummary_105558.pdf (498.71 KB),"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Dharamshala,Irrigation and Public Health,HP",2023_HPIPH_70030_1,EE/IPHDT/WA-I/2022-21934-78 dated 02.03.2023,Providing FHTC under Lwss Kona Phiri Lwss Duhk Dhaniyara Lwss Bheri Paprola Lwss Tina Jhamete Lwss Dali Bhalunder Lwss Lahru Sadda etc. under JJM in Tehsil Palampur Thural Jaisinghpur in Distt Kangra H.P,1.0,333163.0,KATIANI CONSTRUCTION,INR,"53,759,031.66",Superintending Engineer,Internal,1. Executive Engineer Thrual. 2. Executive Engineer (D) Dharamshala 3. CHD Dharamshala 4. Supdt.Gr. I Dharamshala,Sarwan Thakur,28-Apr-2023 03:48 PM,finsummary_105558.pdf (1572.59 KB),"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Dharamshala,Irrigation and Public Health,HP",EE/IPHDT/WA-I/2022-21934-78 dated 02.03.2023,2023_HPIPH_70030_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"2,500",EE JSV Division Thural,EE JSV Division Thural,Yes,1.0,ExemptionNotAllowed,Fee,,1.0,Fee/PreQual/Technical,.pdf,"i) The Bid security in favour of Executive Engineer, Jal Shakti Division Thural, as per NIT",02-Mar-2023 05:00 PM,11-Mar-2023 11:30 AM,02-Mar-2023 05:00 PM,11-Mar-2023 10:00 AM,NA ,NA ,02-Mar-2023 05:00 PM,11-Mar-2023 10:00 AM,20-Mar-2023 03:40 PM,"5,59,440",Yes,fixed,,EE JSV Division Thural,EE JSV Division Thural,1.0,ICICI BANK,Providing FHTC under Lwss Kona Phiri Lwss Duhk Dhaniyara Lwss Bheri Paprola Lwss Tina Jhamete Lwss Dali Bhalunder Lwss Lahru Sadda etc. under JJM in Tehsil Palampur Thural Jaisinghpur in Distt Kangra H.P,Providing FHTC under Lwss Kona Phiri Lwss Duhk Dhaniyara Lwss Bheri Paprola Lwss Tina Jhamete Lwss Dali Bhalunde rLwss Lahru Sadda etc. under JJM in Tehsil Palampur Thural Jaisinghpur in Distt Kangra H.P,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,120.0,730.0,Lwss Kona Phiri Lwss Duhk Dhaniyara Lwss Bheri Pa,176107.0,NA ,NA ,NA ,EE JSV Divisin Thural,No ,No,Executive Engineer Thural,Executive Engineer JSV Division Thural
,,,,,,,,,,,,,,,,,,2.0,333163.0,KATIANI CONSTRUCTION,10-Mar-2023 11:15 PM,Accepted-AOC,Accept,28-Apr-2023,,,,,,,,,,,,2.0,333544.0,SS RANA CONSTRUCTION PRIVATE LIMITED,INR,"63,118,078.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ii) The cost of bid form as shown above shall be submitted online mode (e-payment as per NIT,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3.0,333604.0,Naresh Kumar,11-Mar-2023 09:46 AM,Accepted-AOC,Accept,28-Apr-2023,,,,,,,,,,,,3.0,333604.0,Naresh Kumar,INR,"51,292,492.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,iii) Copy of Refistration with Jal Shakti Vibhag or any other state/ Central Govt. as per NIT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4.0,333801.0,P C Construction,11-Mar-2023 08:29 AM,Accepted-AOC,Accept,28-Apr-2023,,,,,,,,,,,,4.0,333801.0,P C Construction,INR,"21,993,867",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of PAN, GST registration, EPF and latest clearance certificate thereof as per NIT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5.0,333802.0,sanjeev kumar,11-Mar-2023 09:23 AM,Accepted-AOC,Accept,28-Apr-2023,,,,,,,,,,,,5.0,333802.0,sanjeev kumar,INR,"51,015,947",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover of last three years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6.0,333544.0,SS RANA CONSTRUCTION PRIVATE LIMITED,10-Mar-2023 07:06 PM,Accepted-AOC,Accept,28-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,vi) Bid Form as per Chapter IV of Form 12 duly accepted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"vii) Work done, Experience Certificate,Pre-qualification criteria, Financial Qualification, Similar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,viii) Value of Civil Engineering works executed during the last five years updated as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ix) The authorization letter regarding digital signature certificate (DSC) of the person authorized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,x) The contractor/ firm must upload calculations and size of various components of WTP as per,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,xi) The technical bid should contain make and model of energy efficient pumping machinery as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"xii) Other conditions as per NIT,Form6, Form12, Technical Specification, Data Sheet .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
