Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Suni,Irrigation and Public Health,HP",2023_HPIPH_67241_1,SNN-SML-03-740-Tndr/23-7416-25 dt 17/1/23,"Aug. of LIS Ghaini phase- I, II and III in GP Ghaini Tehsil Suni Distt Shimla HP SH Civil work Rising main and pumping machinery",1.0,317354.0,HYDRAULIC ENGINEERING COMPANY,INR,"31,887,624",SE,External,AECHDEED,Subash Chauhan,01-Apr-2023 05:12 PM,finsummary_101387.pdf (769.54 KB),SE,Internal,CHD AED EED,Subash Chauhan,28-Feb-2023 11:12 AM,28-Feb-2023 11:15 AM,techsummary_101387.pdf (115.62 KB),1.0,317354.0,HYDRAULIC ENGINEERING COMPANY,28-Jan-2023 05:27 PM,Accepted-AOC,Lowest bid,03-Apr-2023,03-Apr-2023,"INR 31,539,404",365.0,Subash Chauhan,03-Apr-2023 11:05 AM,Award.pdf (988.00 KB),Estimated cost,Finance,Fin bid opened successfully,Subash Chauhan,01-Apr-2023 05:09 PM,finance_101387.pdf,BOQ Comparative Chart,Technical,Cover-1 downloaded successfully,Subash Chauhan,28-Feb-2023 11:10 AM,technical_101387.pdf,1.0,ICICI BANK,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Suni,Irrigation and Public Health,HP",SNN-SML-03-740-Tndr/23-7416-25 dt 17/1/23,2023_HPIPH_67241_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"Aug. of LIS Ghaini phase- I, II and III in GP Ghaini Tehsil Suni Distt Shimla HP SH Civil work Rising main and pumping machinery","Aug. of LIS Ghaini phase- I, II and III in GP Ghaini Tehsil Suni Distt Shimla HP SH Civil work Rising main and pumping machinery",Please refer Tender documents. ,NA ,"3,15,39,404",Civil Works - Water Works,NA ,Tender,120.0,365.0,Suni,171301.0,NA ,NA ,NA ,Suni,No ,No,1.0,Change in Class of contractor,Technical Bid,,Executive Engineer,JSV Division Suni,1.0,Fee/PreQual/Technical,.pdf,Earnest money as per NIT,"3,48,000",Yes,fixed,,EE Suni,Suni,"2,500",EE Suni,Suni,No,18-Jan-2023 05:00 PM,30-Jan-2023 11:30 AM,18-Jan-2023 05:00 PM,30-Jan-2023 11:00 AM,18-Jan-2023 05:00 PM ,30-Jan-2023 11:00 AM ,18-Jan-2023 05:00 PM,30-Jan-2023 11:00 AM,28-Feb-2023 11:15 AM
,,,,,,,,,,,,,,,,,,,,,,2.0,316800.0,Sai Aqua Machines and Builders,27-Jan-2023 04:45 PM,Rejected-AOC,Higher bid,03-Apr-2023,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender document as per NIT,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration with Jal Shakti Vibhagt in appropriate class and latest renewal thereo,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest Income Tax Return filed,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sale Tax registration/TIN Numbers/GSTIN,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The authorization letter regarding Digital Signature Certificate,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,copy of under taking that I have carefully studied all the Terms and Conditions,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of EPF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pump Characteristics curves in pdf format indication Horse Power required at duty point,,,,,,,,,,,,,,,,,,,
