S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1.1,Category,Sub Category,Sub Category Description,Format/File
1.0,318139.0,Hemant Kumar,INR,"16,992,241",Finance,AS PER SUMMARY ATTACHED,Vinay Kumar Hazri,15-Feb-2023 11:07 AM,finance_101610.pdf,BOQ Comparative Chart,Technical,AS PER SUMMARY ATTACHED,Vinay Kumar Hazri,02-Feb-2023 03:59 PM,technical_101610.pdf,1,316971,Arya Construction Company,30-Jan-2023 07:53 PM,Rejected-Finance,Equal rates quoted,15-Feb-2023,06-Apr-2023,"INR 16,992,241",540.0,Vinay Kumar Hazri,10-Apr-2023 10:05 AM,AOC-67422.pdf (152.00 KB),AWARD LETTER,ER. V.K. HAZRI,Internal,AS PER SUMMARY ATTACHED,Vinay Kumar Hazri,15-Feb-2023 11:27 AM,finsummary_101610.pdf (469.20 KB),Er. V.K. Hazri,Internal,AS PER SUMMARY ATTACHED,Vinay Kumar Hazri,02-Feb-2023 04:06 PM,03-Feb-2023 10:20 AM,techsummary_101610.pdf (362.05 KB),PWD,2023_PWD_67422_1,No.14804-11 dated 29.12.2022.,"Construction of link road to Village Bhalyani Km. 0/0 to 2/00 under NABARD SH Formation cutting, Retaining wall, Breast wall, cross drainage work, unlined drain, wire crates for dumping, Km. Stone and Setting out RIDF-XXVIII.",21-Jan-2023 05:55 PM,01-Feb-2023 10:30 AM,21-Jan-2023 05:55 PM,31-Jan-2023 05:00 PM,NA ,NA ,21-Jan-2023 05:55 PM,31-Jan-2023 05:00 PM,03-Feb-2023 10:20 AM,PWD,No.14804-11 dated 29.12.2022.,2023_PWD_67422_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"Construction of link road to Village Bhalyani Km. 0/0 to 2/00 under NABARD SH Formation cutting, Retaining wall, Breast wall, cross drainage work, unlined drain, wire crates for dumping, Km. Stone and Setting out RIDF-XXVIII.","Construction of link road to Village Bhalyani Km. 0/0 to 2/00 under NABARD SH Formation cutting, Retaining wall, Breast wall, cross drainage work, unlined drain, wire crates for dumping, Km. Stone and Setting out RIDF-XXVIII.","Construction of link road to Village Bhalyani Km. 0/0 to 2/00 under NABARD SH Formation cutting, Retaining wall, Breast wall, cross drainage work, unlined drain, wire crates for dumping, Km. Stone and Setting out RIDF-XXVIII. ",NA ,"2,42,74,630",Civil Works - Roads,NA ,Tender,90.0,540.0,Kullu,175101.0,NA ,NA ,NA ,Kullu,No ,No,Er. V.K. Hazri,"EE Kullu Division HP.PWD, Kullu.",1.0,Fee/PreQual/Technical,.pdf,"Cost of Tender Documents, EMD/Bid Security.","4,85,500",Yes,fixed,,EE Kullu Division,Ee Kullu Division,1.0,DD - Demand Draft,"5,000",EE Kullu Division,EE Kullu Division,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,
,,,,,,,,,,,,,,,,2,317233,Ashadeep Construction Pvt Ltd,30-Jan-2023 11:16 AM,Rejected-Finance,Equal rates quoted,15-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Registration/Enlistment with H.P.P.W.D. Deptt. as per general rule No.23.,,,,,,,2.0,FDR - Fixed Deposit,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,
,,,,,,,,,,,,,,,,3,318497,Avinash Dhiman,31-Jan-2023 04:19 PM,Rejected-Finance,Equal rates quoted,15-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of PAN and TIN and Income Tax clearance certificate.,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,
,,,,,,,,,,,,,,,,4,318396,DEVKI NANDAN SHARMA,31-Jan-2023 04:29 PM,Rejected-Finance,Equal rates quoted,15-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of work done certificate of similar nature of work.,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,
,,,,,,,,,,,,,,,,5,318300,durga parasd contruction,31-Jan-2023 02:27 PM,Rejected-Technical,Non responsive,02-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of GST as per general rule-21.,,,,,,,,,,,,,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls
,,,,,,,,,,,,,,,,6,318139,Hemant Kumar,30-Jan-2023 10:18 PM,Accepted-AOC,L1 (Being lowest bidder as per draw of lots),10-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information as bidder/firm may like to provide.,,,,,,,,,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,
,,,,,,,,,,,,,,,,7,318343,MOHAN LAL,31-Jan-2023 12:53 PM,Rejected-Finance,Being 4th lowest bidder,15-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,8,318390,Mohinder Rana,31-Jan-2023 04:41 PM,Rejected-Finance,Equal rates quoted,15-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Scanned copy of own Machinery i.e. Tipper, Road Rollers, Hot mix plant, Excavator/Pock lane, DE-wate",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,9,318068,M/S SUKHDEV SHARMA CONTRACTOR,31-Jan-2023 01:49 PM,Rejected-Finance,Being 3rd lowest bidder,15-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Part-II financial bid,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10,316986,Nikhil Thakur,31-Jan-2023 11:23 AM,Rejected-Finance,Being 2nd lowest bidder,15-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,
