Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
01-Apr-2023,"INR 37,449",365.0,Ravinder Chauhan,03-May-2023 05:08 PM,AOCUna.pdf (638.00 KB),bid has been awarded to M/s Joshi Tour and Travels on the basis of lowest bid,Finance,Admitted,Pradeep Sharma,10-Mar-2023 04:52 PM,,BOQ Comparative Chart,Technical,All the bidders are technically qualified,Pradeep Sharma,09-Mar-2023 04:47 PM,technical_104042.pdf,Ravinder Chauhan,Internal,"Mr. Manish Rana , Mrs. Pooja Kumari, Mrs. Neelam Patyal , Dr. Yashu Lata Sharma, Mr. Pradeep Sharma",Pradeep Sharma,09-Mar-2023 04:52 PM,09-Mar-2023 04:55 PM,techsummary_104042.pdf (733.16 KB),1.0,329244.0,Joshi Tour and Travels,26-Feb-2023 01:34 PM,Accepted-AOC,on the basis of lowest bid,03-May-2023,Himachal Pradesh Agriculture Development Society (JICA-ODA loan),2023_HPCDP_69010_1,No.Agr.Hmr.DPMU(G)-1157,Hiring of services of Vehicle(1 nos.) on contract basis in BPMU Una,1.0,329244.0,Joshi Tour and Travels,INR,"37,449",Ravinder Chauhan,Internal,"Mrs. Pooja Kumari, Mrs. Neelam Patyal, Mr. Manish Rana ,Dr. Yashu Lata Sharma, Mr. Pradeep Sharma",Pradeep Sharma,10-Mar-2023 04:57 PM,finsummary_104042.pdf (733.16 KB),500.0,DPMU HPCDP JICA ODA Phase II Hamirpur,Hamirpur,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form as indicated in NIT 3(a)(i),Himachal Pradesh Agriculture Development Society (JICA-ODA loan),No.Agr.Hmr.DPMU(G)-1157,2023_HPCDP_69010_1,Yes,Open Tender,Fixed-rate,Services,2.0,No,No,Offline,No,No,No,"10,000",No,fixed,,DPMU HPCDP JICA ODA Phase II Hamirpur,Hamirpur,1.0,DD - Demand Draft,DPMU HPCDP JICA Phase II Hamirpur,"Administrative Building PMU, Agriculture Complex, Hamirpur, District Hamirpur (H.P)",Hiring of services of Vehicle(1 nos.) on contract basis in BPMU Una,Hiring of services of Vehicle(1 nos.) on contract basis in BPMU Una,Please refer Tender documents. ,NA ,,Miscellaneous Services,NA ,Tender,90.0,365.0,BPMU Una,174303.0,NA ,NA ,NA ,O/o DPMU HPCDP (Phase-II) JICA-ODA Hamirpur,No ,No,16-Feb-2023 11:30 AM,07-Mar-2023 11:00 AM,16-Feb-2023 11:30 AM,06-Mar-2023 05:00 PM,NA ,NA ,16-Feb-2023 11:30 AM,06-Mar-2023 05:00 PM,09-Mar-2023 04:55 PM
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,331286.0,rajesh kumar,03-Mar-2023 04:33 PM,Rejected-Finance,Higher bid,10-Mar-2023,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money as indicated in NIT 3(a)(ii),,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,3.0,331887.0,THAKUR TRANSPORT SERVICE,05-Mar-2023 07:17 PM,Rejected-Finance,Higher bid,10-Mar-2023,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have experience of minimum 3 years as indicated in NIT Sr. No. 3 (a) (iii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid PAN Card as indicated in NIT Sr. No. 3(a) iv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Certificate or undertaking as indicating NIT (3)(a) v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,RC of the the vehicle in case of 2021 model or quotation for new vehicle as per NIT 3(a) vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking as indicated in NIT (3)(a)(vii)(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking as indicated in NIT (3)(a)(vii)(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking as indicated in NIT (3)(a)(vii)(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking as indicated in NIT (3)(a)(vii)(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
