Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
"Restoration of Nagrota Bhadrehar Bhatti road Km 0/000 to 2/030 in District Kangra, (H.P.). (SH-Providing and laying Cement Concrete Pavement. (Under Telecom Deposit)","Restoration of Nagrota Bhadrehar Bhatti road Km 0/000 to 2/030 in District Kangra, (H.P.). (SH-Providing and laying Cement Concrete Pavement. (Under Telecom Deposit)",Please refer Tender documents. ,NA ,"26,08,071",Civil Works,NA ,Tender,120.0,90.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,O/o EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,1.0,ICICI BANK,PWD,Nagrota 14880,2023_PWD_70923_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,1.0,Corrigendum,Other,,"1,500",Nil,Nil,No,16-Mar-2023 01:00 PM,24-Mar-2023 11:00 AM,16-Mar-2023 01:00 PM,24-Mar-2023 10:00 AM,NA ,NA ,16-Mar-2023 01:00 PM,24-Mar-2023 10:00 AM,28-Mar-2023 02:00 PM,"52,200",No,fixed,,Nil,Nil,Executive Engineer,O/o EE HP PWD Division Tanda at Nagrota Bagwan,PWD,2023_PWD_70923_2,Nagrota 14880,"Restoration of Nagrota Bhadrehar Bhatti road Km 0/000 to 2/030 in District Kangra, (H.P.). (SH-Providing and laying Cement Concrete Pavement. (Under Telecom Deposit)",Executive Engineer,Internal,AE DAO Supdt HDM,Ankit Kumar,28-Mar-2023 01:10 PM,28-Mar-2023 02:00 PM,techsummary_106868.pdf (978.61 KB),Executive Engineer,Internal,AE DAO Supdt HDM,Suresh Kumar Walia,03-Apr-2023 11:27 AM,finsummary_106868.pdf (187.09 KB),20-Apr-2023,"INR 2,608,071",90.0,Suresh Kumar Walia,25-Apr-2023 02:33 PM,Award.pdf (364.00 KB),aWARD,Finance,sum,Suresh Kumar Walia,03-Apr-2023 11:24 AM,finance_106868.pdf,BOQ Comparative Chart,1.0,336171.0,RAHUL SHARMA,INR,"1,823,041",1.0,337633.0,AMIT KUMAR SHARMA,23-Mar-2023 01:11 PM,Rejected-Finance,Lowest 4,03-Apr-2023,Technical,sum,Ankit Kumar,28-Mar-2023 01:08 PM,technical_106868.pdf
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,337807.0,Axit Sood,23-Mar-2023 07:46 PM,Rejected-Finance,Lowest 2,03-Apr-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration , Pan No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,336490.0,PARDEEP KUMAR,23-Mar-2023 12:11 PM,Rejected-Finance,Lowest 3,03-Apr-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,336171.0,RAHUL SHARMA,22-Mar-2023 01:35 PM,Accepted-AOC,Award,25-Apr-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
