Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
Finance,Summary Attached,Manish Sehgal,05-Apr-2023 02:40 PM,finance_101791.pdf,BOQ Comparative Chart,1.0,320155.0,Sanjeev,INR,"1,289,450",Technical,Summary,Manish Sehgal,08-Feb-2023 04:01 PM,technical_101791.pdf,1.0,317626.0,M/s Kamala Enterprises,05-Feb-2023 10:31 PM,Rejected-Finance,Bidder Rank-L2,05-Apr-2023,Sh. Manish Sehgal,Internal,Anand Katoch AEtoEE Subhash Chand Supdt. Suresh Kumar HDM Naveen Kumar DAO Manjeet Kumar Sr Asstt,Manish Sehgal,05-Apr-2023 02:44 PM,finsummary_101791.pdf (114.87 KB),05-Apr-2023,"INR 1,348,000",90.0,Manish Sehgal,05-Apr-2023 02:45 PM,AOC.pdf (381.00 KB),AOC,PWD,2023_PWD_67578_1,NIT No.18132-191 DT.21-01-2023-Bhawarna,Providing and laying Annual Surfacing (Periodic Maintenance) on Duhak to Gharthoon road in Km 0/0 to 1/0 under Rural roads for the year 2023-24 in the state of HP,Sh. Manish Sehgal,Internal,Sarthak Sood AEtoEE Subhash Chand Supdt. Suresh Kumar HDM Naveen Kumar DAO Manjeet Kumar Sr Asstt,Manish Sehgal,08-Feb-2023 04:02 PM,08-Feb-2023 04:15 PM,techsummary_101791.pdf (323.25 KB),1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form.,PWD,NIT No.18132-191 DT.21-01-2023-Bhawarna,2023_PWD_67578_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"26,000",No,fixed,,Nil,Nil,O/o EE Bhawarna Division HPPWD Bhawarna,O/o EE Bhawarna Division HPPWD Bhawarna,1.0,ICICI BANK,Providing and laying Annual Surfacing (Periodic Maintenance) on Duhak to Gharthoon road in Km 0/0 to 1/0 under Rural roads for the year 2023-24 in the state of HP,Providing and laying Tack coat and Bituminous Concrete in Km. 0/0 to 1/0.,Please refer Tender documents. ,NA ,"12,77,259",Civil Works - Roads,NA ,Tender,75.0,90.0,Bhawarna,176083.0,NA ,NA ,NA ,O/o EE Bhawarna Division HPPWD Bhawarna,No ,No,24-Jan-2023 05:00 PM,06-Feb-2023 11:30 AM,24-Jan-2023 05:05 PM,06-Feb-2023 11:00 AM,NA ,NA ,24-Jan-2023 05:30 PM,06-Feb-2023 11:00 AM,08-Feb-2023 04:15 PM,500.0,Nil,Nil,No
,,,,,,,,,,,,,,,,2.0,320155.0,Sanjeev,04-Feb-2023 04:31 PM,Accepted-AOC,Bidder Rank-L1,05-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The valid enlistment/registration of contractor in appropriate class.,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration and PAN Copy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (with work name) are true.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HP PWD department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and equipment as per SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund (EPF) Registration number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E-mail address and Contact Number of the Contractor/Firm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
