Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description
20-Apr-2023,"INR 4,773,715",330.0,Dalip Singh Tomar,20-Apr-2023 04:33 PM,aoc.pdf (786.00 KB),AOC,Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Sinha DAO, Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,23-Oct-2021 11:26 AM,finsummary_69235.pdf (460.60 KB),Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Sinah DAO, Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,12-Apr-2021 10:53 AM,12-Apr-2021 11:15 AM,techsummary_69235.pdf (736.43 KB),PWD,2021_PWD_45997_1,9992-10001 dated 18.03.2021,"Routine maintenance of Baddri Nagar Jamniwala Parduni road km. 0/0 to 14/500, Paonta Rampurghat road km. 0/0 to 5/0, Link road from NH-07 Bhuppur to Tibetian Colony km. 0/0 to 1/0 and link road from Pipliwala Kiratpur Fatehpur km. 0/0 to 2/150. Under",1.0,207669.0,Chanana Cont. Works,INR,"3,587,425",Finance,Fin Bid Opening Summary,Kishan Lal Chaudhary,23-Oct-2021 11:20 AM,finance_69235.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Kishan Lal Chaudhary,12-Apr-2021 10:42 AM,technical_69235.pdf,1.0,207669.0,Chanana Cont. Works,08-Apr-2021 04:02 PM,Accepted-AOC,Security deducted as per intimation by the account branch of this office.,20-Apr-2023,1.0,ICICI BANK,PWD,9992-10001 dated 18.03.2021,2021_PWD_45997_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,27-Mar-2021 04:30 PM,09-Apr-2021 11:30 AM,27-Mar-2021 05:00 PM,08-Apr-2021 05:00 PM,NA ,NA ,27-Mar-2021 05:00 PM,08-Apr-2021 05:00 PM,12-Apr-2021 11:15 AM,"2,000",Nil,Nil,No,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP),"Routine maintenance of Baddri Nagar Jamniwala Parduni road km. 0/0 to 14/500, Paonta Rampurghat road km. 0/0 to 5/0, Link road from NH-07 Bhuppur to Tibetian Colony km. 0/0 to 1/0 and link road from Pipliwala Kiratpur Fatehpur km. 0/0 to 2/150. Under","Routine maintenance of Baddri Nagar Jamniwala Parduni road km. 0/0 to 14/500, Paonta Rampurghat road km. 0/0 to 5/0, Link road from NH-07 Bhuppur to Tibetian Colony km. 0/0 to 1/0 and link road from Pipliwala Kiratpur Fatehpur km. 0/0 to 2/150. Under",please refer tender document ,NA ,,Civil Works - Roads,NA ,Tender,90.0,330.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,"79,100",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of tender
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,207737.0,H. C. Bansal Engg. & Contt.,07-Apr-2021 11:07 PM,Rejected-Finance,L3,23-Oct-2021,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,207536.0,Rashid Ali Civil Contractor,07-Apr-2021 08:13 AM,Rejected-Finance,L2,23-Oct-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent account number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery as per schedule i.e. R.C, purchase bills, ownership/Affidavit hire basis"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no HPPWD-8 duly signed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him
