S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
1.0,319354.0,Sai Aqua Machines and Builders,INR,"23,456,854","HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Suni,Irrigation and Public Health,HP",2023_HPIPH_67528_1,SNN-SML-03-740-Tndr/23-7539-45 dt 23/1/23,"Providing LIS from Koldam Reservoir to Shakrori, Basantpur, Pahal, Neot etc. Tehsil Suni Distt Shimla HP Phase-II",SE,External,AECHDEED,Subash Chauhan,01-Apr-2023 05:05 PM,finsummary_101726.pdf (697.75 KB),03-Apr-2023,"INR 32,403,985",365.0,Subash Chauhan,03-Apr-2023 11:07 AM,Award.pdf (1167.00 KB),Estimated cost,Technical,Cover-1 downloaded successfully,Subash Chauhan,24-Feb-2023 11:26 AM,technical_101726.pdf,Finance,Fin bid opened successfully,Subash Chauhan,01-Apr-2023 05:01 PM,finance_101726.pdf,BOQ Comparative Chart,1.0,320296.0,akash,06-Feb-2023 10:37 AM,Rejected-AOC,Higher bid,03-Apr-2023,SE,Internal,CHD AED EED,Subash Chauhan,24-Feb-2023 11:32 AM,24-Feb-2023 11:45 AM,techsummary_101726.pdf (526.99 KB),"2,500",EE Suni,Suni,Yes,Executive Engineer,Jal Shakti Division Suni,1.0,ICICI BANK,24-Jan-2023 05:00 PM,06-Feb-2023 11:30 AM,24-Jan-2023 05:00 PM,06-Feb-2023 11:00 AM,24-Jan-2023 05:00 PM ,06-Feb-2023 11:00 AM ,24-Jan-2023 05:00 PM,06-Feb-2023 11:00 AM,24-Feb-2023 11:45 AM,"Providing LIS from Koldam Reservoir to Shakrori, Basantpur, Pahal, Neot etc. Tehsil Suni Distt Shimla HP Phase-II","Site Devlopment fencing, C-O pump house, Sump well, Delivery tank , Storage tank 10000 ltrs. Capacity, Intake Structure, Anchor Block, Foundation block, P-L-J of Rising main, S-E pumping machinery, L-J Distribution lines",Please refer Tender documents. ,NA ,"3,24,03,985",Civil Works - Water Works,NA ,Tender,120.0,365.0,Suni,171301.0,NA ,NA ,NA ,Suni,No ,No,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Suni,Irrigation and Public Health,HP",SNN-SML-03-740-Tndr/23-7539-45 dt 23/1/23,2023_HPIPH_67528_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Fee/PreQual/Technical,.pdf,Earnest money as per NIT,"3,56,540",Yes,fixed,,EE Suni,Suni
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,320422.0,Dinesh Singh Thakur,06-Feb-2023 10:52 AM,Rejected-AOC,Higher bid,03-Apr-2023,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender document as per NIT,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,320361.0,HYDRAULIC ENGINEERING COMPANY,05-Feb-2023 08:18 PM,Rejected-AOC,Higher bid,03-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration with Jal Shakti Vibhag in appropriate class and latest renewal,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,319743.0,Jia Lal Kapatia,02-Feb-2023 06:22 PM,Rejected-AOC,Higher bid,03-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,319354.0,Sai Aqua Machines and Builders,04-Feb-2023 12:42 PM,Accepted-AOC,Lowest bid,03-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest Income Tax Return filed,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,320336.0,Vijay Sharma,06-Feb-2023 10:51 AM,Rejected-AOC,Higher bid,03-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sale Tax registration/TIN Numbers/GSTIN,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The authorization letter regarding Digital Signature Certificate,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Scanned copy of under taking that I have carefully studied all the Terms and Conditions,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF certificate,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pump Characteristics curves in pdf format indication Horse Power required at duty point,,,,,,
