Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
Finance,Summary,Dinesh Kumar Dhiman,13-Apr-2023 06:13 PM,finance_76102.pdf,BOQ Comparative Chart,1.0,229398.0,AAR ESS Surgical,INR,"2,357,650",Technical,Technical bid opening summary,Dinesh Kumar Dhiman,13-Aug-2021 05:33 PM,technical_76102.pdf,1.0,229398.0,AAR ESS Surgical,11-Aug-2021 05:38 PM,Accepted-AOC,L1,13-Apr-2023,13-Apr-2023,"INR 2,393,450",90.0,Dinesh Kumar Dhiman,13-Apr-2023 06:32 PM,2021_PWD_50893_2.PDF (1440.00 KB),Work Award Issued,EE Dehra,Internal,"HDM, Supdt., DAO",Dinesh Kumar Dhiman,13-Apr-2023 06:16 PM,finsummary_76102.pdf (323.00 KB),Er Dinesh Kumar Dhiman EE,Internal,Sh Raghubir Singh AE to EE Sh Dalip Jha DAO Sh Rajneesh Kumar Superintendent Smt Sushama Sharma DHD,Dinesh Kumar Dhiman,13-Aug-2021 05:39 PM,16-Aug-2021 10:30 AM,techsummary_76102.pdf (369.98 KB),PWD,2021_PWD_50893_2,EE Dehra letter No.3464-69 dated 02.08.2021,Providing and fixing manifold system alongwith tubning for 100 beded Civil hospital at Dehra,1.0,Fee/PreQual/Technical,.pdf,Copy of receipt of online payment on account of cost of tender form and earnest money,500.0,Nil,Nil,No,"43,400",No,fixed,,Nil,Nil,PWD,EE Dehra letter No.3464-69 dated 02.08.2021,2021_PWD_50893_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Providing and fixing manifold system alongwith tubning for 100 beded Civil hospital at Dehra,P/F oxygen Gas pipe line newly created Block for COVID Paitents,Please refer to tender documents ,NA ,,Civil Works - Others,P/F of oxygen gas pipe ,Tender,75.0,90.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,1.0,ICICI BANK,Executive Engineer,Dehra Division HPPWD Dehra,06-Aug-2021 10:00 AM,13-Aug-2021 11:30 AM,06-Aug-2021 10:00 AM,12-Aug-2021 06:00 PM,06-Aug-2021 10:00 AM ,09-Aug-2021 04:00 PM ,06-Aug-2021 10:00 AM,12-Aug-2021 06:00 PM,16-Aug-2021 10:30 AM
,,,,,,,,,,,,,,,,2.0,229376.0,RAKESH KUMAR,11-Aug-2021 04:52 PM,Rejected-Finance,Highest Bidder,13-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of valid enlistment in appropriate class as per enlistment rules 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,
,,,,,,,,,,,,,,,,3.0,229347.0,SAJEEV KUMAR GOVT.CONTRACTOR,11-Aug-2021 05:17 PM,Rejected-Technical,Rejected being non responsive,13-Aug-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff showing the name of bid regarding correctness of documents/information furnished with the bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted/non Gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit with the declaration that he has not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done of similar nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
