Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
Finance,Financial bid of two bidders open successfully.,Sanjiv Kumar,28-Apr-2023 01:15 PM,finance_104862.pdf,BOQ Comparative Chart,1.0,329637.0,Sumit Awasthi,INR,"518,001",Technical,Two bidders participated in this work and found responsive. Hence committee decided to open the financial bid .,Sanjiv Kumar,07-Mar-2023 12:02 PM,,1.0,329617.0,Shalabh Awasthi,27-Feb-2023 04:51 PM,Rejected-Finance,Higher Side,28-Apr-2023,28-Apr-2023,"INR 494,276",60.0,Sanjiv Kumar,28-Apr-2023 01:17 PM,Awardtoiletblock.PDF (191.00 KB),Xen HPPWD Baijnath,Internal,"DAO Baijnath, HDM Baijnath, SupdtGII Baijnath AE Baijnath",Sanjiv Kumar,28-Apr-2023 01:17 PM,finsummary_104862.pdf (156.96 KB),Xen HPPWD Baijnath,Internal,HDM SupdtGII AO and AE,Sanjiv Kumar,07-Mar-2023 12:03 PM,13-Mar-2023 11:00 AM,techsummary_104862.pdf (145.27 KB),PWD,2023_PWD_69513_1,PWD-BD-TA-2022-23-19728-78,Balance work for Toilet work at Billing in Tehsil Baijnath,Balance work for Toilet work at Billing in Tehsil Baijnath,P/F collapsible steel shutter water storage tank and interlocking paver block,Please refer Tender documents. ,NA ,"4,94,276",Civil Works,NA ,Tender,30.0,60.0,Bir,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,1.0,DD - Demand Draft,PWD,PWD-BD-TA-2022-23-19728-78,2023_PWD_69513_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form as mentioned in SBD,"10,000",No,fixed,,EE HPPWD Baijnath,Baijnath,23-Feb-2023 11:00 AM,01-Mar-2023 11:30 AM,23-Feb-2023 11:00 AM,01-Mar-2023 11:00 AM,NA ,NA ,23-Feb-2023 11:00 AM,01-Mar-2023 11:00 AM,13-Mar-2023 11:00 AM,Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,350.0,EE HPPWD Baijnath,Baijnath,Yes
,,,,,,,,,,,,,,,,2.0,329637.0,Sumit Awasthi,27-Feb-2023 05:09 PM,Accepted-AOC,Lower Side,28-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,Earnest Money as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and PAN Card,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 7-8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that no arbitration / litigation with PWD is pending in any court of law.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished with the bid for work (Name of work) is correct in all res,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,
