EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
"8,57,000",No,fixed,,Nil,Nil,Superintending Engineer 4th Circle HPPWD Shimla,Superintending Engineer 4th Circle HPPWD Shimla,"Construction and Up-gradation of link road from Mandorghat to Jamog via Bhargan KMs 0/0 to 5/040)(SH Formation cutting , B/Wall, E/Wall, side drain Metalling and Tarring, Parapets , and crash barrier in KMs 0/0 to 5/040)","Construction and Up-gradation of link road from Mandorghat to Jamog via Bhargan KMs 0/0 to 5/040)(SH Formation cutting , B/Wall, E/Wall, side drain Metalling and Tarring, Parapets , and crash barrier in KMs 0/0 to 5/040)",AS PER SBD ,NA ,"4,28,49,217",Civil Works - Roads,NA ,Tender,75.0,540.0,DHAMI,171103.0,NA ,NA ,NA ,Superintending Engineer 4th Circle HPPWD Shimla,No ,No,PWD,15022023.0,2023_PWD_69473_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"5,000",Nil,Nil,No,22-Feb-2023 06:00 PM,07-Mar-2023 11:00 AM,22-Feb-2023 06:00 PM,06-Mar-2023 05:00 PM,NA ,NA ,22-Feb-2023 06:00 PM,06-Mar-2023 05:00 PM,21-Mar-2023 11:00 AM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Form (Online),1.0,331442.0,ashish kaushal,06-Mar-2023 02:28 PM,Rejected-Finance,L2,27-Mar-2023,Technical,Bid opening summary,Parveen Kumar Verma,10-Mar-2023 05:27 PM,technical_104804.pdf,1.0,331727.0,kapoor sanjee,INR,"36,447,473",Finance,Bid Opening Summary,Parveen Kumar Verma,27-Mar-2023 11:35 AM,finance_104804.pdf,BOQ Comparative Chart,PWD,2023_PWD_69473_2,15022023.0,"Construction and Up-gradation of link road from Mandorghat to Jamog via Bhargan KMs 0/0 to 5/040)(SH Formation cutting , B/Wall, E/Wall, side drain Metalling and Tarring, Parapets , and crash barrier in KMs 0/0 to 5/040)",Superintending Engineer 4th Circle HPPWD Shimla,Internal,"EE Dhami Division HPPWD Dhami, Member, EE 4th Circle HPPWD Shimla, Member, AE 4th Circle HPPWD Shimla, Member, CHD 4th Circle HPPWD Shimla, Member, Sr DAO Dhami Division HPPWD Dhami, Member",Parveen Kumar Verma,15-Mar-2023 12:50 PM,21-Mar-2023 11:00 AM,techsummary_104804.pdf (295.38 KB),DeepakRajChauhanSE4thCircleHPPWD,Internal,SureshChandelEEShimlaRuralDivisionDhamiShushilRihalAE4thcircleRajeshChauhanSRDAO,Parveen Kumar Verma,27-Mar-2023 12:29 PM,finsummary_104804.pdf (310.88 KB),24-Apr-2023,"INR 36,447,473",540.0,Deepak Raj Chauhan,05-Jun-2023 03:52 PM,AwardLetterMandhorghat.pdf (110.00 KB),Award Letter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,The Earnest Money (Online),2.0,332107.0,Jamna Dass,06-Mar-2023 03:59 PM,Rejected-Technical,"Less key equipments than the minimum key equipments required as per Section 2 of ITB, Clause 4.4 B (b) (i) as stated in the Appendix to ITB.",15-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,3.0,331727.0,kapoor sanjee,04-Mar-2023 09:08 PM,Accepted-AOC,L1,05-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration, EPF certificate",4.0,330393.0,lov vij govt contractor,06-Mar-2023 04:16 PM,Rejected-Finance,L3,27-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done and work in hand as per Clause 4.2 (c) and 4.4A(b) of ITB Section 2,5.0,332168.0,SANJAY GARG,06-Mar-2023 03:29 PM,Rejected-Technical,"As per Section 2 of ITB, Clause 4.4 A (a), Turnover required indexed at the rate of 8 percent per annum upto 2021-22 is Rs 297.11 lacs which is more than Rs 152.60 lacs turnover of the bidder.",15-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant as per clause 4.2 (d) and 4.4 B (b) (i) of ITB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid (Part I) as proforma given in Section 6 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Gazetted and Non-Gazetted HPPWD Employees related to Him(as per clause 4.4 B(c)of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of True and correct in all respect as per clause 4.4 B(a)(ii)of ITB and Format in Sec. 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
